Wavelength	spectrum00020.asd
350	 3.09139682496263E-02 
351	 2.95974231049508E-02 
352	 2.88161338126668E-02 
353	 3.00591524194781E-02 
354	 3.21127617230666E-02 
355	 3.22997921438784E-02 
356	 3.06888113918606E-02 
357	 2.84461348852956E-02 
358	 0.027532717527545 
359	 2.74250155881084E-02 
360	 2.81627287483266E-02 
361	 2.97804018170574E-02 
362	 3.03805092031932E-02 
363	 0.02891513427208 
364	 0.026517675800986 
365	 2.68660228747005E-02 
366	 2.89482733760353E-02 
367	 2.95837882739798E-02 
368	 2.74013394524796E-02 
369	 0.028440209264778 
370	 2.96188571523455E-02 
371	 2.96281261188857E-02 
372	 2.85216843003677E-02 
373	 2.81879683244561E-02 
374	 2.84922926237928E-02 
375	 2.90312106592791E-02 
376	 2.94085457829978E-02 
377	 2.97134991757195E-02 
378	 2.98769397752673E-02 
379	 2.97923124822863E-02 
380	 2.92267203059387E-02 
381	 2.91644847566617E-02 
382	 2.94209356221802E-02 
383	 2.91962308047801E-02 
384	 2.93868881248229E-02 
385	 2.90804591731049E-02 
386	 2.83289607943874E-02 
387	 0.028918721446647 
388	 2.92965727262768E-02 
389	 2.95090761378901E-02 
390	 2.97514232052347E-02 
391	 2.89389290713828E-02 
392	 0.029133464633624 
393	 3.00265850988906E-02 
394	 2.98329088986166E-02 
395	 2.91126656623574E-02 
396	 2.93318189099869E-02 
397	 3.04626736880536E-02 
398	 2.98585343880575E-02 
399	 2.93838941307304E-02 
400	 2.95668428391823E-02 
401	 3.01888681001959E-02 
402	 2.96244878522008E-02 
403	 2.97306667923977E-02 
404	 3.03654562856332E-02 
405	 2.99643674131855E-02 
406	 0.030077678259549 
407	 3.01181239464324E-02 
408	 2.97761515081286E-02 
409	 2.99085443640128E-02 
410	 2.96614281578461E-02 
411	 2.95548310767652E-02 
412	 3.01938510498077E-02 
413	 3.03614283824702E-02 
414	 3.01788316175987E-02 
415	 2.99291522099461E-02 
416	 2.99422145537754E-02 
417	 2.99670671430612E-02 
418	 3.00072088607612E-02 
419	 3.00637369220968E-02 
420	 3.00232326535338E-02 
421	 0.02996075558312 
422	 3.00155596171451E-02 
423	 3.02804776090214E-02 
424	 3.04491354804449E-02 
425	 3.03024807561869E-02 
426	 3.00121008219799E-02 
427	 3.01596095015195E-02 
428	 3.01440432101688E-02 
429	 3.01342452266712E-02 
430	 3.02572072436568E-02 
431	 2.99261967603112E-02 
432	 0.029942519531835 
433	 3.02291691491615E-02 
434	 3.02619739103657E-02 
435	 3.04675224238341E-02 
436	 3.04510349137201E-02 
437	 3.01599319234254E-02 
438	 3.01986010106934E-02 
439	 0.030281138905928 
440	 0.030327016382465 
441	 3.03198454999023E-02 
442	 0.030270562427603 
443	 3.03202597604281E-02 
444	 3.04073674033224E-02 
445	 3.03290639395458E-02 
446	 3.03682697065557E-02 
447	 3.03770758032379E-02 
448	 3.02829933804991E-02 
449	 3.03321043620016E-02 
450	 3.04304239758605E-02 
451	 3.04862995976187E-02 
452	 3.04367436152015E-02 
453	 3.04120751639416E-02 
454	 3.04268497717851E-02 
455	 3.04584875055819E-02 
456	 3.04545091312385E-02 
457	 3.04252472760668E-02 
458	 3.04188065821496E-02 
459	 3.04648951741177E-02 
460	 3.05212110506754E-02 
461	 3.05368739849173E-02 
462	 3.05132626230593E-02 
463	 3.04914138452415E-02 
464	 3.05573643286116E-02 
465	 3.06008564472508E-02 
466	 3.05716795641413E-02 
467	 3.05425328835731E-02 
468	 3.06070116424142E-02 
469	 3.05782625981218E-02 
470	 3.03588130239669E-02 
471	 3.05981851476803E-02 
472	 3.06837030308843E-02 
473	 3.05745647821644E-02 
474	 3.06874155296007E-02 
475	 3.06378769613102E-02 
476	 3.05816905885287E-02 
477	 3.06323574252296E-02 
478	 3.06256950103966E-02 
479	 3.05571122748741E-02 
480	 3.05348479576557E-02 
481	 3.06562124548972E-02 
482	 3.06235306749761E-02 
483	 3.06353636317378E-02 
484	 3.07310618993537E-02 
485	 0.030730583101113 
486	 3.07758055678799E-02 
487	 3.07795650022042E-02 
488	 3.06857644943614E-02 
489	 3.06897604564432E-02 
490	 3.07001861909655E-02 
491	 3.07245692427583E-02 
492	 3.08059878258776E-02 
493	 3.07302968977155E-02 
494	 3.07164660348937E-02 
495	 3.08348344643662E-02 
496	 0.030826626850098 
497	 3.07806745349617E-02 
498	 3.07877457003856E-02 
499	 3.08802702217075E-02 
500	 3.08071014246624E-02 
501	 3.07536411893644E-02 
502	 3.07654037744544E-02 
503	 3.07541574320888E-02 
504	 0.030844098573036 
505	 3.08796449359651E-02 
506	 3.07979768689155E-02 
507	 3.08861588789848E-02 
508	 3.09252467091395E-02 
509	 3.08799909332285E-02 
510	 3.08116530056274E-02 
511	 3.08318230952848E-02 
512	 3.08797424732914E-02 
513	 3.09064726101595E-02 
514	 3.09015748863761E-02 
515	 3.08485231064872E-02 
516	 3.08333007420458E-02 
517	 3.09017534777966E-02 
518	 3.08618042594797E-02 
519	 3.08687497953602E-02 
520	 3.09272362612428E-02 
521	 3.09399197023229E-02 
522	 0.030977672902699 
523	 3.09730493944243E-02 
524	 3.09159451139665E-02 
525	 0.030951872836729 
526	 3.09344744059861E-02 
527	 3.09084727511895E-02 
528	 3.09565371688682E-02 
529	 3.09731719903927E-02 
530	 3.09680068032558E-02 
531	 3.09704465723015E-02 
532	 3.10198554244222E-02 
533	 3.10077190019195E-02 
534	 3.09831294371829E-02 
535	 3.09918385867166E-02 
536	 3.09587851200278E-02 
537	 3.09600750163152E-02 
538	 3.09894447403384E-02 
539	 3.09975173639561E-02 
540	 3.10041304040252E-02 
541	 3.10087792587404E-02 
542	 3.10065280319113E-02 
543	 3.09856970630506E-02 
544	 3.10030567818927E-02 
545	 3.10131136807808E-02 
546	 3.09715967963093E-02 
547	 3.09907926688118E-02 
548	 0.03102391534159 
549	 3.10475540399672E-02 
550	 3.10658157819403E-02 
551	 3.10879386453243E-02 
552	 3.11321884575129E-02 
553	 3.11826803750394E-02 
554	 3.11256383374355E-02 
555	 3.11011992854709E-02 
556	 3.11261987811213E-02 
557	 3.11550203735284E-02 
558	 3.11606388150712E-02 
559	 0.031178118595062 
560	 3.12111957607845E-02 
561	 3.12126444599526E-02 
562	 3.11693452015643E-02 
563	 3.11401674199734E-02 
564	 3.11674664219226E-02 
565	 3.11530083116873E-02 
566	 3.11125270512254E-02 
567	 3.10758159935589E-02 
568	 3.10782861139208E-02 
569	 3.10946054491383E-02 
570	 3.11144049086325E-02 
571	 3.11440345996965E-02 
572	 3.12252917778037E-02 
573	 3.12960560713933E-02 
574	 3.13348912502228E-02 
575	 3.13404121365414E-02 
576	 0.031327924587711 
577	 0.03126609001736 
578	 3.11845543878113E-02 
579	 3.11818472285701E-02 
580	 3.11663148733638E-02 
581	 3.11551008771236E-02 
582	 3.11700154356804E-02 
583	 3.11670759496503E-02 
584	 3.11801536986328E-02 
585	 3.12022676530782E-02 
586	 3.12050495589705E-02 
587	 3.12014631271771E-02 
588	 3.12195444511035E-02 
589	 3.12617495412288E-02 
590	 3.12875232221457E-02 
591	 3.13083922060566E-02 
592	 3.13149601055793E-02 
593	 3.13031435544753E-02 
594	 3.13168961921121E-02 
595	 3.13125307581338E-02 
596	 3.12837035756524E-02 
597	 3.12588142829009E-02 
598	 3.12259832953674E-02 
599	 3.12125494282712E-02 
600	 3.12304373693801E-02 
601	 0.031244746604412 
602	 3.12266391653631E-02 
603	 3.12076228953995E-02 
604	 0.031233844717527 
605	 3.12437965772119E-02 
606	 3.12390360596045E-02 
607	 0.031235636082582 
608	 3.12602246297404E-02 
609	 3.12750059816645E-02 
610	 0.0312791818479 
611	 3.12789914827818E-02 
612	 0.031269112109254 
613	 3.12621729679155E-02 
614	 3.12583866043481E-02 
615	 3.12484108900952E-02 
616	 0.031211773464055 
617	 3.12027724965152E-02 
618	 3.12337065637977E-02 
619	 3.12253068446339E-02 
620	 3.12244918595753E-02 
621	 3.12305504879514E-02 
622	 3.12287599677166E-02 
623	 0.03120925996373 
624	 3.12089483039401E-02 
625	 0.031229099511257 
626	 0.031236247559335 
627	 3.12273513752936E-02 
628	 3.12109599202834E-02 
629	 3.11986846483278E-02 
630	 3.12029209481907E-02 
631	 3.12065614552085E-02 
632	 0.031213170538945 
633	 3.12303565595458E-02 
634	 3.12260019735211E-02 
635	 0.031223404174555 
636	 3.12307498004495E-02 
637	 3.12316229504357E-02 
638	 3.12108539106158E-02 
639	 3.11924736464676E-02 
640	 3.11943407732509E-02 
641	 3.11786786623241E-02 
642	 3.11731424525454E-02 
643	 3.11840750456969E-02 
644	 3.12019802300315E-02 
645	 3.12099362271962E-02 
646	 3.11936352361954E-02 
647	 3.11675523177174E-02 
648	 3.11924549904557E-02 
649	 3.11974886242743E-02 
650	 3.11930717066137E-02 
651	 3.12012216497075E-02 
652	 3.11794252058919E-02 
653	 3.11605552715158E-02 
654	 3.11603289764019E-02 
655	 0.031175166802167 
656	 3.11645460741889E-02 
657	 3.11501718875805E-02 
658	 3.11509856842781E-02 
659	 0.03115788098196 
660	 3.11691697614022E-02 
661	 3.11724070066193E-02 
662	 3.11613672643099E-02 
663	 3.11876603717587E-02 
664	 3.11763842028441E-02 
665	 3.11353532104423E-02 
666	 0.031157490935344 
667	 3.11539541064084E-02 
668	 3.11453239960351E-02 
669	 3.11551201001335E-02 
670	 3.11601804396982E-02 
671	 3.11443713058709E-02 
672	 3.11292250817161E-02 
673	 3.11443081533529E-02 
674	 3.11404913060815E-02 
675	 3.11325961091701E-02 
676	 3.11364987528908E-02 
677	 3.11616969089609E-02 
678	 3.11223001847435E-02 
679	 0.031097022928694 
680	 3.11436803469491E-02 
681	 3.11351362882374E-02 
682	 3.11283694548963E-02 
683	 3.11303025458935E-02 
684	 3.11229470399313E-02 
685	 3.11189527774833E-02 
686	 3.11220587588564E-02 
687	 3.11276467858328E-02 
688	 3.11211878339315E-02 
689	 3.11075486124873E-02 
690	 3.10925900178893E-02 
691	 3.10859341323154E-02 
692	 3.11121001465907E-02 
693	 3.11147051757831E-02 
694	 3.10993964067957E-02 
695	 0.031107780343611 
696	 3.11120404719578E-02 
697	 3.11075929495018E-02 
698	 3.10961491561192E-02 
699	 3.10846086141797E-02 
700	 3.10713936022141E-02 
701	 0.031075622965648 
702	 3.11008488177496E-02 
703	 3.10672020037863E-02 
704	 3.10777730682082E-02 
705	 3.11110564051924E-02 
706	 3.10712785340696E-02 
707	 3.10703807457711E-02 
708	 3.10759732981845E-02 
709	 3.10619151093789E-02 
710	 3.10430189936004E-02 
711	 3.10509446461949E-02 
712	 3.10669178022789E-02 
713	 3.10671270008419E-02 
714	 3.10794784949628E-02 
715	 3.10721616626437E-02 
716	 3.10555863285194E-02 
717	 3.10662650760312E-02 
718	 3.10671808072194E-02 
719	 3.10576945637983E-02 
720	 3.10436518350142E-02 
721	 3.10319770981285E-02 
722	 3.10417611686433E-02 
723	 3.10462108859456E-02 
724	 3.10241501526957E-02 
725	 0.031037145785324 
726	 3.10395366254926E-02 
727	 3.10298737894089E-02 
728	 3.10366820167669E-02 
729	 3.10357841841533E-02 
730	 3.10285295244381E-02 
731	 3.10248956097548E-02 
732	 3.10437985437178E-02 
733	 3.10543125419487E-02 
734	 3.10533619941548E-02 
735	 3.10482308997773E-02 
736	 3.10500404702867E-02 
737	 3.10519070345693E-02 
738	 3.10452125328183E-02 
739	 0.031025496633579 
740	 3.10330819539696E-02 
741	 3.10439186027369E-02 
742	 3.10406574999207E-02 
743	 3.10281150334991E-02 
744	 3.10252492375985E-02 
745	 3.10371694656062E-02 
746	 3.10561927240952E-02 
747	 3.10468020162171E-02 
748	 3.10575135614055E-02 
749	 3.10704929915587E-02 
750	 3.10430083724541E-02 
751	 0.031065235085601 
752	 3.10832904384935E-02 
753	 3.10721951347531E-02 
754	 3.10634149187819E-02 
755	 3.10576145251646E-02 
756	 3.10637234769222E-02 
757	 3.10780994525119E-02 
758	 3.10568567526668E-02 
759	 3.10527637871636E-02 
760	 3.10576125854168E-02 
761	 3.10432796584227E-02 
762	 3.10578265038794E-02 
763	 3.10600243703124E-02 
764	 0.031044774211061 
765	 3.10505146794833E-02 
766	 3.10558009577812E-02 
767	 3.10487752469485E-02 
