Wavelength	spectrum00011.asd
350	 3.39579346106736E-02 
351	 2.74162832515389E-02 
352	 2.40056192188121E-02 
353	 2.71595132858811E-02 
354	 2.52063086446207E-02 
355	 2.39545422562828E-02 
356	 2.44876260390149E-02 
357	 2.59174351136156E-02 
358	 2.45322154477625E-02 
359	 2.38067628073257E-02 
360	 2.44427453733229E-02 
361	 2.53137564471361E-02 
362	 2.34294015725426E-02 
363	 2.08461912437356E-02 
364	 2.01903415221007E-02 
365	 2.41585930837377E-02 
366	 2.46882126784994E-02 
367	 2.16191992065062E-02 
368	 1.82123043751052E-02 
369	 2.19426663076506E-02 
370	 2.22241740323841E-02 
371	 2.03391124868753E-02 
372	 2.32196449127569E-02 
373	 2.19205082804614E-02 
374	 2.07387357647852E-02 
375	 2.13773097654403E-02 
376	 1.98032836507357E-02 
377	 0.020548883815467 
378	 2.18073468148342E-02 
379	 2.09842102536492E-02 
380	 1.82636940887096E-02 
381	 1.86190183911433E-02 
382	 2.10071575765411E-02 
383	 0.021008739269896 
384	 2.06873374019521E-02 
385	 0.019814015603025 
386	 1.89875839946617E-02 
387	 2.04041731609024E-02 
388	 0.021699313745151 
389	 2.17423207467485E-02 
390	 2.07139127140134E-02 
391	 2.22620572331229E-02 
392	 2.21961510166334E-02 
393	 2.05659052987648E-02 
394	 2.01804808779592E-02 
395	 2.01122295469899E-02 
396	 2.01966958229754E-02 
397	 2.03627382912707E-02 
398	 2.05141480193458E-02 
399	 2.17236940908767E-02 
400	 2.29010920553836E-02 
401	 2.28004206598718E-02 
402	 2.20881286406902E-02 
403	 2.23242342998276E-02 
404	 2.30445197946937E-02 
405	 2.24751174911038E-02 
406	 2.29343283952766E-02 
407	 2.30112107946418E-02 
408	 2.21291421158675E-02 
409	 2.22887201752488E-02 
410	 2.29057979880277E-02 
411	 0.023375914952041 
412	 2.32320245767078E-02 
413	 2.28172503784243E-02 
414	 2.27742085575249E-02 
415	 2.32481152397132E-02 
416	 2.39149624528494E-02 
417	 2.42798426309666E-02 
418	 2.44456553052794E-02 
419	 2.45436585092048E-02 
420	 2.44076283390747E-02 
421	 2.46143666256358E-02 
422	 2.51155375164017E-02 
423	 2.55334170915726E-02 
424	 2.51906319168762E-02 
425	 2.55092285813241E-02 
426	 0.026434118644531 
427	 2.61162004617937E-02 
428	 2.63564511571048E-02 
429	 0.026694752684513 
430	 2.66465397506854E-02 
431	 2.72574223523458E-02 
432	 2.74422944913466E-02 
433	 2.73887606147169E-02 
434	 2.78942001984874E-02 
435	 2.82386143800274E-02 
436	 2.86941326739437E-02 
437	 2.92874794081366E-02 
438	 2.95032320028342E-02 
439	 0.029580117867569 
440	 2.98422859466714E-02 
441	 0.030455514686406 
442	 3.08601670747698E-02 
443	 3.11474615666709E-02 
444	 0.031363355899958 
445	 3.15153021331399E-02 
446	 3.17536156499722E-02 
447	 3.22385408686517E-02 
448	 3.29396819202661E-02 
449	 3.34546935412142E-02 
450	 3.37570941002695E-02 
451	 0.033971285686317 
452	 3.42978592869136E-02 
453	 3.49127646609311E-02 
454	 3.52663727986623E-02 
455	 3.53353395038799E-02 
456	 3.57225379338299E-02 
457	 3.62949065726487E-02 
458	 0.036838488665021 
459	 3.71946877269424E-02 
460	 3.74161642681515E-02 
461	 3.78118249551721E-02 
462	 3.82486415138239E-02 
463	 3.84159607589863E-02 
464	 3.88669565189686E-02 
465	 3.91496468736638E-02 
466	 3.92063042548468E-02 
467	 3.97541390415989E-02 
468	 4.04123686917957E-02 
469	 4.08063421726715E-02 
470	 4.08088829793279E-02 
471	 4.13202434159384E-02 
472	 4.16083995941733E-02 
473	 4.16715179468771E-02 
474	 4.20984978511219E-02 
475	 4.26528029507009E-02 
476	 4.29208408860849E-02 
477	 4.28501842868915E-02 
478	 4.32526063044352E-02 
479	 4.35203459266419E-02 
480	 0.043734381875177 
481	 4.41538253638515E-02 
482	 4.44269215495795E-02 
483	 4.45720890292133E-02 
484	 0.044742730864051 
485	 4.52010207435441E-02 
486	 4.53576829334875E-02 
487	 4.55100263376494E-02 
488	 4.59078377531926E-02 
489	 4.59958371619569E-02 
490	 4.59820869192093E-02 
491	 4.60445629709967E-02 
492	 0.046305914390499 
493	 4.65536422323028E-02 
494	 4.67594042159387E-02 
495	 4.69141704600298E-02 
496	 4.69895896736697E-02 
497	 4.71598437051676E-02 
498	 4.72842627108303E-02 
499	 4.72124078637382E-02 
500	 4.72077621328118E-02 
501	 4.73519076202447E-02 
502	 4.75411078053282E-02 
503	 4.75280384279062E-02 
504	 0.047351781917525 
505	 4.72464554781532E-02 
506	 4.73071141773247E-02 
507	 4.72240953443613E-02 
508	 4.70351779517683E-02 
509	 4.68363356160158E-02 
510	 0.046724764230515 
511	 4.65437829506058E-02 
512	 4.63860351352272E-02 
513	 4.62710268518857E-02 
514	 4.60994378814259E-02 
515	 4.58019866583284E-02 
516	 4.54875625428641E-02 
517	 4.52446357250509E-02 
518	 4.49107351157262E-02 
519	 4.45591424520904E-02 
520	 4.42711359055305E-02 
521	 4.41028145860261E-02 
522	 4.37744784520226E-02 
523	 4.33798998410476E-02 
524	 4.30402697599375E-02 
525	 4.28376923845284E-02 
526	 4.25194798717084E-02 
527	 4.20962337840411E-02 
528	 4.16909776266018E-02 
529	 4.14634641033351E-02 
530	 4.11062243988732E-02 
531	 4.05887713758037E-02 
532	 4.01985241000792E-02 
533	 3.98784209635349E-02 
534	 3.95359932102063E-02 
535	 3.91187865145759E-02 
536	 0.038721146900616 
537	 3.83390993181403E-02 
538	 3.79585979908751E-02 
539	 3.75658074641659E-02 
540	 0.037230824751575 
541	 3.68419660162412E-02 
542	 3.63707155088588E-02 
543	 3.59482270622175E-02 
544	 3.55788263924938E-02 
545	 3.52355504013451E-02 
546	 3.48824730616595E-02 
547	 3.45143633554725E-02 
548	 0.034108006943033 
549	 3.37118486204039E-02 
550	 0.033430540397638 
551	 3.31890485815375E-02 
552	 3.29128072924396E-02 
553	 3.25638068343365E-02 
554	 3.21791547125346E-02 
555	 3.18670864074742E-02 
556	 3.15712213133785E-02 
557	 3.11810179499544E-02 
558	 3.08451132426888E-02 
559	 3.04992655600716E-02 
560	 3.01440563090887E-02 
561	 2.98981242772001E-02 
562	 2.95968225727358E-02 
563	 2.92969796254565E-02 
564	 2.90552368941052E-02 
565	 2.86761728617052E-02 
566	 0.028335297754378 
567	 2.80296047614151E-02 
568	 2.76360919143539E-02 
569	 2.73705215407683E-02 
570	 2.71580751140204E-02 
571	 2.69471198488226E-02 
572	 2.68338942386279E-02 
573	 2.67595131837707E-02 
574	 2.66816393826437E-02 
575	 2.65513720496239E-02 
576	 2.62579344014726E-02 
577	 2.59818633583886E-02 
578	 2.57452767926018E-02 
579	 2.53743266167793E-02 
580	 2.50453197608468E-02 
581	 2.47826545144072E-02 
582	 0.024582728260921 
583	 2.44864307771289E-02 
584	 2.43837156622268E-02 
585	 2.42529287569774E-02 
586	 2.41234113291988E-02 
587	 2.39480338820983E-02 
588	 2.37854684980135E-02 
589	 2.36529510142261E-02 
590	 2.34772874409373E-02 
591	 2.33606458943597E-02 
592	 2.32746463930496E-02 
593	 2.31640467234249E-02 
594	 2.30610067376882E-02 
595	 2.28914929099101E-02 
596	 2.26570136749531E-02 
597	 2.24244343464867E-02 
598	 2.21606797089428E-02 
599	 2.19430349978352E-02 
600	 2.18063440070933E-02 
601	 2.16479161989731E-02 
602	 2.15228831441231E-02 
603	 2.14407342433225E-02 
604	 2.13853282771782E-02 
605	 2.13106633917601E-02 
606	 2.12270114298295E-02 
607	 2.11273665306269E-02 
608	 2.09768772913976E-02 
609	 2.08883627344612E-02 
610	 2.08079522563204E-02 
611	 2.06784604289666E-02 
612	 2.05809137103512E-02 
613	 2.05057778097269E-02 
614	 2.04398979460039E-02 
615	 2.03681478973869E-02 
616	 2.02926063170983E-02 
617	 2.02205816794698E-02 
618	 2.01405127920709E-02 
619	 1.99981635428015E-02 
620	 1.99307543367711E-02 
621	 1.99230089657476E-02 
622	 1.99087811854289E-02 
623	 1.98641357807917E-02 
624	 1.98032427727221E-02 
625	 0.01972496297904 
626	 1.96173129945697E-02 
627	 1.95759106919892E-02 
628	 1.95536953791022E-02 
629	 1.95077833846256E-02 
630	 1.94776758754422E-02 
631	 0.019447553169403 
632	 1.94157845408455E-02 
633	 1.93897918714536E-02 
634	 1.93984871040091E-02 
635	 1.93882255611298E-02 
636	 1.93424989699101E-02 
637	 1.92993430974925E-02 
638	 1.92705870026247E-02 
639	 1.92739640841529E-02 
640	 1.92992362591282E-02 
641	 1.92424568038009E-02 
642	 1.92297208512187E-02 
643	 0.019267300874877 
644	 1.92863015344348E-02 
645	 1.92791430215923E-02 
646	 1.93007253168248E-02 
647	 1.93430281852438E-02 
648	 1.92777846655388E-02 
649	 1.92774047999024E-02 
650	 1.93287577211064E-02 
651	 1.93644949207747E-02 
652	 0.019354446376436 
653	 1.93418620023582E-02 
654	 1.93522231764947E-02 
655	 1.93895746181963E-02 
656	 1.94097298165918E-02 
657	 1.94111705654238E-02 
658	 0.01941330338635 
659	 1.94632363738774E-02 
660	 1.95329705594429E-02 
661	 1.95867832303058E-02 
662	 1.96027329729642E-02 
663	 1.96525283845305E-02 
664	 0.019704118032676 
665	 1.97485894320559E-02 
666	 1.98050046351448E-02 
667	 1.98400928097414E-02 
668	 1.98508120647235E-02 
669	 1.98624825280082E-02 
670	 1.99634880352509E-02 
671	 0.020026001346381 
672	 2.00538745789779E-02 
673	 2.01059919205485E-02 
674	 2.01554275161157E-02 
675	 2.02255401244151E-02 
676	 2.03104423952718E-02 
677	 2.03662560426248E-02 
678	 2.04262120982375E-02 
679	 2.04775709251802E-02 
680	 2.05132805641363E-02 
681	 2.05719381797158E-02 
682	 2.06577315036065E-02 
683	 2.07614549143261E-02 
684	 2.08600475701321E-02 
685	 2.08898877578761E-02 
686	 2.09408304091441E-02 
687	 2.10365438251146E-02 
688	 2.10858948123174E-02 
689	 0.021174457357459 
690	 2.12738187776719E-02 
691	 2.13452889104436E-02 
692	 2.14213861973988E-02 
693	 2.14969738356787E-02 
694	 0.021578811269858 
695	 2.16757523791634E-02 
696	 2.17439657119546E-02 
697	 2.18267412206218E-02 
698	 2.19286666685999E-02 
699	 2.19760765712178E-02 
700	 0.022078958344352 
701	 0.022200327870609 
702	 2.22819067668402E-02 
703	 2.23528786279245E-02 
704	 2.24522452197518E-02 
705	 2.25725815860683E-02 
706	 2.26766575477455E-02 
707	 0.022790807279274 
708	 2.28871153687705E-02 
709	 0.022961613333776 
710	 2.30607080616999E-02 
711	 2.31477562657496E-02 
712	 2.32568211895018E-02 
713	 2.34060600869805E-02 
714	 2.34636932490712E-02 
715	 2.35657774610524E-02 
716	 2.37064776123869E-02 
717	 2.37831842544218E-02 
718	 2.38664545079686E-02 
719	 0.023974926020229 
720	 0.024094874865127 
721	 2.41680512382208E-02 
722	 2.42823270856822E-02 
723	 2.44069431885737E-02 
724	 2.44973552056035E-02 
725	 2.46047154583834E-02 
726	 2.47225780137655E-02 
727	 2.48374997649963E-02 
728	 0.024934261231731 
729	 0.025020446839257 
730	 0.025116465159315 
731	 2.52267106879573E-02 
732	 2.53270725082262E-02 
733	 2.54330232184149E-02 
734	 2.55341427146142E-02 
735	 2.56234976231601E-02 
736	 2.57360962797948E-02 
737	 2.58422816029757E-02 
738	 2.59310233230133E-02 
739	 2.60091752744527E-02 
740	 2.61165593095491E-02 
741	 2.62341924953191E-02 
742	 2.63483763365546E-02 
743	 2.64660210455182E-02 
744	 2.65600740387532E-02 
745	 2.66471184574586E-02 
746	 2.67438885737676E-02 
747	 2.68231678451137E-02 
748	 2.69129294012652E-02 
749	 2.70184949696027E-02 
750	 2.71293181343819E-02 
751	 2.72326898242302E-02 
752	 2.73175697849408E-02 
753	 2.73900994702836E-02 
754	 2.74768431285089E-02 
755	 2.76008938867893E-02 
756	 2.76996958117979E-02 
757	 2.77457981892126E-02 
758	 0.027873644790614 
759	 2.79646427139251E-02 
760	 2.80293099572148E-02 
761	 2.81293488743102E-02 
762	 2.82365910410493E-02 
763	 0.028299371748738 
764	 0.028341126790869 
765	 2.84589633289668E-02 
766	 2.85490990135478E-02 
767	 2.86183425905197E-02 
768	 2.86910457466762E-02 
769	 2.87824018468836E-02 
770	 0.028857764489438 
771	 2.89303433324234E-02 
772	 2.90236723127891E-02 
773	 2.91184570355405E-02 
774	 0.029210427199764 
775	 2.92882078781664E-02 
776	 2.93420758600093E-02 
777	 2.94473247321287E-02 
778	 2.95514294674808E-02 
779	 2.96215940625361E-02 
780	 2.96889402553504E-02 
781	 2.98058954077584E-02 
782	 2.99103521155406E-02 
783	 2.99497468623618E-02 
784	 3.00277198450153E-02 
785	 3.01039565126102E-02 
786	 3.01866108405703E-02 
787	 3.03035023735332E-02 
788	 3.04149994515532E-02 
789	 0.030520673188463 
790	 3.05990919689592E-02 
791	 3.06073590141218E-02 
792	 0.030698804695467 
793	 3.08372546120091E-02 
794	 3.09584665518138E-02 
795	 3.10350428787635E-02 
796	 3.11099858808605E-02 
797	 3.11952420923143E-02 
798	 3.12886663139559E-02 
799	 3.13826222931023E-02 
800	 3.14707369741684E-02 
801	 3.15720385722476E-02 
802	 3.17136810699332E-02 
803	 3.18043472986148E-02 
804	 0.03188950412514 
805	 3.19949268536638E-02 
806	 3.20886635704425E-02 
807	 3.21955575954191E-02 
808	 3.23163590018117E-02 
809	 0.032437841275411 
810	 3.25215806923963E-02 
811	 3.26246997420848E-02 
812	 0.032747633661839 
813	 3.28708212784322E-02 
814	 3.30261013606651E-02 
815	 3.31612668683214E-02 
816	 3.32698499373123E-02 
817	 3.33907032109557E-02 
818	 3.35440398057319E-02 
819	 3.36911911755527E-02 
820	 3.38185111424142E-02 
821	 0.033969554460468 
822	 3.40721004585887E-02 
823	 3.41835420493638E-02 
824	 3.43589535783029E-02 
825	 0.034540998236262 
826	 3.46864176695441E-02 
827	 3.48200850544706E-02 
828	 3.49872020523346E-02 
829	 3.51311754867953E-02 
830	 0.035350135987614 
831	 3.55944567679794E-02 
832	 3.57031882233047E-02 
833	 3.58646204071397E-02 
834	 3.60434978010812E-02 
835	 0.03622572923818 
836	 3.64793497168198E-02 
837	 3.66780749318735E-02 
838	 3.68433243234429E-02 
839	 0.037025470177456 
840	 3.72402862595435E-02 
841	 3.74723558955894E-02 
842	 3.76998522308969E-02 
843	 3.79078853311784E-02 
844	 3.81205036269283E-02 
845	 3.83777642301455E-02 
846	 3.86442834383836E-02 
847	 3.88438994060554E-02 
848	 3.90509607520508E-02 
849	 3.92850225245917E-02 
850	 3.95533016495713E-02 
851	 3.98512888136295E-02 
852	 4.01026989330147E-02 
853	 4.03292718278772E-02 
854	 4.05906971618073E-02 
855	 0.040986320630781 
856	 4.12591325204638E-02 
857	 4.14681792186984E-02 
858	 4.17439445968902E-02 
859	 4.20666996087253E-02 
860	 4.24262984273345E-02 
861	 4.27987297669861E-02 
862	 4.31433067051028E-02 
863	 4.33534634393673E-02 
864	 4.36935634447157E-02 
865	 4.41514901735992E-02 
866	 4.44825533919396E-02 
867	 4.48699770757007E-02 
868	 4.52427636638441E-02 
869	 4.55809008788805E-02 
870	 4.59754200069272E-02 
871	 0.046440642382333 
872	 0.046878039409624 
873	 4.72473010450784E-02 
874	 4.76928622799499E-02 
875	 4.81626233483019E-02 
876	 4.86248796584582E-02 
877	 0.049062115396373 
878	 0.049480562671453 
879	 5.00295288388617E-02 
880	 5.05960513303515E-02 
881	 0.051011151722423 
882	 0.051567608048055 
883	 5.20853326203457E-02 
884	 5.25795152845177E-02 
885	 0.053203407040693 
886	 5.37779119571891E-02 
887	 0.054306268559487 
888	 5.48426984843392E-02 
889	 5.54637771949452E-02 
890	 5.61065879400795E-02 
891	 5.66901078858925E-02 
892	 0.057240739259486 
893	 5.79597297078236E-02 
894	 5.86468294183734E-02 
895	 5.92681887143518E-02 
896	 5.98860593190787E-02 
897	 6.06986498847236E-02 
898	 6.14191965888932E-02 
899	 6.20691678231532E-02 
900	 6.27682310105917E-02 
901	 6.35578151195554E-02 
902	 6.43208923598816E-02 
903	 6.50504858627774E-02 
904	 0.065805955791869 
905	 6.66517910029596E-02 
906	 6.75057596708862E-02 
907	 6.83178839932959E-02 
908	 6.90921027296664E-02 
909	 6.99709070734105E-02 
910	 7.08751552367873E-02 
911	 7.17297359810523E-02 
912	 7.25124039395209E-02 
913	 0.073408564933491 
914	 7.44006693900541E-02 
915	 7.54249953077605E-02 
916	 7.64060534934497E-02 
917	 7.73132281664015E-02 
918	 7.82552248920198E-02 
919	 7.92811548992885E-02 
920	 0.080276613697995 
921	 8.13535383795907E-02 
922	 0.082478774073351 
923	 8.35811120671236E-02 
924	 8.45972089156238E-02 
925	 8.56929924667439E-02 
926	 0.08683162162343 
927	 8.79310556932906E-02 
928	 8.89895876861375E-02 
929	 9.01782455751166E-02 
930	 9.14657360358053E-02 
931	 9.27372804397309E-02 
932	 9.39590328685569E-02 
933	 9.52069301296688E-02 
934	 9.64570684979409E-02 
935	 9.76563824362703E-02 
936	 9.88861943508677E-02 
937	 0.100245153885155 
938	 0.101644380770164 
939	 0.102911592127913 
940	 0.104263021145912 
941	 0.105593209137647 
942	 0.106898642834333 
943	 0.108273491327834 
944	 0.10960601740143 
945	 0.111005630335622 
946	 0.11249724912017 
947	 0.113990035212178 
948	 0.115404791772196 
949	 0.116871797788544 
950	 0.118383601468718 
951	 0.11975254266225 
952	 0.121333864834451 
953	 0.122854092606438 
954	 0.124222335526911 
955	 0.125771719882024 
956	 0.127304904138428 
957	 0.128884331468221 
958	 0.130513351839469 
959	 0.132018952761269 
960	 0.133430531293699 
961	 0.13495539724695 
962	 0.136612658279896 
963	 0.137981999111795 
964	 0.139567997078315 
965	 0.141210702305736 
966	 0.142754605158252 
967	 0.144466736780637 
968	 0.146121285982068 
969	 0.147718043289494 
970	 0.149321146895382 
971	 0.150994256420436 
972	 0.152565934713688 
973	 0.154102879468492 
974	 0.155705349502141 
975	 0.157353090730762 
976	 0.158869991061597 
977	 0.16053695101162 
978	 0.162514675178968 
979	 0.164164533619562 
980	 0.16574333985796 
981	 0.167327988367233 
982	 0.168959288725536 
983	 0.170755890930081 
984	 0.172426822178362 
985	 0.174096847784262 
986	 0.175900581880997 
987	 0.177497033907072 
988	 0.179277777403083 
989	 0.181044441124432 
990	 0.182577860280521 
991	 0.184350552063392 
992	 0.186035340974507 
993	 0.187722847174513 
994	 0.189531206526549 
995	 0.191129068298824 
996	 0.19283664664252 
997	 0.19454355036134 
998	 0.196126425920778 
999	 0.197972972529167 
1000	 0.19968009998888 
1001	 0.206717533194141 
1002	 0.208462519283302 
1003	 0.210348509690942 
1004	 0.212045517497724 
1005	 0.2135764164656 
1006	 0.215284533824536 
1007	 0.21697450032999 
1008	 0.218751661251691 
1009	 0.220660115060853 
1010	 0.222477694788032 
1011	 0.224404234792167 
1012	 0.226142002739836 
1013	 0.227691338606916 
1014	 0.229369506128837 
1015	 0.231038724785921 
1016	 0.232585534644858 
1017	 0.234380892662703 
1018	 0.236174575367374 
1019	 0.23789152416991 
1020	 0.239631561978242 
1021	 0.241296066068047 
1022	 0.242879143974558 
1023	 0.244515765666422 
1024	 0.246114103345228 
1025	 0.247763278362211 
1026	 0.249476514611303 
1027	 0.251097917200933 
1028	 0.252690413516137 
1029	 0.254333686741981 
1030	 0.255787548359081 
1031	 0.257271034850745 
1032	 0.258748791016949 
1033	 0.260128510548529 
1034	 0.261629997094319 
1035	 0.263150313037365 
1036	 0.264642888144739 
1037	 0.266202692605283 
1038	 0.267653692476574 
1039	 0.269036774373312 
1040	 0.270422541626799 
1041	 0.271719348908499 
1042	 0.273088178517404 
1043	 0.274487344032242 
1044	 0.27587627519992 
1045	 0.277316409582331 
1046	 0.278777643793749 
1047	 0.280016118932625 
1048	 0.28118868495554 
1049	 0.282385469070519 
1050	 0.283526077800679 
1051	 0.284735385257833 
1052	 0.286047055081503 
1053	 0.287350322129057 
1054	 0.288681867297684 
1055	 0.289959525843526 
1056	 0.291211316092575 
1057	 0.292522843062498 
1058	 0.293833572468352 
1059	 0.295121987516725 
1060	 0.296508723227889 
1061	 0.297901789423056 
1062	 0.29916159897141 
1063	 0.300465120655531 
1064	 0.301781273690928 
1065	 0.303106906193167 
1066	 0.30454886020349 
1067	 0.306040426687475 
1068	 0.307535680963691 
1069	 0.309023044930697 
1070	 0.310524969466266 
1071	 0.312038501747905 
1072	 0.313510316062481 
1073	 0.314939286556968 
1074	 0.316473133455659 
1075	 0.318019464378486 
1076	 0.319575134984729 
1077	 0.321286803208767 
1078	 0.322923394423815 
1079	 0.32452547614501 
1080	 0.326190887116675 
1081	 0.327714189033556 
1082	 0.329228182490089 
1083	 0.330778789334891 
1084	 0.332310341553471 
1085	 0.333901636262596 
1086	 0.3354331423768 
1087	 0.336964402670117 
1088	 0.338488314607028 
1089	 0.33998174503365 
1090	 0.341340036414603 
1091	 0.342763896497234 
1092	 0.344145497804052 
1093	 0.345424592878901 
1094	 0.346834340700277 
1095	 0.34818026447829 
1096	 0.34943025939322 
1097	 0.350705009218535 
1098	 0.351849833731029 
1099	 0.353007088696999 
1100	 0.35415557656239 
1101	 0.355179230997859 
1102	 0.356264164023852 
1103	 0.357271102830818 
1104	 0.358218580359036 
1105	 0.35910616822991 
1106	 0.359990613497729 
1107	 0.360745591343353 
1108	 0.361472273526176 
1109	 0.362188958952038 
1110	 0.362893018743273 
1111	 0.363558096946809 
1112	 0.364140905431034 
1113	 0.364727307122509 
1114	 0.365263848224015 
1115	 0.365745387472842 
1116	 0.366268310518722 
1117	 0.366764756275324 
1118	 0.367223393084558 
1119	 0.367687238999019 
1120	 0.36809331587156 
1121	 0.368445380309127 
1122	 0.368770805799344 
1123	 0.369097621315864 
1124	 0.369419359737373 
1125	 0.369767381626459 
1126	 0.370091781308438 
1127	 0.370423743064277 
1128	 0.370758703964941 
1129	 0.371047068075228 
1130	 0.371321694079279 
1131	 0.371531841765594 
1132	 0.371688978948077 
1133	 0.37189611168596 
1134	 0.372115648232838 
1135	 0.372344887025765 
1136	 0.372626797644776 
1137	 0.372891890495282 
1138	 0.373135233630263 
1139	 0.373386454682692 
1140	 0.373661240089199 
1141	 0.373907802753759 
1142	 0.374135949286654 
1143	 0.374355749882133 
1144	 0.374582181334407 
1145	 0.374799786154158 
1146	 0.374975630666869 
1147	 0.375185082654306 
1148	 0.375387441775417 
1149	 0.375540554111437 
1150	 0.375718890296507 
1151	 0.375910878594069 
1152	 0.376104015664772 
1153	 0.376324206340865 
1154	 0.376500934552943 
1155	 0.376656474417286 
1156	 0.376816701916975 
1157	 0.376946407258913 
1158	 0.377075998384433 
1159	 0.377228818853244 
1160	 0.377364953815094 
1161	 0.377419352694457 
1162	 0.377493935144056 
1163	 0.377512643231777 
1164	 0.377519513969707 
1165	 0.377592408710621 
1166	 0.377637194065348 
1167	 0.377690770304784 
1168	 0.377753983300903 
1169	 0.377812138456533 
1170	 0.377861473657135 
1171	 0.377905854925382 
1172	 0.377978974456417 
1173	 0.377999657334017 
1174	 0.377969160569463 
1175	 0.377961213962875 
1176	 0.377918729478176 
1177	 0.377911466541283 
1178	 0.377938919535559 
1179	 0.377955463801584 
1180	 0.37794246229445 
1181	 0.377948354905207 
1182	 0.377944420756829 
1183	 0.377917323946193 
1184	 0.377948515567124 
1185	 0.378007811523016 
1186	 0.378036765769535 
1187	 0.378046717163924 
1188	 0.378106747830564 
1189	 0.378162742055217 
1190	 0.378252301784736 
1191	 0.378388415672177 
1192	 0.378530229060149 
1193	 0.378693685443291 
1194	 0.378847692800608 
1195	 0.378995595593561 
1196	 0.379190997300178 
1197	 0.3794043032504 
1198	 0.379619274878181 
1199	 0.379909219189134 
1200	 0.380201377433141 
1201	 0.380435732100361 
1202	 0.380698205677642 
1203	 0.380984921927891 
1204	 0.381294006173166 
1205	 0.381640831818799 
1206	 0.382031415103916 
1207	 0.382464727923571 
1208	 0.382889912670532 
1209	 0.383424897270161 
1210	 0.384029844002924 
1211	 0.384705189303654 
1212	 0.385474577682806 
1213	 0.386284371556515 
1214	 0.387174331199423 
1215	 0.388088063151983 
1216	 0.389055654574127 
1217	 0.390026889568709 
1218	 0.391019978930927 
1219	 0.392045889161497 
1220	 0.393107248522374 
1221	 0.39424954206471 
1222	 0.395343691925241 
1223	 0.396458914908749 
1224	 0.397523374056754 
1225	 0.398540534629481 
1226	 0.399535636627073 
1227	 0.400520439729231 
1228	 0.401463737864432 
1229	 0.402378933933116 
1230	 0.403252757549143 
1231	 0.404103003443761 
1232	 0.404906443328351 
1233	 0.40562649192808 
1234	 0.406364550723213 
1235	 0.407096016442339 
1236	 0.407794011850832 
1237	 0.408494451424619 
1238	 0.409149664906634 
1239	 0.409742386325038 
1240	 0.410331416525425 
1241	 0.410957516327366 
1242	 0.411520397455842 
1243	 0.412063880716583 
1244	 0.412609450352274 
1245	 0.413097543509981 
1246	 0.413497267870916 
1247	 0.413975675792695 
1248	 0.414472197995656 
1249	 0.414941292764499 
1250	 0.415476167920425 
1251	 0.415876674983446 
1252	 0.416194004053794 
1253	 0.416502154779336 
1254	 0.416756381711889 
1255	 0.416973096213687 
1256	 0.417139899467172 
1257	 0.417315530229727 
1258	 0.417430438861743 
1259	 0.41756972646282 
1260	 0.41775346267116 
1261	 0.41789491169152 
1262	 0.417998504795384 
1263	 0.418109948372391 
1264	 0.418238599859614 
1265	 0.418358327952887 
1266	 0.418488411851098 
1267	 0.418641153587768 
1268	 0.41878908077258 
1269	 0.418930232551297 
1270	 0.419074307487664 
1271	 0.419240412177351 
1272	 0.41938158238062 
1273	 0.419486169429591 
1274	 0.419632022940379 
1275	 0.419794946501644 
1276	 0.419952138134292 
1277	 0.420141229524365 
1278	 0.420302161496657 
1279	 0.420422854501768 
1280	 0.420579794015726 
1281	 0.420699153803827 
1282	 0.420901483037678 
1283	 0.4211670262201 
1284	 0.421448587182808 
1285	 0.421766963177489 
1286	 0.422151851866135 
1287	 0.422515299551698 
1288	 0.422879600352121 
1289	 0.423283498186898 
1290	 0.42369835999393 
1291	 0.42416894535713 
1292	 0.424689922607331 
1293	 0.425211140196682 
1294	 0.4257344779627 
1295	 0.426346159961488 
1296	 0.427004636060443 
1297	 0.427686887199393 
1298	 0.428486772566474 
1299	 0.429214095106959 
1300	 0.429905868117664 
1301	 0.430622231270353 
1302	 0.431336514501248 
1303	 0.432053828977314 
1304	 0.43279027869706 
1305	 0.433512766484704 
