Wavelength	Tablay400073.asd
350	 0.239282102427898 
351	 0.258458993787211 
352	 0.226145546300416 
353	 0.172788207888082 
354	 0.149296431803132 
355	 0.153131002578904 
356	 0.112663601772027 
357	 2.44178563254371E-02 
358	 0.142870042308801 
359	 0.184613062619315 
360	 0.147056679811905 
361	 0.172878192393424 
362	 0.172973200056624 
363	 0.167077410492326 
364	 0.160124489266829 
365	 0.121108577480256 
366	 9.43237476861095E-02 
367	 8.45046096451147E-02 
368	 9.70318804332102E-02 
369	 0.180986169965857 
370	 0.153073808223027 
371	 7.91086168474671E-02 
372	 0.13988285643457 
373	 9.53262850398894E-02 
374	 6.79395805939192E-02 
375	 0.111464697800482 
376	 0.126841149118113 
377	 0.110845687593797 
378	 9.47184670665984E-02 
379	 0.100305840991654 
380	 0.094014880004783 
381	 0.121992126909233 
382	 0.140077129569657 
383	 0.080714404312319 
384	 8.37145151886962E-02 
385	 8.85643382020434E-02 
386	 6.46677672297176E-02 
387	 6.27523978869976E-02 
388	 8.59254974929593E-02 
389	 9.72451379383677E-02 
390	 7.44670549794803E-02 
391	 7.68360259913927E-02 
392	 7.49787604038713E-02 
393	 6.51475506053739E-02 
394	 6.10484993111668E-02 
395	 6.32621236878972E-02 
396	 5.83184257425121E-02 
397	 4.74760933942524E-02 
398	 0.057539982471723 
399	 7.78030178978558E-02 
400	 8.43835879231484E-02 
401	 6.57739800327199E-02 
402	 6.05709272083827E-02 
403	 7.48223330491566E-02 
404	 0.090470459702411 
405	 0.076506760613309 
406	 6.95070891249099E-02 
407	 7.05088522095489E-02 
408	 7.29577943029427E-02 
409	 6.53467508891884E-02 
410	 5.85664401492723E-02 
411	 5.27762892152042E-02 
412	 4.63986743497034E-02 
413	 4.56326586586855E-02 
414	 4.57535665644507E-02 
415	 4.66284880919465E-02 
416	 5.20400010540227E-02 
417	 5.20030180839821E-02 
418	 5.47841369166843E-02 
419	 6.20267500636601E-02 
420	 5.31609252836129E-02 
421	 4.08438022607986E-02 
422	 3.70056752212577E-02 
423	 4.83228432276654E-02 
424	 5.32441649645449E-02 
425	 5.15834821287189E-02 
426	 4.61036774014809E-02 
427	 4.05982252226658E-02 
428	 4.26795409934449E-02 
429	 0.046284512476087 
430	 4.55092995997598E-02 
431	 4.37520333825376E-02 
432	 0.040836192836047 
433	 3.95362560332043E-02 
434	 4.29103249289416E-02 
435	 4.25749622813424E-02 
436	 4.31054304325929E-02 
437	 4.59581396972312E-02 
438	 4.61073040100847E-02 
439	 4.33492560088287E-02 
440	 0.041690620745058 
441	 4.36976506782509E-02 
442	 4.09045040365455E-02 
443	 3.93521182246069E-02 
444	 3.93336663489942E-02 
445	 3.68185704764438E-02 
446	 3.63884220496718E-02 
447	 3.71019617711847E-02 
448	 3.81789485620685E-02 
449	 4.15530727573493E-02 
450	 4.15985082388577E-02 
451	 0.03874430466317 
452	 3.61710107973505E-02 
453	 3.77237883104108E-02 
454	 3.93808971666064E-02 
455	 3.95631399688377E-02 
456	 3.98650665797999E-02 
457	 3.94509689934478E-02 
458	 3.95440673996372E-02 
459	 3.99383341168522E-02 
460	 0.034329595786902 
461	 3.41383282926683E-02 
462	 3.77110510240693E-02 
