Wavelength	Tablay400038.asd
350	 0.245497804025838 
351	 0.333144034409146 
352	 0.225921027881987 
353	 1.56461686463182E-02 
354	 0.111377182667175 
355	 0.175772225246081 
356	 0.191649975789984 
357	 0.207666067840378 
358	 0.203370574566412 
359	 0.18992182171786 
360	 0.190361679480505 
361	 0.216512847357245 
362	 0.181135976191978 
363	 0.185872353225843 
364	 0.223778444235329 
365	 0.11006790928295 
366	 7.02658974828008E-02 
367	 8.03717312779854E-02 
368	 8.08558265942907E-02 
369	 0.127666398855128 
370	 0.128896922739542 
371	 0.100196438250604 
372	 0.116086152226026 
373	 0.138489667015734 
374	 0.161604268947584 
375	 0.170825342395596 
376	 0.133289186631875 
377	 8.33537386421509E-02 
378	 8.27633287732084E-02 
379	 0.143976379017486 
380	 7.81466663529829E-02 
381	 7.25617159095441E-02 
382	 0.112070615813446 
383	 7.35340969727208E-02 
384	 0.08265543180404 
385	 0.104404057255305 
386	 0.111363873488044 
387	 0.120850472797727 
388	 0.111949287256502 
389	 0.100121309553644 
390	 0.100693937368433 
391	 9.14519337548085E-02 
392	 0.110856139862642 
393	 0.134399631738377 
394	 0.105129559604234 
395	 8.60279664512141E-02 
396	 8.80646771507327E-02 
397	 9.93339390598257E-02 
398	 7.87854422153796E-02 
399	 9.78888146748985E-02 
400	 0.122551608461549 
401	 0.112296079032953 
402	 0.121481257772432 
403	 0.109930965174546 
404	 8.82645180568586E-02 
405	 0.100630479351799 
406	 0.10546339670263 
407	 9.87808781431161E-02 
408	 8.90510965153031E-02 
409	 9.85276547080317E-02 
410	 9.62477586475067E-02 
411	 9.01232079298805E-02 
412	 9.43327867152688E-02 
413	 0.08959542200407 
414	 7.58992288825188E-02 
415	 6.75294693359336E-02 
416	 8.66116598696501E-02 
417	 9.17873700295135E-02 
418	 8.90720992938067E-02 
419	 0.088924920519663 
420	 9.42541171705467E-02 
421	 8.51331089048532E-02 
422	 7.43302110196601E-02 
423	 8.16794813837073E-02 
424	 0.083171876730182 
425	 8.60879913194031E-02 
426	 8.93364831545074E-02 
427	 8.06086320501301E-02 
428	 0.082977841176549 
429	 8.73149292416597E-02 
430	 8.37289160123848E-02 
431	 7.98096986773288E-02 
432	 8.03651927185252E-02 
433	 8.34632604929845E-02 
434	 8.38549386388465E-02 
435	 8.11615692920176E-02 
436	 0.084710670246692 
437	 9.28905281596041E-02 
438	 8.65239172801867E-02 
439	 8.11068299504565E-02 
440	 7.98234370022381E-02 
441	 8.14912639665379E-02 
442	 8.28649667071475E-02 
443	 8.18688516516609E-02 
444	 0.07932016618823 
445	 7.80628398879583E-02 
446	 7.70378873202071E-02 
447	 7.66259360564905E-02 
448	 7.74053550240607E-02 
449	 8.06262568956016E-02 
450	 8.00604284618709E-02 
451	 7.76781508393561E-02 
452	 7.78536949406396E-02 
453	 0.079121048698518 
454	 7.77227973982023E-02 
455	 7.56710604485471E-02 
456	 8.08483836129999E-02 
457	 7.91370796419427E-02 
458	 7.55818947424919E-02 
