Carpeta,Tabla,Espectro,Pigmento,Aglutinante,Base de preparación
Tablas1,C1,E500000.asd,Gualda,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,E500001.asd,Gualda,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,E500002.asd,Gualda,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,A100006.asd,Ocre claro,Aceite de linaza,carbonato de calcio
Tablas1,C2,A100007.asd,Ocre claro,Aceite de linaza,carbonato de calcio
Tablas1,C2,A100008.asd,Ocre claro,Aceite de linaza,carbonato de calcio
Tablas1,C2,A200000.asd,Ocre claro,aceite de nuez,carbonato de calcio
Tablas1,C2,A200001.asd,Ocre claro,aceite de nuez,carbonato de calcio
Tablas1,C2,A200002.asd,Ocre claro,aceite de nuez,carbonato de calcio
Tablas1,C2,A300000.asd,Ocre claro,yema de huevo,carbonato de calcio
Tablas1,C2,A300001.asd,Ocre claro,yema de huevo,carbonato de calcio
Tablas1,C2,A300002.asd,Ocre claro,yema de huevo,carbonato de calcio
Tablas1,C2,A400000.asd,Ocre claro,cola de conejo,carbonato de calcio
Tablas1,C2,A400001.asd,Ocre claro,cola de conejo,carbonato de calcio
Tablas1,C2,A400002.asd,Ocre claro,cola de conejo,carbonato de calcio
Tablas1,C2,A500000.asd,Ocre claro,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,A500001.asd,Ocre claro,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,A500002.asd,Ocre claro,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,B100000.asd,Sombra tostada de Chipre,Aceite de linaza,carbonato de calcio
Tablas1,C2,B100001.asd,Sombra tostada de Chipre,Aceite de linaza,carbonato de calcio
Tablas1,C2,B100002.asd,Sombra tostada de Chipre,Aceite de linaza,carbonato de calcio
Tablas1,C2,B200000.asd,Sombra tostada de Chipre,aceite de nuez,carbonato de calcio
Tablas1,C2,B200001.asd,Sombra tostada de Chipre,aceite de nuez,carbonato de calcio
Tablas1,C2,B200002.asd,Sombra tostada de Chipre,aceite de nuez,carbonato de calcio
Tablas1,C2,B300000.asd,Sombra tostada de Chipre,yema de huevo,carbonato de calcio
Tablas1,C2,B300001.asd,Sombra tostada de Chipre,yema de huevo,carbonato de calcio
Tablas1,C2,B300002.asd,Sombra tostada de Chipre,yema de huevo,carbonato de calcio
Tablas1,C2,B400000.asd,Sombra tostada de Chipre,cola de conejo,carbonato de calcio
Tablas1,C2,B400001.asd,Sombra tostada de Chipre,cola de conejo,carbonato de calcio
Tablas1,C2,B400002.asd,Sombra tostada de Chipre,cola de conejo,carbonato de calcio
Tablas1,C2,B500000.asd,Sombra tostada de Chipre,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,B500001.asd,Sombra tostada de Chipre,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,B500002.asd,Sombra tostada de Chipre,almaciga y aceite de linaza,carbonato de calcio
