Wavelength	5c.001
350	 1.1178126335144 
351	 1.12831878662109 
352	 1.14705169200897 
353	 1.16512453556061 
354	 1.16969740390778 
355	 1.18153524398804 
356	 1.20131361484528 
357	 1.22344636917114 
358	 1.23929190635681 
359	 1.26086258888245 
360	 1.27392220497131 
361	 1.25801217556 
362	 1.26383543014526 
363	 1.28343534469604 
364	 1.30505204200745 
365	 1.31875276565552 
366	 1.31264901161194 
367	 1.31280219554901 
368	 1.33458912372589 
369	 1.32695758342743 
370	 1.31965363025665 
371	 1.32261276245117 
372	 1.33332049846649 
373	 1.34843289852142 
374	 1.35280537605286 
375	 1.34767162799835 
376	 1.35945570468903 
377	 1.35576820373535 
378	 1.3495546579361 
379	 1.35658609867096 
380	 1.36156320571899 
381	 1.36274480819702 
382	 1.36876833438873 
383	 1.39020311832428 
384	 1.3852334022522 
385	 1.38210821151733 
386	 1.39369654655457 
387	 1.39689111709595 
388	 1.40725779533386 
389	 1.41771614551544 
390	 1.42011272907257 
391	 1.42961990833282 
392	 1.42685854434967 
393	 1.42218244075775 
394	 1.44112730026245 
395	 1.44706809520721 
396	 1.439377784729 
397	 1.43177354335785 
398	 1.45239055156708 
399	 1.45696747303009 
400	 1.45830655097961 
401	 1.47568571567535 
402	 1.47271692752838 
403	 1.46989345550537 
404	 1.47543179988861 
405	 1.48594772815704 
406	 1.49146962165833 
407	 1.49314093589783 
408	 1.49387645721436 
409	 1.49488806724548 
410	 1.50504064559937 
411	 1.51434552669525 
412	 1.5115110874176 
413	 1.5164669752121 
414	 1.52531003952026 
415	 1.53128898143768 
416	 1.52724897861481 
417	 1.53172051906586 
418	 1.53613221645355 
419	 1.53439807891846 
420	 1.53861021995544 
421	 1.54060328006744 
422	 1.5407509803772 
423	 1.5425763130188 
424	 1.54528045654297 
425	 1.54746663570404 
426	 1.54990899562836 
427	 1.55589306354523 
428	 1.55837965011597 
429	 1.55705320835114 
430	 1.55516803264618 
431	 1.56172394752502 
432	 1.56474900245667 
433	 1.5648021697998 
434	 1.56856548786163 
435	 1.56528270244598 
436	 1.56195449829102 
437	 1.56370687484741 
438	 1.57044553756714 
439	 1.57335424423218 
440	 1.57343435287476 
441	 1.57368397712708 
442	 1.57027888298035 
443	 1.57008957862854 
444	 1.57250154018402 
445	 1.57111179828644 
446	 1.56957864761353 
447	 1.57062935829163 
448	 1.57451045513153 
449	 1.57685923576355 
450	 1.57467699050903 
451	 1.57314705848694 
452	 1.57812881469727 
453	 1.57811307907104 
454	 1.57557737827301 
455	 1.57379591464996 
456	 1.57555210590363 
457	 1.57669126987457 
458	 1.57893455028534 
459	 1.58231258392334 
460	 1.57676231861115 
461	 1.57673323154449 
462	 1.5818098783493 
463	 1.58356165885925 
464	 1.58412790298462 
465	 1.5829553604126 
466	 1.58215892314911 
467	 1.58848798274994 
468	 1.59155774116516 
469	 1.59120154380798 
470	 1.59003067016602 
471	 1.58688402175903 
472	 1.58751535415649 
473	 1.59080612659454 
474	 1.59041118621826 
475	 1.59106862545013 
476	 1.59223854541779 
477	 1.59299039840698 
478	 1.59320318698883 
479	 1.59507715702057 
480	 1.59696877002716 
481	 1.59664821624756 
482	 1.59904479980469 
483	 1.60058426856995 
484	 1.59995603561401 
485	 1.59918165206909 
486	 1.59783709049225 
487	 1.59761846065521 
488	 1.59970021247864 
489	 1.60286664962769 
490	 1.60397696495056 
491	 1.60248124599457 
492	 1.60006177425385 
493	 1.60201227664948 
494	 1.60412728786469 
495	 1.60367059707642 
496	 1.60213148593903 
497	 1.60415506362915 
498	 1.60684263706207 
499	 1.60617101192474 
500	 1.60525727272034 
501	 1.60598599910736 
502	 1.60747599601746 
503	 1.60665559768677 
504	 1.60599327087402 
505	 1.60733604431152 
506	 1.61027109622955 
507	 1.60894799232483 
508	 1.60962462425232 
509	 1.61139094829559 
510	 1.6109037399292 
511	 1.61245119571686 
512	 1.61260771751404 
513	 1.61075472831726 
514	 1.6106333732605 
515	 1.61289596557617 
516	 1.61423540115356 
517	 1.61262941360474 
518	 1.61477386951447 
519	 1.61575961112976 
520	 1.6149582862854 
521	 1.61485171318054 
522	 1.61527752876282 
523	 1.6161801815033 
524	 1.61730527877808 
525	 1.61813199520111 
526	 1.61820685863495 
527	 1.61809360980988 
528	 1.61850798130035 
529	 1.61857843399048 
530	 1.61880218982697 
531	 1.6190140247345 
532	 1.61831593513489 
533	 1.61876952648163 
534	 1.619673371315 
535	 1.62014317512512 
536	 1.62071132659912 
537	 1.62087655067444 
538	 1.62065708637238 
539	 1.62047159671783 
540	 1.62155628204346 
541	 1.62184298038483 
542	 1.62072122097015 
543	 1.62049055099487 
544	 1.62016367912292 
545	 1.62050640583038 
546	 1.62196862697601 
547	 1.62144899368286 
548	 1.62033641338348 
549	 1.61989867687225 
550	 1.62097132205963 
551	 1.6212831735611 
552	 1.62088692188263 
553	 1.62025427818298 
554	 1.61964774131775 
555	 1.61909365653992 
556	 1.61829459667206 
557	 1.61686408519745 
558	 1.61503267288208 
559	 1.6132560968399 
560	 1.61172044277191 
561	 1.61022937297821 
562	 1.60829246044159 
563	 1.60585796833038 
564	 1.60318911075592 
565	 1.60103929042816 
566	 1.59925353527069 
567	 1.59751510620117 
568	 1.59543859958649 
569	 1.59319186210632 
570	 1.59099209308624 
571	 1.58898985385895 
572	 1.58730781078339 
573	 1.58467400074005 
574	 1.58136332035065 
575	 1.57803976535797 
576	 1.57370162010193 
577	 1.56906914710999 
578	 1.56413984298706 
579	 1.55806136131287 
580	 1.55248332023621 
581	 1.5471088886261 
