Wavelength	5d.001
350	 1.1157214641571 
351	 1.12027740478516 
352	 1.13291585445404 
353	 1.15465617179871 
354	 1.16052341461182 
355	 1.16460621356964 
356	 1.17196047306061 
357	 1.18605613708496 
358	 1.21528923511505 
359	 1.23740589618683 
360	 1.23968148231506 
361	 1.22378575801849 
362	 1.22023916244507 
363	 1.24037230014801 
364	 1.27501142024994 
365	 1.28461682796478 
366	 1.27256715297699 
367	 1.26368510723114 
368	 1.27384543418884 
369	 1.2793470621109 
370	 1.28372359275818 
371	 1.29020535945892 
372	 1.30083858966827 
373	 1.30950009822845 
374	 1.30936777591705 
375	 1.30255830287933 
376	 1.30282390117645 
377	 1.30379891395569 
378	 1.30762505531311 
379	 1.31669843196869 
380	 1.32915782928467 
381	 1.32799446582794 
382	 1.32189416885376 
383	 1.33202970027924 
384	 1.33768010139465 
385	 1.33882617950439 
386	 1.34413266181946 
387	 1.37357831001282 
388	 1.37249112129211 
389	 1.36013960838318 
390	 1.36494386196136 
391	 1.36402297019958 
392	 1.37091016769409 
393	 1.38127326965332 
394	 1.37987399101257 
395	 1.38026738166809 
396	 1.38289177417755 
397	 1.38697195053101 
398	 1.39279007911682 
399	 1.3997882604599 
400	 1.4056088924408 
401	 1.40799760818481 
402	 1.40664088726044 
403	 1.40895736217499 
404	 1.41593623161316 
405	 1.42332983016968 
406	 1.42799377441406 
407	 1.43201196193695 
408	 1.43641221523285 
409	 1.43793559074402 
410	 1.44135308265686 
411	 1.44476389884949 
412	 1.44499015808105 
413	 1.4436936378479 
414	 1.44976830482483 
415	 1.45960354804993 
416	 1.45851004123688 
417	 1.46166551113129 
418	 1.46446406841278 
419	 1.46319282054901 
420	 1.46451759338379 
421	 1.46667313575745 
422	 1.46871483325958 
423	 1.47043704986572 
424	 1.47505104541779 
425	 1.47826898097992 
426	 1.47840201854706 
427	 1.47744619846344 
428	 1.47994637489319 
429	 1.48291528224945 
430	 1.48368155956268 
431	 1.48659896850586 
432	 1.48736655712128 
433	 1.48809432983398 
434	 1.4930831193924 
435	 1.49059414863586 
436	 1.48725044727325 
437	 1.48750078678131 
438	 1.4894198179245 
439	 1.49213635921478 
440	 1.49276566505432 
441	 1.49026679992676 
442	 1.49328696727753 
443	 1.49359810352325 
444	 1.49112665653229 
445	 1.49252605438232 
446	 1.49728763103485 
447	 1.50029790401459 
448	 1.49923038482666 
449	 1.49966394901276 
450	 1.49980115890503 
451	 1.49965465068817 
452	 1.49964201450348 
453	 1.49898731708527 
454	 1.49859714508057 
455	 1.49940800666809 
456	 1.5021710395813 
457	 1.50255370140076 
458	 1.50298035144806 
459	 1.50506043434143 
460	 1.50271701812744 
461	 1.50230300426483 
462	 1.50437164306641 
463	 1.50620782375336 
464	 1.50814712047577 
465	 1.50732100009918 
466	 1.50482213497162 
467	 1.50832450389862 
468	 1.50878119468689 
469	 1.50812184810638 
470	 1.50962662696838 
471	 1.50744783878326 
472	 1.50745570659637 
473	 1.50979971885681 
474	 1.51001226902008 
475	 1.51028454303741 
476	 1.51163411140442 
477	 1.51373946666718 
478	 1.51365542411804 
479	 1.51319181919098 
480	 1.51294660568237 
481	 1.51319873332977 
482	 1.51543986797333 
483	 1.51489973068237 
484	 1.5120769739151 
485	 1.51374471187592 
486	 1.51303601264954 
487	 1.5133101940155 
488	 1.51694107055664 
489	 1.51580810546875 
490	 1.51500427722931 
491	 1.51503598690033 
492	 1.51399004459381 
493	 1.51474630832672 
494	 1.51556181907654 
495	 1.51538062095642 
496	 1.51516532897949 
497	 1.51544559001923 
498	 1.51555156707764 
499	 1.5147557258606 
500	 1.51380932331085 
501	 1.5143301486969 
502	 1.51579022407532 
503	 1.51581585407257 
504	 1.51430332660675 
505	 1.51422798633575 
506	 1.51617991924286 
507	 1.51333594322205 
508	 1.51239800453186 
509	 1.51362824440002 
510	 1.5143735408783 
511	 1.51340711116791 
512	 1.51227927207947 
513	 1.51140689849854 
514	 1.50935840606689 
515	 1.51001489162445 
516	 1.51099026203156 
517	 1.50965487957001 
518	 1.50838983058929 
519	 1.50861930847168 
520	 1.50897967815399 
521	 1.50666320323944 
522	 1.50621283054352 
523	 1.50657749176025 
524	 1.50648939609528 
525	 1.50580811500549 
526	 1.50564455986023 
527	 1.50542378425598 
528	 1.50430452823639 
529	 1.50354313850403 
530	 1.50353753566742 
531	 1.50338697433472 
532	 1.50102543830872 
533	 1.50104510784149 
534	 1.50131976604462 
535	 1.49997866153717 
536	 1.50041723251343 
537	 1.50031101703644 
538	 1.49962759017944 
539	 1.49949145317078 
540	 1.4989982843399 
541	 1.49821949005127 
542	 1.49741995334625 
543	 1.49702608585358 
544	 1.49614989757538 
545	 1.49527955055237 
546	 1.49485838413239 
547	 1.49305427074432 
548	 1.49161994457245 
549	 1.49094843864441 
550	 1.49010896682739 
551	 1.48880457878113 
552	 1.4873161315918 
553	 1.48580968379974 
554	 1.48387587070465 
555	 1.48138737678528 
556	 1.4783136844635 
