Wavelength	1b.001
350	 0.855423092842102 
351	 0.861276030540466 
352	 0.870194494724274 
353	 0.881943821907043 
354	 0.892531335353851 
355	 0.895908951759338 
356	 0.894812822341919 
357	 0.895513772964478 
358	 0.90812760591507 
359	 0.922943592071533 
360	 0.930619955062866 
361	 0.926050364971161 
362	 0.92765998840332 
363	 0.932029366493225 
364	 0.936523139476776 
365	 0.942643344402313 
366	 0.942741334438324 
367	 0.94444477558136 
368	 0.952966332435608 
369	 0.952593266963959 
370	 0.95400995016098 
371	 0.95734316110611 
372	 0.957520723342896 
373	 0.963162362575531 
374	 0.965786457061768 
375	 0.964089155197144 
376	 0.969712018966675 
377	 0.970328867435455 
378	 0.972637176513672 
379	 0.982221126556396 
380	 0.982499063014984 
381	 0.982837855815887 
382	 0.985960006713867 
383	 0.989693462848663 
384	 0.989970684051514 
385	 0.98861300945282 
386	 0.98867267370224 
387	 0.993965983390808 
388	 0.998080730438232 
389	 0.999679803848267 
390	 1.00069606304169 
391	 1.00939357280731 
392	 1.01496911048889 
393	 1.01429569721222 
394	 1.01105904579163 
395	 1.01461124420166 
396	 1.017697930336 
397	 1.01690638065338 
398	 1.01878714561462 
399	 1.02482509613037 
400	 1.03071975708008 
401	 1.03214538097382 
402	 1.03358948230743 
403	 1.03401374816895 
404	 1.03527903556824 
405	 1.04083347320557 
406	 1.04330706596375 
407	 1.04581654071808 
408	 1.04941260814667 
409	 1.04716086387634 
410	 1.04942631721497 
411	 1.05404448509216 
412	 1.05582582950592 
413	 1.05751192569733 
414	 1.06026077270508 
415	 1.06312811374664 
416	 1.06351816654205 
417	 1.06418228149414 
418	 1.06579434871674 
419	 1.0682225227356 
420	 1.07056033611298 
421	 1.0728052854538 
422	 1.07406425476074 
423	 1.07376945018768 
424	 1.07546019554138 
425	 1.07727766036987 
426	 1.07848823070526 
427	 1.08014714717865 
428	 1.08187234401703 
429	 1.08237981796265 
430	 1.08177149295807 
431	 1.08511006832123 
432	 1.0867406129837 
433	 1.08656704425812 
434	 1.08750998973846 
435	 1.08786082267761 
436	 1.08873534202576 
437	 1.09031116962433 
438	 1.090864777565 
439	 1.09135949611664 
440	 1.09213268756866 
441	 1.09318602085114 
442	 1.09392428398132 
443	 1.0942565202713 
444	 1.09456968307495 
445	 1.09554815292358 
446	 1.0965975522995 
447	 1.09745037555695 
448	 1.09800815582275 
449	 1.09837412834167 
450	 1.09863984584808 
451	 1.09948575496674 
452	 1.10128247737885 
453	 1.10119235515594 
454	 1.10151124000549 
455	 1.10277009010315 
456	 1.10316848754883 
457	 1.1036251783371 
458	 1.10385191440582 
459	 1.10368919372559 
460	 1.10400235652924 
461	 1.10506558418274 
462	 1.10642647743225 
463	 1.10725879669189 
464	 1.10773932933807 
465	 1.10753273963928 
466	 1.10706436634064 
467	 1.10799098014832 
468	 1.10897660255432 
469	 1.10946035385132 
470	 1.10929489135742 
471	 1.10884130001068 
472	 1.10945856571198 
473	 1.11050987243652 
474	 1.10995495319366 
475	 1.11026358604431 
476	 1.11106836795807 
477	 1.11171174049377 
478	 1.11189520359039 
479	 1.1125431060791 
480	 1.11305499076843 
481	 1.11256790161133 
482	 1.11259078979492 
483	 1.11316788196564 
484	 1.11364674568176 
485	 1.11276388168335 
486	 1.1127792596817 
487	 1.11326718330383 
488	 1.11351454257965 
489	 1.11404132843018 
490	 1.11447584629059 
491	 1.11424779891968 
492	 1.11304795742035 
493	 1.11407887935638 
494	 1.11458313465118 
495	 1.11346650123596 
496	 1.11360371112823 
497	 1.11348927021027 
498	 1.11325466632843 
499	 1.11332964897156 
500	 1.11320471763611 
501	 1.11358070373535 
502	 1.11416602134705 
503	 1.1138322353363 
504	 1.11334145069122 
505	 1.11329126358032 
506	 1.1136087179184 
507	 1.11259961128235 
508	 1.11218297481537 
509	 1.11232304573059 
510	 1.1122145652771 
511	 1.1124449968338 
512	 1.11207234859467 
513	 1.11106383800507 
514	 1.110671043396 
515	 1.11083722114563 
516	 1.11087596416473 
517	 1.11047828197479 
518	 1.11151039600372 
519	 1.11143815517426 
520	 1.11030495166779 
521	 1.10990715026855 
522	 1.10940420627594 
523	 1.10943579673767 
524	 1.10993492603302 
525	 1.10898911952972 
526	 1.10844910144806 
527	 1.10841703414917 
528	 1.10833036899567 
529	 1.10761058330536 
530	 1.10733914375305 
531	 1.1072963476181 
532	 1.10586023330688 
533	 1.10548341274261 
534	 1.10553693771362 
535	 1.10513842105865 
536	 1.10477256774902 
537	 1.10396802425385 
538	 1.10301339626312 
539	 1.10252046585083 
540	 1.1019321680069 
541	 1.10116374492645 
542	 1.10021376609802 
543	 1.09910988807678 
544	 1.09800410270691 
545	 1.09701561927795 
546	 1.09614109992981 
547	 1.09492552280426 
548	 1.09373927116394 
549	 1.09266591072083 
550	 1.09151005744934 
551	 1.09032046794891 
552	 1.08865392208099 
553	 1.08640813827515 
554	 1.08448791503906 
555	 1.0827522277832 
556	 1.08073115348816 
557	 1.07794463634491 
558	 1.07524800300598 
559	 1.0722850561142 
560	 1.06898665428162 
561	 1.06580948829651 
562	 1.06249749660492 
563	 1.05880784988403 
564	 1.05463850498199 
565	 1.05032408237457 
566	 1.04580867290497 
567	 1.04113125801086 
568	 1.03635227680206 
569	 1.03080260753632 
570	 1.02487432956696 
571	 1.01887834072113 
572	 1.01267051696777 
573	 1.00589370727539 
574	 0.99873822927475 
575	 0.991474628448486 
576	 0.983590662479401 
577	 0.975505888462067 
578	 0.967090368270874 
579	 0.957625329494476 
580	 0.948046624660492 
581	 0.938046455383301 
582	 0.927259087562561 
583	 0.916065216064453 
584	 0.904255092144012 
585	 0.891786515712738 
586	 0.878686368465424 
587	 0.86469978094101 
588	 0.85025018453598 
589	 0.835453391075134 
590	 0.819981813430786 
591	 0.803993463516235 
592	 0.787717342376709 
593	 0.771350026130676 
594	 0.755035281181335 
595	 0.738564252853394 
596	 0.721876442432404 
597	 0.705098211765289 
598	 0.688295423984528 
599	 0.671376824378967 
600	 0.654277324676514 
601	 0.637142360210419 
602	 0.620194792747498 
603	 0.603471338748932 
604	 0.58698570728302 
605	 0.57092010974884 
606	 0.555468082427979 
607	 0.540627479553223 
608	 0.526244044303894 
609	 0.512528240680695 
610	 0.499496787786484 
611	 0.487074345350266 
612	 0.47520524263382 
613	 0.463990867137909 
614	 0.453468084335327 
615	 0.44360363483429 
616	 0.434329390525818 
617	 0.425636261701584 
618	 0.417506486177444 
619	 0.409869343042374 
620	 0.402837306261063 
621	 0.396364092826843 
622	 0.390353620052338 
623	 0.384748935699463 
624	 0.379511505365372 
625	 0.374637097120285 
626	 0.370140373706818 
627	 0.365943104028702 
628	 0.362070024013519 
629	 0.358537793159485 
630	 0.355320751667023 
631	 0.352193117141724 
632	 0.349258482456207 
633	 0.34671339392662 
634	 0.344215989112854 
635	 0.341869294643402 
636	 0.339722573757172 
637	 0.337720781564713 
638	 0.335820198059082 
639	 0.334060788154602 
640	 0.33245375752449 
641	 0.330845594406128 
642	 0.329371809959412 
643	 0.328013360500336 
644	 0.326658546924591 
645	 0.325308173894882 
646	 0.324115097522736 
647	 0.32306233048439 
648	 0.321821093559265 
649	 0.320730328559875 
650	 0.319785684347153 
651	 0.318884342908859 
652	 0.318000316619873 
653	 0.317098349332809 
654	 0.316231399774551 
655	 0.315502345561981 
656	 0.314676731824875 
657	 0.313844114542007 
658	 0.313087344169617 
659	 0.312361359596252 
660	 0.311667680740356 
661	 0.311024993658066 
662	 0.31043016910553 
663	 0.309724748134613 
664	 0.309029698371887 
665	 0.308429837226868 
666	 0.307945907115936 
667	 0.307375520467758 
668	 0.30678516626358 
669	 0.306245177984238 
670	 0.305679976940155 
671	 0.305146634578705 
672	 0.304622083902359 
673	 0.304063737392426 
674	 0.303557157516479 
675	 0.303110778331757 
676	 0.302699565887451 
677	 0.302268266677856 
678	 0.301864564418793 
679	 0.301393330097198 
680	 0.300826489925385 
681	 0.300435215234756 
682	 0.300040781497955 
683	 0.299623250961304 
684	 0.299240827560425 
685	 0.2988221347332 
686	 0.298439294099808 
687	 0.298103094100952 
688	 0.297719568014145 
689	 0.29730686545372 
690	 0.296901881694794 
691	 0.296530067920685 
692	 0.296149879693985 
693	 0.295823901891708 
694	 0.295496821403503 
695	 0.295068770647049 
696	 0.294754505157471 
697	 0.294503003358841 
698	 0.294245272874832 
699	 0.293940424919128 
700	 0.293558359146118 
701	 0.293193280696869 
702	 0.292920261621475 
703	 0.292595893144608 
704	 0.292318642139435 
705	 0.292069166898727 
706	 0.291756391525269 
707	 0.29147869348526 
708	 0.29111659526825 
709	 0.29071232676506 
710	 0.290628910064697 
711	 0.290417104959488 
712	 0.290121674537659 
713	 0.289886504411697 
714	 0.289612293243408 
715	 0.289336234331131 
716	 0.289040565490723 
717	 0.288679778575897 
718	 0.288350880146027 
719	 0.288130611181259 
720	 0.287990570068359 
721	 0.287742376327515 
722	 0.287400215864182 
723	 0.287107169628143 
724	 0.28695359826088 
725	 0.286634474992752 
726	 0.286428928375244 
727	 0.286298334598541 
728	 0.286001920700073 
729	 0.285769879817963 
730	 0.285579264163971 
731	 0.285370975732803 
732	 0.285080224275589 
733	 0.284825205802917 
734	 0.284625440835953 
735	 0.284454613924026 
736	 0.284249544143677 
737	 0.283997356891632 
738	 0.28372186422348 
739	 0.28347185254097 
740	 0.283270865678787 
741	 0.283106684684753 
742	 0.282951146364212 
743	 0.282763302326202 
744	 0.282489895820618 
745	 0.282232373952866 
746	 0.282057553529739 
747	 0.28175875544548 
748	 0.281524389982224 
749	 0.281409621238709 
750	 0.281360864639282 
751	 0.28118759393692 
752	 0.280903667211533 
753	 0.28059247136116 
754	 0.280387878417969 
755	 0.280244499444962 
756	 0.280107766389847 
757	 0.27993568778038 
758	 0.279738873243332 
759	 0.279483169317245 
760	 0.279226779937744 
761	 0.2790507376194 
762	 0.27886638045311 
763	 0.278780251741409 
764	 0.27872022986412 
765	 0.278434783220291 
766	 0.278245478868485 
767	 0.278090298175812 
768	 0.277883797883987 
769	 0.277652859687805 
770	 0.27751237154007 
771	 0.277388423681259 
772	 0.27716913819313 
773	 0.276940196752548 
774	 0.276736736297607 
775	 0.276574373245239 
776	 0.276450455188751 
777	 0.276358395814896 
778	 0.276239603757858 
779	 0.276068240404129 
780	 0.27588415145874 
781	 0.275659173727036 
782	 0.27550196647644 
783	 0.275458514690399 
784	 0.27522999048233 
785	 0.274993270635605 
786	 0.274821490049362 
787	 0.274708151817322 
788	 0.274565517902374 
789	 0.274398803710938 
790	 0.274230152368546 
791	 0.274083763360977 
792	 0.273786038160324 
793	 0.273590356111526 
794	 0.273614943027496 
795	 0.273443877696991 
796	 0.273224085569382 
797	 0.273060202598572 
798	 0.272997379302979 
799	 0.272834569215775 
800	 0.272687047719955 
801	 0.272561132907867 
802	 0.272380203008652 
803	 0.272232562303543 
804	 0.272039026021957 
805	 0.271792024374008 
806	 0.271618813276291 
807	 0.271504908800125 
808	 0.271405667066574 
809	 0.27127742767334 
810	 0.271110087633133 
811	 0.270944863557816 
812	 0.270792126655579 
813	 0.270660310983658 
814	 0.270646929740906 
815	 0.27055823802948 
816	 0.270374029874802 
817	 0.270236372947693 
818	 0.270094066858292 
819	 0.269909888505936 
820	 0.269691109657288 
821	 0.269513010978699 
822	 0.269357115030289 
823	 0.26924866437912 
824	 0.269192636013031 
825	 0.269117057323456 
826	 0.268940091133118 
827	 0.268769949674606 
828	 0.268735438585281 
829	 0.268527776002884 
830	 0.268361419439316 
831	 0.268288910388947 
