Wavelength	ProbetaAcolman00021.asd
350	 0.756085763545674 
351	 0.749905843000548 
352	 0.73976470214206 
353	 0.727945781374737 
354	 0.718420918737541 
355	 0.706049043269565 
356	 0.703902356879442 
357	 0.715718313425082 
358	 0.706431112492137 
359	 0.700708768487257 
360	 0.699980150570636 
361	 0.693097555083296 
362	 0.678206294119652 
363	 0.671243446471646 
364	 0.674642842653903 
365	 0.670463022291561 
366	 0.665044594107727 
367	 0.666505391405125 
368	 0.676240142079043 
369	 0.674709238471249 
370	 0.668833575976316 
371	 0.666345307546098 
372	 0.672504575341207 
373	 0.67112392979079 
374	 0.660654206836529 
375	 0.648613032451767 
376	 0.65305574670456 
377	 0.655843854989023 
378	 0.655914617623907 
379	 0.654605492968477 
380	 0.643887494135948 
381	 0.643406740817661 
382	 0.651859401445669 
383	 0.655507148138387 
384	 0.653443238624241 
385	 0.648882480401888 
386	 0.645711476429782 
387	 0.648251697367864 
388	 0.644803782371089 
389	 0.639746778867464 
390	 0.639731441919495 
391	 0.644352373990345 
392	 0.641590565555445 
393	 0.636403839840015 
394	 0.642004660338791 
395	 0.64024598472911 
396	 0.638664647832893 
397	 0.640385909979655 
398	 0.636188581026695 
399	 0.636557674746625 
400	 0.639205880341289 
401	 0.639591267329348 
402	 0.638645642439368 
403	 0.640962652797153 
404	 0.644919763324901 
405	 0.645040456723652 
406	 0.647274321633393 
407	 0.649150192813449 
408	 0.649905895845777 
409	 0.654426161061377 
410	 0.656047214478453 
411	 0.656509108311875 
412	 0.659136595004539 
413	 0.661423574631868 
414	 0.663633302065511 
415	 0.666287545000026 
416	 0.669892320081912 
417	 0.673277039340669 
418	 0.675954096843161 
419	 0.677823658457744 
420	 0.679378869772215 
421	 0.679972491370448 
422	 0.68053528634967 
423	 0.682251151153702 
424	 0.683909886112608 
425	 0.686015869069654 
426	 0.688141492047561 
427	 0.688780527865738 
428	 0.689573405009786 
429	 0.691071058532195 
430	 0.69298463908073 
431	 0.693321574009333 
432	 0.694038444441195 
433	 0.695435468186255 
434	 0.696810758997336 
435	 0.697237369280344 
436	 0.698106953764352 
437	 0.699746647441354 
438	 0.70057693484329 
439	 0.701121940845494 
440	 0.701816141955799 
441	 0.702855521892108 
442	 0.703565901107942 
443	 0.703929325354823 
444	 0.704095901292349 
445	 0.704303313405973 
446	 0.704233815351906 
447	 0.704471723249483 
448	 0.705261684282815 
449	 0.70597422514606 
450	 0.705938483839855 
451	 0.705776126236952 
452	 0.706358950021736 
453	 0.70672718382008 
454	 0.707146797158597 
455	 0.707702732464938 
456	 0.708198657526529 
457	 0.70805654117795 
458	 0.707886660549612 
459	 0.708238038580631 
460	 0.708742046618856 
461	 0.709254371466429 
462	 0.709521564684771 
463	 0.709348732984377 
464	 0.709322761838287 
465	 0.709659719141329 
466	 0.710222845471733 
467	 0.710447632522206 
468	 0.71036210838183 
469	 0.710302769886796 
470	 0.71052442699112 
471	 0.710564957028705 
472	 0.710428202139145 
473	 0.710188473619789 
474	 0.709998690178699 
475	 0.710563317410361 
476	 0.710852661905737 
477	 0.71035640077408 
478	 0.710209097750343 
479	 0.710199604876849 
480	 0.710269148460257 
481	 0.710412987355993 
482	 0.710790943717353 
483	 0.71130568718515 
484	 0.711848922865996 
485	 0.712326828603275 
486	 0.712760834731308 
487	 0.713386802538916 
488	 0.714342240130284 
489	 0.715335996740877 
490	 0.716596756245252 
491	 0.717896933625011 
492	 0.718839868472708 
493	 0.720015061742066 
494	 0.721630355258686 
495	 0.723448530018018 
496	 0.724581133878178 
497	 0.725992300532831 
498	 0.727723287007389 
499	 0.729539996865273 
500	 0.73135675272636 
501	 0.733107304584432 
502	 0.734789638386254 
503	 0.736467112425493 
504	 0.738446557444708 
505	 0.74037599415466 
506	 0.742070700499014 
507	 0.744032587826933 
508	 0.74591873902851 
509	 0.747722288838981 
510	 0.749574828718682 
511	 0.751493656518918 
512	 0.75343651603484 
513	 0.755375002739713 
514	 0.757319257849134 
515	 0.759018621276163 
516	 0.760652042592672 
517	 0.762426148183219 
518	 0.764237664384924 
519	 0.765972029009784 
520	 0.767637720168385 
521	 0.769325546480988 
522	 0.771102249339412 
523	 0.772742353647296 
524	 0.774194909110566 
525	 0.775831364948677 
526	 0.777427473673001 
527	 0.778898323339545 
528	 0.780253115545397 
529	 0.781727414481818 
530	 0.783285054772941 
531	 0.784786325074989 
532	 0.786010883338904 
533	 0.787172189972164 
534	 0.788410082612787 
535	 0.789746427377211 
536	 0.790920298062797 
537	 0.79215328950437 
538	 0.793429934981079 
539	 0.794619742145562 
540	 0.795818813253387 
541	 0.796983308918992 
542	 0.798080966904924 
543	 0.799118060148009 
544	 0.800065911173569 
545	 0.800974810022364 
546	 0.801919937198865 
547	 0.802992156244406 
548	 0.803924853247019 
549	 0.80469363387844 
550	 0.805499088323515 
551	 0.806420446446776 
552	 0.807239051743397 
553	 0.807853071495341 
554	 0.808594350086249 
555	 0.809341825899587 
556	 0.810088961936113 
557	 0.810854112012898 
558	 0.811471586081589 
559	 0.812133843485724 
560	 0.812892149263606 
561	 0.813565767183355 
562	 0.814287683358382 
563	 0.814987445806096 
564	 0.815581477282251 
565	 0.816139338092039 
566	 0.816598403681422 
567	 0.817011093068283 
568	 0.817510719961139 
569	 0.818061232519637 
570	 0.818557388909303 
571	 0.818960852832386 
572	 0.819384861804719 
573	 0.819882773131468 
574	 0.820337469897793 
575	 0.820635052825977 
576	 0.821115815403726 
577	 0.821662031356446 
578	 0.822160850287784 
579	 0.822547678122279 
580	 0.823009456264554 
581	 0.823344117106633 
582	 0.823472820393726 
583	 0.823975825460322 
584	 0.824480367033796 
585	 0.824891008519398 
586	 0.825303035871196 
587	 0.825943413550732 
588	 0.826494578389537 
589	 0.8268951141845 
590	 0.827608474192684 
591	 0.828156324941607 
592	 0.828556215190527 
593	 0.828979605701704 
594	 0.829583151924051 
595	 0.829956432450135 
596	 0.830124597970247 
597	 0.830495601416332 
598	 0.831003330138091 
599	 0.831329206694586 
600	 0.831445634900196 
601	 0.832170768249221 
602	 0.832718586402717 
603	 0.833012738658289 
604	 0.833319779250987 
605	 0.833961260472738 
606	 0.834571223531951 
607	 0.834950351501483 
608	 0.835179330555751 
609	 0.835708031783497 
610	 0.83626749258601 
611	 0.836547548810121 
612	 0.836695813549884 
613	 0.837212064743783 
614	 0.837902655112115 
615	 0.838173842591372 
616	 0.838332106776165 
617	 0.838726884237687 
618	 0.839345550824622 
619	 0.83951989847552 
620	 0.839760162999235 
621	 0.840189887462584 
622	 0.84071787393032 
623	 0.840869931826223 
624	 0.841049989675455 
625	 0.841460106046608 
626	 0.842047636667042 
627	 0.842328235726401 
628	 0.842476432766969 
629	 0.842742296949242 
630	 0.8432635009461 
631	 0.843535153546789 
632	 0.843636309097055 
633	 0.843888134220027 
634	 0.844229458169555 
635	 0.844558446246426 
636	 0.844812915005967 
637	 0.844989102198629 
638	 0.845306812746353 
639	 0.84563462628318 
640	 0.845836627476554 
641	 0.84607311279979 
642	 0.846247848083247 
643	 0.846432077050832 
644	 0.846762193693482 
645	 0.846952352008207 
646	 0.847144666961913 
647	 0.847417370206645 
648	 0.847663461636996 
649	 0.847811570343802 
650	 0.847904813560957 
651	 0.848045819753871 
652	 0.848423110360943 
653	 0.848632539165115 
654	 0.848673873493166 
655	 0.84887139212566 
656	 0.849081685890802 
657	 0.849247857673823 
658	 0.849384158080263 
659	 0.849640173655146 
660	 0.849825587262127 
661	 0.849955673598886 
662	 0.850110450134265 
663	 0.850265225276564 
664	 0.850411242999664 
665	 0.850582261049285 
666	 0.850848222585947 
667	 0.851140716065241 
668	 0.851367609901182 
669	 0.851486392385067 
