Wavelength	spectrum00019.asd
350	 0.100670785669015 
351	 0.096527528576819 
352	 9.23040466787872E-02 
353	 9.04702518240103E-02 
354	 0.089194427710731 
355	 8.68449055237658E-02 
356	 8.41890400891478E-02 
357	 0.082032892884348 
358	 0.079392326526598 
359	 7.77822542239956E-02 
360	 7.71757111792468E-02 
361	 7.65623975964496E-02 
362	 7.42146850227168E-02 
363	 7.28315287862623E-02 
364	 7.27749558436354E-02 
365	 0.070813468627355 
366	 7.13169919394895E-02 
367	 7.15131867391317E-02 
368	 6.90688021867718E-02 
369	 6.86380369892393E-02 
370	 6.87710652981221E-02 
371	 6.86150169712148E-02 
372	 0.067757990504251 
373	 0.066226872592863 
374	 6.57952431085576E-02 
375	 6.63386847653422E-02 
376	 6.48243793874102E-02 
377	 6.44473182632952E-02 
378	 6.46484659492836E-02 
379	 6.42487747420097E-02 
380	 6.34658292546789E-02 
381	 6.30390521155212E-02 
382	 6.25351346468323E-02 
383	 6.10937762159648E-02 
384	 0.061130705101027 
385	 6.12433069673974E-02 
386	 6.05816536604285E-02 
387	 5.97996108253889E-02 
388	 0.059020397805286 
389	 5.84571737825736E-02 
390	 5.80923192980402E-02 
391	 5.69886514168793E-02 
392	 0.056818764543757 
393	 5.72468217479613E-02 
394	 5.67232829423028E-02 
395	 5.61764927316001E-02 
396	 5.57077396763141E-02 
397	 5.52556975255126E-02 
398	 5.46667364347876E-02 
399	 5.39971120271361E-02 
400	 5.34836548446838E-02 
401	 5.31991567325007E-02 
402	 5.22589338900649E-02 
403	 5.20242232543273E-02 
404	 5.21709503657449E-02 
405	 5.12435844488349E-02 
406	 5.09948426183909E-02 
407	 5.08005189463354E-02 
408	 5.02974289867222E-02 
409	 5.03539891370613E-02 
410	 0.050054748643286 
411	 4.96067743874009E-02 
412	 4.94619744454392E-02 
413	 4.93585387563954E-02 
414	 4.89523298684185E-02 
415	 0.048480281553985 
416	 4.86396565249489E-02 
417	 4.85879034397793E-02 
418	 4.85478379314664E-02 
419	 4.86731712935871E-02 
420	 4.84815991297548E-02 
421	 0.048404419735822 
422	 4.84479015534197E-02 
423	 4.84501536422859E-02 
424	 4.84024444282831E-02 
425	 4.83708146602262E-02 
426	 4.84247688056967E-02 
427	 4.86275479312701E-02 
428	 4.87129689297476E-02 
429	 4.87715014859417E-02 
430	 4.89217215134374E-02 
431	 4.91009135511535E-02 
432	 4.93347228666462E-02 
433	 4.95805074106734E-02 
434	 4.97843300403973E-02 
435	 5.01626250815161E-02 
436	 5.05073507032364E-02 
437	 5.07061310158728E-02 
438	 5.08467536979626E-02 
439	 5.12881363205895E-02 
440	 0.051814406023229 
441	 5.21628386380312E-02 
442	 5.26705360448974E-02 
443	 5.31941782224876E-02 
444	 5.37035100522359E-02 
445	 5.42703448859124E-02 
446	 5.48961779945209E-02 
447	 5.55079089289166E-02 
448	 5.60777493439028E-02 
449	 5.66895385831673E-02 
450	 0.057403387860944 
451	 5.81932144551706E-02 
452	 5.89874502566367E-02 
453	 5.96792113380583E-02 
454	 6.05913336275811E-02 
455	 6.16803729423995E-02 
456	 6.24852256532649E-02 
457	 6.33835342955814E-02 
458	 6.43421649760671E-02 
459	 6.53374510019029E-02 
460	 6.66859029837804E-02 
461	 6.78237934173854E-02 
462	 6.87793997066282E-02 
