Wavelength	TC7.008
350	 0.143285378813744 
351	 0.14378909766674 
352	 0.137025505304337 
353	 0.128366008400917 
354	 0.126343876123428 
355	 0.124968588352203 
356	 0.122709393501282 
357	 0.118680074810982 
358	 0.10956035554409 
359	 0.106811001896858 
360	 0.108694396913052 
361	 0.107397846877575 
362	 0.107588827610016 
363	 0.104838281869888 
364	 9.91357266902924E-02 
365	 0.096909761428833 
366	 9.84148979187012E-02 
367	 9.82572957873344E-02 
368	 9.32875648140907E-02 
369	 9.07258689403534E-02 
370	 9.30267423391342E-02 
371	 9.62783992290497E-02 
372	 9.40257459878922E-02 
373	 0.089808315038681 
374	 8.76297205686569E-02 
375	 8.77313390374184E-02 
376	 8.52057188749313E-02 
377	 8.65356773138046E-02 
378	 8.67548510432243E-02 
379	 8.18933621048927E-02 
380	 8.05625095963478E-02 
381	 8.06623250246048E-02 
382	 8.00227373838425E-02 
383	 7.71173909306526E-02 
384	 7.55753293633461E-02 
385	 0.076136127114296 
386	 7.74751678109169E-02 
387	 7.60434865951538E-02 
388	 7.13644251227379E-02 
389	 6.93677440285683E-02 
390	 7.33192339539528E-02 
391	 7.13390931487083E-02 
392	 7.01666101813316E-02 
393	 7.05129206180573E-02 
394	 6.92700147628784E-02 
395	 6.86383545398712E-02 
396	 6.76846876740456E-02 
397	 6.65621533989906E-02 
398	 6.78986310958862E-02 
399	 6.76231235265732E-02 
400	 6.68439120054245E-02 
401	 0.06712706387043 
402	 0.065135158598423 
403	 6.55466914176941E-02 
404	 6.71348571777344E-02 
405	 6.48050308227539E-02 
406	 6.35293275117874E-02 
407	 6.30870014429092E-02 
408	 6.27366229891777E-02 
409	 6.23423121869564E-02 
410	 6.10330775380135E-02 
411	 6.03264234960079E-02 
412	 6.15449212491512E-02 
413	 6.13099038600922E-02 
414	 6.01211711764336E-02 
415	 5.92684745788574E-02 
416	 6.03156834840775E-02 
417	 5.97003549337387E-02 
418	 5.89544475078583E-02 
419	 0.059218518435955 
420	 0.058674406260252 
421	 5.79359792172909E-02 
422	 5.76891154050827E-02 
423	 5.84015101194382E-02 
424	 5.92019148170948E-02 
425	 5.86240999400616E-02 
426	 5.72399869561195E-02 
427	 5.78140020370483E-02 
428	 5.81978559494019E-02 
429	 5.82482442259789E-02 
430	 5.81328757107258E-02 
431	 5.74768334627151E-02 
432	 5.74025176465511E-02 
433	 0.057575348764658 
434	 5.70780523121357E-02 
435	 5.77353127300739E-02 
436	 5.81204891204834E-02 
437	 5.76306767761707E-02 
438	 5.74116297066212E-02 
439	 5.73695003986359E-02 
440	 5.76837956905365E-02 
441	 5.82851506769657E-02 
442	 5.79259768128395E-02 
443	 5.77446855604649E-02 
444	 5.79170659184456E-02 
445	 5.78319653868675E-02 
446	 5.78312948346138E-02 
447	 5.77522814273834E-02 
448	 5.76074197888374E-02 
449	 0.058001309633255 
450	 5.81693910062313E-02 
451	 5.80355785787106E-02 
452	 5.78196793794632E-02 
453	 5.77524229884148E-02 
454	 5.76023533940315E-02 
455	 5.73919974267483E-02 
456	 0.057443231344223 
457	 5.73252663016319E-02 
458	 5.71964494884014E-02 
459	 5.72006329894066E-02 
460	 0.05703454464674 
461	 0.056951567530632 
462	 5.68880438804626E-02 
463	 5.66549822688103E-02 
464	 5.65911680459976E-02 
465	 0.05663051456213 
466	 5.65856173634529E-02 
467	 5.61393834650517E-02 
468	 0.05599769577384 
469	 5.59935979545116E-02 
470	 5.58572113513947E-02 
471	 5.60807213187218E-02 
472	 5.60884214937687E-02 
473	 5.59175163507462E-02 
474	 0.056067131459713 
475	 0.055996160954237 
476	 5.59195838868618E-02 
477	 0.055982232093811 
478	 5.59172630310059E-02 
479	 5.57595938444138E-02 
480	 5.56811168789864E-02 
481	 5.58333992958069E-02 
482	 5.58703355491161E-02 
483	 5.58182783424854E-02 
484	 0.055823776870966 
485	 5.61252534389496E-02 
486	 5.64188435673714E-02 
487	 5.63808754086494E-02 
488	 5.59950619935989E-02 
489	 5.61318136751652E-02 
490	 5.63568249344826E-02 
491	 5.65299540758133E-02 
492	 5.66967725753784E-02 
493	 5.69336488842964E-02 
494	 5.71137145161629E-02 
495	 5.72373569011688E-02 
496	 5.75662218034267E-02 
497	 5.76992444694042E-02 
498	 5.77822737395763E-02 
499	 5.80442398786545E-02 
500	 5.82887567579746E-02 
501	 0.058393307030201 
502	 5.84011152386665E-02 
503	 5.84984570741653E-02 
504	 5.88434673845768E-02 
505	 5.91644905507565E-02 
506	 5.93090318143368E-02 
507	 5.96014298498631E-02 
508	 5.98882660269737E-02 
509	 6.01239241659641E-02 
510	 6.03271909058094E-02 
511	 6.06297366321087E-02 
512	 6.09512105584145E-02 
513	 6.12702071666718E-02 
514	 6.16688765585423E-02 
515	 6.19482658803463E-02 
516	 6.21700137853622E-02 
517	 6.24499768018723E-02 
518	 6.28494545817375E-02 
519	 0.063170999288559 
520	 0.063463531434536 
521	 6.39257431030273E-02 
522	 6.43484517931938E-02 
523	 6.47830814123154E-02 
524	 6.52555972337723E-02 
525	 6.56763389706612E-02 
526	 6.59956336021423E-02 
527	 6.63947314023972E-02 
528	 6.70472085475922E-02 
529	 6.75924569368362E-02 
530	 6.81302547454834E-02 
531	 6.87044113874435E-02 
532	 6.92692846059799E-02 
533	 6.98170065879822E-02 
534	 0.070408970117569 
535	 7.10749477148056E-02 
536	 7.17108696699142E-02 
537	 7.23847523331642E-02 
538	 7.31135830283165E-02 
539	 7.38823711872101E-02 
540	 7.46568292379379E-02 
541	 7.54468068480492E-02 
542	 7.62769356369972E-02 
543	 7.71924257278442E-02 
544	 0.078028529882431 
545	 7.88390040397644E-02 
546	 7.97313898801804E-02 
547	 8.07280018925667E-02 
548	 0.081677608191967 
549	 8.26049074530602E-02 
550	 8.36831703782082E-02 
551	 8.47116857767105E-02 
552	 8.57715755701065E-02 
553	 8.69174301624298E-02 
554	 8.79908800125122E-02 
555	 8.91305208206177E-02 
556	 9.03647616505623E-02 
557	 9.16616171598434E-02 
558	 9.29818153381348E-02 
559	 0.094363272190094 
560	 9.58025529980659E-02 
561	 9.72341448068619E-02 
562	 9.85882580280304E-02 
563	 0.099947527050972 
564	 0.101393900811672 
565	 0.102838225662708 
566	 0.104311712086201 
567	 0.10582772642374 
568	 0.107383623719215 
569	 0.10897995531559 
570	 0.11055601388216 
571	 0.112073436379433 
572	 0.113545387983322 
573	 0.115095384418964 
574	 0.116602510213852 
575	 0.117933519184589 
576	 0.119478583335876 
577	 0.121031306684017 
578	 0.122523985803127 
579	 0.124081969261169 
580	 0.125608563423157 
581	 0.127098187804222 
582	 0.128573358058929 
583	 0.130077034235001 
584	 0.131515637040138 
585	 0.13291434943676 
586	 0.134356960654259 
587	 0.135747864842415 
588	 0.137094020843506 
589	 0.138414189219475 
590	 0.139724910259247 
591	 0.140935346484184 
592	 0.142097920179367 
593	 0.143265157938004 
594	 0.14426951110363 
595	 0.145243227481842 
596	 0.146231472492218 
597	 0.147196367383003 
598	 0.148244798183441 
599	 0.149213284254074 
600	 0.150025427341461 
601	 0.150928154587746 
602	 0.151742488145828 
603	 0.152473106980324 
604	 0.153196141123772 
605	 0.15389458835125 
606	 0.154592052102089 
607	 0.1552744358778 
608	 0.155877187848091 
609	 0.156461387872696 
610	 0.157034337520599 
611	 0.157585322856903 
612	 0.158088982105255 
613	 0.158557265996933 
614	 0.159012347459793 
615	 0.159473046660423 
616	 0.159837394952774 
617	 0.160223588347435 
618	 0.160675749182701 
619	 0.161058083176613 
620	 0.161412432789803 
621	 0.161774471402168 
622	 0.16215555369854 
623	 0.162443935871124 
624	 0.162743300199509 
625	 0.163067862391472 
626	 0.163346290588379 
627	 0.163682848215103 
628	 0.164002418518066 
629	 0.164268210530281 
630	 0.164630249142647 
631	 0.164939731359482 
632	 0.165214687585831 
633	 0.165530696511269 
634	 0.165801584720612 
635	 0.166094824671745 
636	 0.166436105966568 
637	 0.166783019900322 
638	 0.167055979371071 
639	 0.167316898703575 
640	 0.167630419135094 
641	 0.167944818735123 
642	 0.168252244591713 
643	 0.168569460511208 
644	 0.168922379612923 
645	 0.169263020157814 
646	 0.16960608959198 
647	 0.169958919286728 
648	 0.17030169069767 
649	 0.170672431588173 
650	 0.171059012413025 
651	 0.171434223651886 
652	 0.171767637133598 
653	 0.172170251607895 
654	 0.172628685832024 
655	 0.173030689358711 
656	 0.173401042819023 
657	 0.173806324601173 
658	 0.174274682998657 
659	 0.174737259745598 
660	 0.17525427043438 
661	 0.175783634185791 
662	 0.176264420151711 
663	 0.176757946610451 
664	 0.177228420972824 
665	 0.177704513072968 
666	 0.17827707529068 
667	 0.178814768791199 
668	 0.179340615868568 
669	 0.1798956990242 
670	 0.180488541722298 
671	 0.181083172559738 
672	 0.181665703654289 
673	 0.182243138551712 
674	 0.182871267199516 
675	 0.18351012468338 
676	 0.184149444103241 
677	 0.184824004769325 
678	 0.185461893677711 
679	 0.186137720942497 
680	 0.186898648738861 
681	 0.18760758638382 
682	 0.188309893012047 
683	 0.189038708806038 
684	 0.189805746078491 
685	 0.190502628684044 
686	 0.19123150408268 
687	 0.192034542560577 
688	 0.19284063577652 
689	 0.193626686930656 
690	 0.194408938288689 
691	 0.195213854312897 
692	 0.196044728159904 
693	 0.196921139955521 
694	 0.197820022702217 
695	 0.198695540428162 
696	 0.199573144316673 
697	 0.200442016124725 
698	 0.201314628124237 
699	 0.202246159315109 
700	 0.203206747770309 
701	 0.204160585999489 
702	 0.205090880393982 
