Wavelength	Y7.014
350	 0.100590646266937 
351	 9.74278673529625E-02 
352	 9.32016149163246E-02 
353	 8.92817601561546E-02 
354	 8.79484117031097E-02 
355	 8.76767933368683E-02 
356	 0.086735762655735 
357	 8.37713778018951E-02 
358	 7.77837261557579E-02 
359	 7.44788944721222E-02 
360	 7.44199678301811E-02 
361	 7.50690624117851E-02 
362	 7.46296271681786E-02 
363	 0.071877047419548 
364	 6.77507668733597E-02 
365	 6.56078234314919E-02 
366	 6.64179101586342E-02 
367	 6.74572736024857E-02 
368	 6.63878694176674E-02 
369	 6.49026855826378E-02 
370	 6.49625062942505E-02 
371	 6.57712072134018E-02 
372	 6.50893002748489E-02 
373	 6.30221590399742E-02 
374	 6.20447471737862E-02 
375	 6.24440982937813E-02 
376	 6.11214749515057E-02 
377	 6.18912577629089E-02 
378	 6.17764070630074E-02 
379	 5.84704540669918E-02 
380	 5.75623475015163E-02 
381	 5.90531937777996E-02 
382	 6.01531267166138E-02 
383	 5.74250631034374E-02 
384	 5.72446808218956E-02 
385	 5.84314353764057E-02 
386	 5.87844736874104E-02 
387	 5.59367202222347E-02 
388	 5.39526008069515E-02 
389	 5.32687678933144E-02 
390	 0.053168423473835 
391	 0.053038202226162 
392	 5.24675697088242E-02 
393	 5.16956821084023E-02 
394	 5.13270124793053E-02 
395	 5.09336404502392E-02 
396	 5.08885346353054E-02 
397	 5.10877184569836E-02 
398	 5.04817366600037E-02 
399	 5.00848107039928E-02 
400	 0.049644660204649 
401	 4.88382317125797E-02 
402	 4.86408807337284E-02 
403	 4.82580699026585E-02 
404	 4.73849847912788E-02 
405	 4.62609007954597E-02 
406	 4.69104200601578E-02 
407	 4.72210608422756E-02 
408	 4.62070889770985E-02 
409	 4.61830645799637E-02 
410	 4.59058433771133E-02 
411	 4.53288331627846E-02 
412	 0.044859379529953 
413	 4.53395508229733E-02 
414	 4.49308976531029E-02 
415	 4.38177175819874E-02 
416	 4.39673699438572E-02 
417	 0.043572049587965 
418	 4.32506017386913E-02 
419	 4.33553941547871E-02 
420	 4.25328202545643E-02 
421	 4.23572659492493E-02 
422	 4.27443534135818E-02 
423	 4.29256670176983E-02 
424	 4.26188223063946E-02 
425	 0.042318370193243 
426	 4.22487072646618E-02 
427	 4.22526262700558E-02 
428	 4.18835356831551E-02 
429	 4.15691398084164E-02 
430	 4.16031330823898E-02 
431	 4.12184037268162E-02 
432	 4.11467924714088E-02 
433	 4.11992222070694E-02 
434	 4.07894365489483E-02 
435	 4.08386327326298E-02 
436	 4.08677607774735E-02 
437	 4.06612642109394E-02 
438	 4.06571552157402E-02 
439	 4.05894741415977E-02 
440	 0.040508296340704 
441	 4.04792614281178E-02 
442	 4.02374342083931E-02 
443	 4.00970205664635E-02 
444	 4.01101894676685E-02 
445	 4.01024706661701E-02 
446	 4.00145538151264E-02 
447	 3.99224013090134E-02 
448	 3.98778580129147E-02 
449	 3.98269928991795E-02 
450	 3.97534780204296E-02 
451	 3.97287532687187E-02 
452	 3.98048013448715E-02 
453	 3.96961830556393E-02 
454	 3.96205075085163E-02 
455	 0.039572786539793 
456	 3.92765775322914E-02 
457	 3.92818413674831E-02 
458	 3.93976494669914E-02 
459	 3.93827669322491E-02 
460	 3.93937043845654E-02 
461	 3.92331406474113E-02 
462	 3.89730222523212E-02 
463	 3.88514660298824E-02 
464	 3.91269773244858E-02 
465	 0.039271492511034 
466	 0.039054311811924 
467	 3.88163812458515E-02 
468	 3.88903319835663E-02 
469	 3.89828979969025E-02 
470	 3.87831963598728E-02 
471	 0.038802046328783 
472	 3.86779829859734E-02 
473	 3.84511798620224E-02 
474	 3.84727604687214E-02 
475	 3.84496077895164E-02 
476	 3.84420827031136E-02 
477	 3.84900383651257E-02 
478	 3.84681299328804E-02 
479	 3.83824780583382E-02 
480	 3.82826067507267E-02 
481	 3.82410250604153E-02 
482	 0.038337878882885 
483	 3.83165292441845E-02 
484	 3.81615869700909E-02 
485	 3.81528362631798E-02 
486	 3.81308756768703E-02 
487	 3.80853414535522E-02 
488	 3.80364656448364E-02 
489	 3.79921831190586E-02 
490	 3.79880890250206E-02 
491	 3.79909016191959E-02 
492	 3.79393063485622E-02 
493	 3.79330143332481E-02 
494	 3.78863103687763E-02 
495	 3.78055796027184E-02 
496	 3.78951877355576E-02 
497	 3.78649905323982E-02 
498	 3.77878583967686E-02 
499	 3.77975404262543E-02 
500	 3.77553813159466E-02 
501	 0.037653524428606 
502	 3.75384166836739E-02 
503	 3.74949984252453E-02 
504	 3.75169403851032E-02 
505	 3.74762527644634E-02 
506	 3.73494476079941E-02 
507	 3.74251268804073E-02 
508	 3.74605692923069E-02 
509	 3.73896472156048E-02 
510	 3.72538901865482E-02 
511	 3.72353307902813E-02 
512	 3.72526198625565E-02 
513	 3.72708849608898E-02 
514	 3.73518913984299E-02 
515	 3.72414700686932E-02 
516	 0.037102859467268 
517	 3.71212847530842E-02 
518	 3.71693260967731E-02 
519	 3.71150560677052E-02 
520	 3.70200425386429E-02 
521	 3.70640568435192E-02 
522	 3.71310152113438E-02 
523	 3.70762646198273E-02 
524	 3.69180962443352E-02 
525	 3.70109304785728E-02 
526	 3.70294451713562E-02 
527	 3.70157435536385E-02 
528	 3.70885916054249E-02 
529	 3.70281375944614E-02 
530	 3.69571521878242E-02 
531	 3.69466096162796E-02 
532	 3.69870886206627E-02 
533	 3.69959659874439E-02 
534	 3.69672179222107E-02 
535	 3.69227938354015E-02 
536	 3.69015261530876E-02 
537	 0.03691466152668 
538	 3.69239151477814E-02 
