Wavelength	A00130.asd.hr
350	 0.999999940395355 
351	 0.989789128303528 
352	 0.97327995300293 
353	 0.960736215114594 
354	 0.967128455638886 
355	 0.957724988460541 
356	 0.951785922050476 
357	 0.960535645484924 
358	 0.943946003913879 
359	 0.926395416259766 
360	 0.918011069297791 
361	 0.918626189231873 
362	 0.910568475723267 
363	 0.901930332183838 
364	 0.902311027050018 
365	 0.919365525245667 
366	 0.918680846691132 
367	 0.914754152297974 
368	 0.921438813209534 
369	 0.918856680393219 
370	 0.913269340991974 
371	 0.906123876571655 
372	 0.897514462471008 
373	 0.894842386245728 
374	 0.894860863685608 
375	 0.896079659461975 
376	 0.900823414325714 
377	 0.900137960910797 
378	 0.899034142494202 
379	 0.902527332305908 
380	 0.904876708984375 
381	 0.907847225666046 
382	 0.911077260971069 
383	 0.912949323654175 
384	 0.911792397499084 
385	 0.90838086605072 
386	 0.905300319194794 
387	 0.907195806503296 
388	 0.910852134227753 
389	 0.914150238037109 
390	 0.915420353412628 
391	 0.913634896278381 
392	 0.91232031583786 
393	 0.913772225379944 
394	 0.918210208415985 
395	 0.914488315582275 
396	 0.912448167800903 
397	 0.916548192501068 
398	 0.919179558753967 
399	 0.918510019779205 
400	 0.917525410652161 
401	 0.919531464576721 
402	 0.923016905784607 
403	 0.924485445022583 
404	 0.924615740776062 
405	 0.926792204380035 
406	 0.926876068115234 
407	 0.927168428897858 
408	 0.928856372833252 
409	 0.929272532463074 
410	 0.930972874164581 
411	 0.931735575199127 
412	 0.929533421993256 
413	 0.930600941181183 
414	 0.932650089263916 
415	 0.934267044067383 
416	 0.935269117355347 
417	 0.935409486293793 
418	 0.935216069221497 
419	 0.935387790203094 
420	 0.936972916126251 
421	 0.937323093414307 
422	 0.937110364437103 
423	 0.938045799732208 
424	 0.938908874988556 
425	 0.938999652862549 
426	 0.938811421394348 
427	 0.940078556537628 
428	 0.941621243953705 
429	 0.942026674747467 
430	 0.941045939922333 
431	 0.941874027252197 
432	 0.942965507507324 
433	 0.943686008453369 
434	 0.943997979164124 
435	 0.944105088710785 
436	 0.944494068622589 
437	 0.945227980613709 
438	 0.945688366889954 
439	 0.946542084217072 
440	 0.947197139263153 
441	 0.947114109992981 
442	 0.947456240653992 
443	 0.947550892829895 
444	 0.947771728038788 
445	 0.949179708957672 
446	 0.94951868057251 
447	 0.94953191280365 
448	 0.949943900108337 
449	 0.950313746929169 
450	 0.950734615325928 
451	 0.95093035697937 
452	 0.950740396976471 
453	 0.951491177082062 
454	 0.951850831508636 
455	 0.951662123203278 
456	 0.952235281467438 
457	 0.952830791473389 
458	 0.953269422054291 
459	 0.953580796718597 
460	 0.954121947288513 
461	 0.954167187213898 
462	 0.954160988330841 
463	 0.954965651035309 
464	 0.954874455928802 
465	 0.955021321773529 
466	 0.955700695514679 
467	 0.955400049686432 
468	 0.955883860588074 
469	 0.956548810005188 
470	 0.956520438194275 
471	 0.956806659698486 
472	 0.957400321960449 
473	 0.958022058010101 
474	 0.958236157894135 
475	 0.958387851715088 
476	 0.958606123924255 
477	 0.958983838558197 
478	 0.959612846374512 
479	 0.960414052009583 
480	 0.960933029651642 
481	 0.960786819458008 
482	 0.960899770259857 
483	 0.961449980735779 
484	 0.962321102619171 
485	 0.9631467461586 
486	 0.963578104972839 
487	 0.9636470079422 
488	 0.963671445846558 
489	 0.964498937129974 
490	 0.965293824672699 
491	 0.96582955121994 
492	 0.966291785240173 
493	 0.966966032981873 
494	 0.967476308345795 
495	 0.967771947383881 
496	 0.968516528606415 
497	 0.96889454126358 
498	 0.968985557556152 
499	 0.969187617301941 
500	 0.969968378543854 
501	 0.970792591571808 
502	 0.971183001995087 
503	 0.970867931842804 
504	 0.97153514623642 
505	 0.972523212432861 
506	 0.973078608512878 
507	 0.97330105304718 
508	 0.973600685596466 
509	 0.974092662334442 
510	 0.974687337875366 
511	 0.9750856757164 
512	 0.975247442722321 
513	 0.97529274225235 
514	 0.975501954555511 
515	 0.97650021314621 
516	 0.977258622646332 
517	 0.977026700973511 
518	 0.977661728858948 
519	 0.977972507476807 
520	 0.978027880191803 
521	 0.978712320327759 
522	 0.979393482208252 
523	 0.979803442955017 
524	 0.979897141456604 
525	 0.979923903942108 
526	 0.980183601379395 
527	 0.980662286281586 
528	 0.981215834617615 
529	 0.981753945350647 
530	 0.982419908046722 
531	 0.983056485652924 
532	 0.983182668685913 
533	 0.983481049537659 
534	 0.983703851699829 
535	 0.983687818050385 
536	 0.984166920185089 
537	 0.984641015529633 
538	 0.985097110271454 
539	 0.985729873180389 
540	 0.985903561115265 
541	 0.98628443479538 
542	 0.987060904502869 
543	 0.987367451190948 
544	 0.987954139709473 
545	 0.988292753696442 
546	 0.987900853157043 
547	 0.988278269767761 
548	 0.989070057868958 
549	 0.989741981029511 
550	 0.989738643169403 
551	 0.990078747272491 
552	 0.990728735923767 
553	 0.99144172668457 
554	 0.991933345794678 
555	 0.993181884288788 
556	 0.99432247877121 
557	 0.994070827960968 
558	 0.994210600852966 
559	 0.994604170322418 
560	 0.995086908340454 
561	 0.995698094367981 
562	 0.995913803577423 
563	 0.995701551437378 
564	 0.995416164398193 
565	 0.996405482292175 
566	 0.996650338172913 
567	 0.995746254920959 
568	 0.99480676651001 
569	 0.994881272315979 
570	 0.995126903057098 
571	 0.994865357875824 
572	 0.994858860969543 
573	 0.995237469673157 
574	 0.995917320251465 
575	 0.996745645999908 
576	 0.998152554035187 
577	 0.999322593212128 
578	 0.999919056892395 
579	 1 
580	 0.999232470989227 
581	 0.998569428920746 
