Wavelength	4a.001
350	 1.18663907051086 
351	 1.20521521568298 
352	 1.22666585445404 
353	 1.24842441082001 
354	 1.24607062339783 
355	 1.2430294752121 
356	 1.25920259952545 
357	 1.30062508583069 
358	 1.33043694496155 
359	 1.35037958621979 
360	 1.35196268558502 
361	 1.33079481124878 
362	 1.33640730381012 
363	 1.36146080493927 
364	 1.38708174228668 
365	 1.38322806358337 
366	 1.37293148040771 
367	 1.37359583377838 
368	 1.38850283622742 
369	 1.3799375295639 
370	 1.3832700252533 
371	 1.3980575799942 
372	 1.40271854400635 
373	 1.39384818077087 
374	 1.39344418048859 
375	 1.40641582012177 
376	 1.41042709350586 
377	 1.40004992485046 
378	 1.39614105224609 
379	 1.41288626194 
380	 1.42009305953979 
381	 1.41614329814911 
382	 1.41314291954041 
383	 1.426389336586 
384	 1.42179763317108 
385	 1.41440367698669 
386	 1.42019617557526 
387	 1.45062482357025 
388	 1.46276342868805 
389	 1.45379948616028 
390	 1.4402551651001 
391	 1.44854044914246 
392	 1.44940650463104 
393	 1.43950891494751 
394	 1.43363046646118 
395	 1.43494582176208 
396	 1.43261456489563 
397	 1.42490100860596 
398	 1.42737019062042 
399	 1.43255007266998 
400	 1.43717706203461 
401	 1.43952596187592 
402	 1.44079267978668 
403	 1.43349599838257 
404	 1.42703282833099 
405	 1.43927276134491 
406	 1.43209683895111 
407	 1.42810714244843 
408	 1.43688058853149 
409	 1.42516613006592 
410	 1.42465913295746 
411	 1.42670965194702 
412	 1.41558170318604 
413	 1.40576732158661 
414	 1.40392708778381 
415	 1.40571892261505 
416	 1.39860010147095 
417	 1.39718461036682 
418	 1.39227771759033 
419	 1.38069689273834 
420	 1.3816841840744 
421	 1.37956941127777 
422	 1.37269711494446 
423	 1.36540722846985 
424	 1.36049020290375 
425	 1.35662603378296 
426	 1.35161852836609 
427	 1.34287059307098 
428	 1.33657312393188 
429	 1.33063983917236 
430	 1.32319927215576 
431	 1.31855654716492 
432	 1.31157171726227 
433	 1.3032420873642 
434	 1.29724335670471 
435	 1.29024267196655 
436	 1.28258287906647 
437	 1.27501475811005 
438	 1.26839506626129 
439	 1.26042497158051 
440	 1.25147438049316 
441	 1.24282479286194 
442	 1.23624312877655 
443	 1.22884714603424 
444	 1.22052931785583 
445	 1.21316242218018 
446	 1.20484590530396 
447	 1.19662535190582 
448	 1.18900680541992 
449	 1.18058037757874 
450	 1.17152369022369 
451	 1.16314506530762 
452	 1.15653932094574 
453	 1.14914631843567 
454	 1.14151477813721 
455	 1.1339350938797 
456	 1.12616944313049 
457	 1.11758279800415 
458	 1.10967075824738 
459	 1.10302138328552 
460	 1.09449672698975 
461	 1.08633375167847 
462	 1.07915437221527 
463	 1.07258999347687 
464	 1.06582117080688 
465	 1.05825877189636 
466	 1.05045831203461 
467	 1.04454219341278 
468	 1.03833568096161 
469	 1.03164553642273 
470	 1.02479803562164 
471	 1.0177241563797 
472	 1.01168859004974 
473	 1.00611937046051 
474	 0.999254584312439 
475	 0.993037402629852 
476	 0.987296223640442 
477	 0.981594622135162 
478	 0.975573599338531 
479	 0.970242917537689 
480	 0.964898109436035 
481	 0.958574712276459 
482	 0.952834367752075 
483	 0.947676301002502 
484	 0.942716360092163 
485	 0.937322497367859 
486	 0.932208716869354 
487	 0.92720353603363 
488	 0.922077059745789 
489	 0.916966378688812 
490	 0.912297308444977 
491	 0.90776139497757 
492	 0.902730882167816 
