Wavelength	5c.000
350	 7.59403556585312E-02 
351	 7.35683217644691E-02 
352	 0.068930096924305 
353	 6.46588057279587E-02 
354	 6.48510605096817E-02 
355	 6.47170916199684E-02 
356	 6.29658326506615E-02 
357	 0.059789452701807 
358	 5.66324666142464E-02 
359	 5.53983077406883E-02 
360	 0.054718304425478 
361	 5.21118380129337E-02 
362	 5.09259253740311E-02 
363	 4.98036369681358E-02 
364	 4.83238324522972E-02 
365	 4.78368401527405E-02 
366	 4.92356419563293E-02 
367	 0.049604132771492 
368	 4.72038201987743E-02 
369	 0.046859834343195 
370	 0.046638049185276 
371	 4.59752716124058E-02 
372	 4.52254489064217E-02 
373	 4.53593544661999E-02 
374	 4.49151955544949E-02 
375	 4.35170754790306E-02 
376	 4.26187105476856E-02 
377	 0.043314378708601 
378	 0.043133832514286 
379	 4.05740439891815E-02 
380	 4.06232327222824E-02 
381	 4.13715168833733E-02 
382	 4.18695956468582E-02 
383	 4.18428592383862E-02 
384	 4.08830344676971E-02 
385	 4.05164584517479E-02 
386	 4.07040603458881E-02 
387	 3.87515686452389E-02 
388	 3.71664762496948E-02 
389	 3.65760959684849E-02 
390	 3.67366820573807E-02 
391	 0.036321971565485 
392	 0.036501307040453 
393	 3.67369465529919E-02 
394	 3.56371887028217E-02 
395	 3.56163829565048E-02 
396	 3.55867519974709E-02 
397	 3.49905490875244E-02 
398	 0.034908588975668 
399	 0.034592654556036 
400	 3.39422635734081E-02 
401	 3.31326387822628E-02 
402	 3.25020886957645E-02 
403	 3.27659510076046E-02 
404	 0.03325305134058 
405	 3.24692726135254E-02 
406	 3.22903878986835E-02 
407	 3.19309830665588E-02 
408	 0.031104413792491 
409	 0.031283300369978 
410	 3.11810486018658E-02 
411	 3.07839810848236E-02 
412	 3.04815080016851E-02 
413	 3.05106807500124E-02 
414	 2.99932360649109E-02 
415	 2.91888248175383E-02 
416	 2.93318014591932E-02 
417	 0.029277766123414 
418	 2.90518384426832E-02 
419	 2.88490448147058E-02 
420	 2.87752952426672E-02 
421	 2.84756124019623E-02 
422	 0.028287211433053 
423	 2.86252591758966E-02 
424	 2.85074878484011E-02 
425	 2.81195379793644E-02 
426	 0.027777012437582 
427	 2.78164967894554E-02 
428	 2.76504643261433E-02 
429	 0.0274663195014 
430	 0.027485566213727 
431	 0.027500731870532 
432	 2.74575725197792E-02 
433	 2.73020677268505E-02 
434	 2.70331632345915E-02 
435	 2.70516667515039E-02 
436	 2.72162780165672E-02 
437	 2.73017305880785E-02 
438	 2.70430818200111E-02 
439	 2.68908943980932E-02 
440	 2.69719120115042E-02 
441	 2.71715354174376E-02 
442	 2.68175955861807E-02 
443	 2.66993790864944E-02 
444	 2.68433652818203E-02 
445	 2.66734734177589E-02 
446	 2.67221573740244E-02 
447	 2.67227031290531E-02 
448	 2.65510473400354E-02 
449	 2.66974233090878E-02 
450	 2.66903713345528E-02 
451	 2.65550147742033E-02 
452	 2.64983996748924E-02 
453	 2.65746805816889E-02 
454	 2.66206935048103E-02 
455	 0.026539346203208 
456	 2.63324622064829E-02 
457	 2.62634698301554E-02 
458	 2.62494403868914E-02 
459	 2.62104962021112E-02 
460	 2.63602547347546E-02 
461	 2.63954289257526E-02 
462	 2.62253005057573E-02 
463	 2.59291641414166E-02 
464	 2.58367750793695E-02 
465	 2.59440261870623E-02 
466	 2.61018592864275E-02 
467	 2.60113161057234E-02 
468	 2.58850771933794E-02 
469	 0.0258161239326 
470	 2.58366279304028E-02 
471	 2.58980114012957E-02 
472	 2.58200671523809E-02 
473	 2.56827957928181E-02 
474	 2.57447268813849E-02 
475	 2.56120078265667E-02 
476	 2.54734922200441E-02 
477	 2.54742261022329E-02 
478	 2.54637263715267E-02 
479	 2.53736544400454E-02 
480	 2.52930149435997E-02 
481	 2.53398660570383E-02 
482	 2.53623016178608E-02 
483	 2.53218282014132E-02 
484	 0.025247136130929 
485	 2.52308659255505E-02 
486	 2.52461917698383E-02 
487	 2.52393893897533E-02 
488	 2.51745246350765E-02 
489	 2.50842403620481E-02 
490	 2.50217337161303E-02 
491	 2.49909367412329E-02 
492	 0.024961756542325 
493	 2.48838495463133E-02 
494	 2.49293148517609E-02 
495	 2.50985212624073E-02 
496	 2.50707361847162E-02 
497	 2.49653421342373E-02 
498	 2.48725973069668E-02 
499	 2.48449500650167E-02 
500	 2.47694477438927E-02 
501	 0.024762935936451 
502	 2.47942060232162E-02 
503	 2.47068386524916E-02 
504	 2.46625579893589E-02 
505	 2.46568471193314E-02 
506	 2.46563702821732E-02 
507	 2.46332306414843E-02 
508	 2.46355216950178E-02 
509	 2.46023163199425E-02 
510	 2.44687162339687E-02 
511	 2.44923699647188E-02 
512	 0.024563979357481 
513	 2.46060527861118E-02 
514	 2.46281735599041E-02 
515	 2.45985295623541E-02 
516	 2.44894120842218E-02 
517	 2.43266299366951E-02 
518	 2.43015717715025E-02 
519	 2.43207179009914E-02 
520	 2.43407282978296E-02 
521	 2.43565198034048E-02 
522	 2.43503991514444E-02 
523	 2.42729708552361E-02 
524	 2.41632368415594E-02 
525	 2.42552328854799E-02 
526	 2.42741592228413E-02 
527	 2.42317207157612E-02 
528	 2.42157392203808E-02 
529	 0.024114403873682 
530	 2.40260288119316E-02 
531	 2.40230318158865E-02 
532	 2.41312477737665E-02 
533	 2.41286810487509E-02 
534	 2.41048559546471E-02 
535	 2.41378657519817E-02 
536	 2.40463521331549E-02 
537	 2.40139029920101E-02 
538	 2.40213368088007E-02 
539	 2.39540506154299E-02 
540	 2.39490959793329E-02 
541	 2.39972379058599E-02 
542	 2.40403469651937E-02 
543	 2.39624548703432E-02 
544	 2.39813588559628E-02 
545	 2.40234490483999E-02 
546	 2.39793788641691E-02 
547	 2.40171048790216E-02 
548	 2.40558534860611E-02 
549	 2.40670759230852E-02 
550	 2.40764655172825E-02 
551	 2.40620039403439E-02 
552	 2.40497048944235E-02 
553	 2.40619834512472E-02 
554	 2.40901950746775E-02 
555	 2.41384133696556E-02 
556	 2.41992175579071E-02 
557	 2.42650993168354E-02 
558	 2.43704281747341E-02 
559	 2.44989842176437E-02 
560	 2.46226452291012E-02 
561	 2.47042402625084E-02 
562	 2.48063448816538E-02 
563	 2.49313674867153E-02 
564	 2.50696074217558E-02 
565	 2.52442937344313E-02 
566	 2.53806803375483E-02 
567	 2.54634711891413E-02 
568	 2.55307219922543E-02 
569	 2.56764218211174E-02 
570	 2.58263237774372E-02 
571	 2.59316880255938E-02 
572	 2.60484106838703E-02 
573	 2.62444242835045E-02 
574	 0.026466516777873 
575	 2.66414601355791E-02 
576	 2.69025731831789E-02 
577	 2.72025633603334E-02 
578	 0.027515422552824 
579	 0.027853412553668 
580	 2.82361172139645E-02 
581	 2.86622028797865E-02 
582	 2.91343685239553E-02 
583	 2.96842660754919E-02 
584	 3.02527863532305E-02 
585	 0.030853595584631 
586	 3.15420851111412E-02 
587	 3.23162190616131E-02 
588	 3.31400334835052E-02 
589	 3.40132191777229E-02 
590	 3.49949225783348E-02 
591	 3.60507108271122E-02 
592	 3.71807962656021E-02 
593	 3.84106524288654E-02 
594	 3.98093238472939E-02 
595	 4.13518249988556E-02 
596	 4.30661290884018E-02 
597	 4.50225248932838E-02 
598	 4.72520440816879E-02 
599	 4.98160161077976E-02 
600	 5.27672506868839E-02 
601	 5.60971014201641E-02 
602	 5.99124580621719E-02 
603	 6.42465054988861E-02 
604	 6.90887495875359E-02 
605	 7.44228363037109E-02 
606	 8.03214907646179E-02 
607	 8.68408754467964E-02 
608	 9.39899459481239E-02 
609	 0.101711556315422 
610	 0.110000491142273 
