Wavelength	5a.000
350	 0.074392132461071 
351	 6.75505176186562E-02 
352	 6.12394288182259E-02 
353	 5.97111694514751E-02 
354	 6.17079921066761E-02 
355	 5.95816075801849E-02 
356	 5.67906573414803E-02 
357	 0.056642759591341 
358	 5.39708025753498E-02 
359	 5.22313639521599E-02 
360	 5.18165305256844E-02 
361	 5.14386184513569E-02 
362	 5.06590008735657E-02 
363	 4.98372428119183E-02 
364	 4.89167459309101E-02 
365	 4.71624918282032E-02 
366	 4.76048141717911E-02 
367	 4.81774918735027E-02 
368	 4.68374341726303E-02 
369	 4.54693883657455E-02 
370	 4.56713177263737E-02 
371	 4.66014705598354E-02 
372	 4.62093837559223E-02 
373	 4.52333986759186E-02 
374	 0.045500386506319 
375	 4.66788411140442E-02 
376	 0.045285988599062 
377	 4.47948388755322E-02 
378	 4.50968891382217E-02 
379	 4.52417470514774E-02 
380	 4.47754599153996E-02 
381	 4.49302680790424E-02 
382	 4.47221025824547E-02 
383	 4.24135439097881E-02 
384	 4.25278395414352E-02 
385	 4.34619225561619E-02 
386	 4.34661880135536E-02 
387	 4.16427478194237E-02 
388	 4.09792177379131E-02 
389	 4.10895794630051E-02 
390	 4.08829860389233E-02 
391	 4.05205376446247E-02 
392	 4.00085859000683E-02 
393	 0.040281880646944 
394	 4.23303581774235E-02 
395	 4.11981828510761E-02 
396	 3.98345738649368E-02 
397	 3.99925224483013E-02 
398	 3.97903360426426E-02 
399	 3.91232892870903E-02 
400	 3.86223383247852E-02 
401	 3.87995466589928E-02 
402	 3.85048985481262E-02 
403	 3.90502251684666E-02 
404	 3.96005176007748E-02 
405	 3.79960313439369E-02 
406	 3.70873026549816E-02 
407	 3.69495153427124E-02 
408	 3.71518395841122E-02 
409	 3.73014584183693E-02 
410	 3.63735742866993E-02 
411	 3.55306006968021E-02 
412	 3.60949225723743E-02 
413	 3.63412909209728E-02 
414	 3.60313504934311E-02 
415	 3.55045907199383E-02 
416	 3.54884900152683E-02 
417	 3.54648754000664E-02 
418	 3.51903066039085E-02 
419	 3.48066724836826E-02 
420	 3.53297144174576E-02 
421	 3.51081974804401E-02 
422	 3.45832146704197E-02 
423	 3.48167344927788E-02 
424	 0.034827932715416 
425	 3.45579944550991E-02 
426	 0.034229502081871 
427	 3.42828370630741E-02 
428	 3.41423042118549E-02 
429	 0.034039594233036 
430	 3.41487415134907E-02 
431	 0.033897053450346 
432	 0.033786553889513 
433	 3.36954928934574E-02 
434	 3.32766659557819E-02 
435	 3.36086191236973E-02 
436	 3.37994657456875E-02 
437	 3.34527678787708E-02 
438	 3.32452170550823E-02 
439	 3.34191657602787E-02 
440	 3.36192809045315E-02 
441	 3.34960408508778E-02 
442	 0.033609576523304 
443	 3.35375107824802E-02 
444	 3.33306305110455E-02 
445	 3.34015972912312E-02 
446	 3.33415642380714E-02 
447	 3.32434214651585E-02 
448	 3.32091860473156E-02 
449	 3.31777930259705E-02 
450	 3.32107581198215E-02 
451	 3.32694761455059E-02 
452	 3.32847014069557E-02 
453	 3.32686044275761E-02 
454	 3.31955812871456E-02 
455	 3.31321991980076E-02 
456	 0.033239234238863 
457	 3.32408435642719E-02 
458	 0.033203199505806 
459	 3.32251414656639E-02 
460	 3.32814529538155E-02 
461	 3.31604555249214E-02 
462	 3.29520925879478E-02 
463	 3.29100862145424E-02 
464	 3.30408737063408E-02 
465	 3.33600863814354E-02 
466	 3.36308963596821E-02 
467	 3.32194156944752E-02 
468	 3.30020785331726E-02 
469	 3.29594574868679E-02 
470	 3.29010151326656E-02 
471	 0.033169150352478 
472	 3.31946983933449E-02 
473	 3.30279357731342E-02 
474	 3.31871323287487E-02 
475	 3.30965556204319E-02 
476	 3.29170748591423E-02 
477	 3.28340195119381E-02 
478	 3.28155942261219E-02 
479	 3.28795164823532E-02 
480	 0.032994233071804 
481	 0.033075712621212 
482	 3.28565575182438E-02 
483	 0.032706867903471 
484	 3.27333174645901E-02 
485	 3.26919741928577E-02 
486	 3.28536815941334E-02 
487	 3.29752489924431E-02 
488	 3.28734628856182E-02 
489	 3.29079627990723E-02 
490	 3.29651534557343E-02 
491	 3.29837277531624E-02 
492	 0.032939750701189 
493	 3.28470133244991E-02 
494	 3.28377187252045E-02 
495	 3.29324007034302E-02 
496	 3.29571142792702E-02 
497	 3.28484512865543E-02 
498	 3.27596180140972E-02 
499	 3.28433141112328E-02 
500	 3.29134985804558E-02 
501	 3.28882932662964E-02 
502	 3.28027531504631E-02 
503	 3.27848307788372E-02 
504	 0.032765831798315 
505	 3.27976010739803E-02 
506	 3.28806713223457E-02 
507	 3.28388512134552E-02 
508	 3.28323021531105E-02 
509	 0.032845214009285 
510	 3.28030325472355E-02 
511	 0.032800730317831 
512	 3.28490994870663E-02 
513	 3.29203717410564E-02 
514	 3.29509899020195E-02 
515	 0.032890759408474 
516	 0.032825268805027 
517	 3.28230671584606E-02 
518	 3.27493622899055E-02 
519	 3.27201075851917E-02 
520	 3.27750071883202E-02 
521	 3.28802615404129E-02 
522	 3.28383482992649E-02 
523	 0.032765481621027 
524	 3.27582061290741E-02 
525	 3.27925086021423E-02 
526	 3.27320359647274E-02 
527	 3.26782800257206E-02 
528	 3.27625572681427E-02 
529	 3.27570587396622E-02 
530	 3.27152945101261E-02 
531	 3.26981954276562E-02 
532	 3.27511690557003E-02 
533	 3.27558517456055E-02 
534	 3.27311903238297E-02 
535	 3.27135808765888E-02 
536	 3.26910763978958E-02 
537	 3.26858051121235E-02 
538	 3.26943174004555E-02 
539	 3.27001251280308E-02 
540	 3.27139273285866E-02 
541	 3.27301993966103E-02 
542	 0.032746646553278 
543	 3.27688083052635E-02 
544	 3.28008495271206E-02 
545	 3.28025333583355E-02 
546	 3.27557809650898E-02 
547	 3.28014343976974E-02 
548	 3.28456088900566E-02 
549	 3.28518375754356E-02 
550	 3.28458100557327E-02 
551	 3.28720547258854E-02 
552	 0.032918144017458 
553	 3.29632423818111E-02 
554	 3.29949222505093E-02 
555	 3.30333486199379E-02 
556	 3.31134647130966E-02 
557	 3.32564674317837E-02 
558	 3.33332978188992E-02 
559	 3.34200114011765E-02 
560	 0.033548716455698 
561	 3.36637608706951E-02 
562	 3.37632708251476E-02 
563	 3.38741019368172E-02 
564	 3.40194702148438E-02 
565	 3.41828465461731E-02 
566	 3.42966318130493E-02 
567	 3.43614593148232E-02 
568	 3.44344154000282E-02 
569	 3.45883220434189E-02 
570	 3.47280763089657E-02 
571	 3.47957015037537E-02 
572	 3.48604544997215E-02 
573	 3.49839814007282E-02 
574	 3.51443998515606E-02 
575	 3.52901555597782E-02 
576	 0.035438846796751 
577	 0.035584032535553 
578	 0.035745695233345 
579	 3.59720066189766E-02 
580	 3.61782945692539E-02 
581	 0.03639305382967 
582	 3.66545468568802E-02 
583	 3.69472503662109E-02 
584	 3.72274070978165E-02 
585	 3.75086180865765E-02 
586	 3.78377549350262E-02 
587	 0.038215771317482 
588	 3.85929234325886E-02 
589	 3.89515981078148E-02 
590	 3.93321663141251E-02 
591	 3.97447161376476E-02 
592	 4.02009300887585E-02 
593	 4.06897887587547E-02 
594	 4.10990938544273E-02 
595	 4.15818020701408E-02 
596	 4.21571061015129E-02 
597	 4.27226014435291E-02 
598	 0.043332327157259 
599	 4.39898557960987E-02 
600	 4.46850135922432E-02 
601	 4.53779697418213E-02 
602	 4.61877025663853E-02 
603	 4.70729842782021E-02 
604	 4.79381047189236E-02 
605	 4.88563850522041E-02 
606	 4.98540811240673E-02 
607	 5.09451143443584E-02 
608	 5.21296821534634E-02 
609	 5.33257722854614E-02 
610	 0.054612509906292 
611	 0.056063748896122 
612	 5.75790777802467E-02 
613	 5.91711178421974E-02 
614	 6.08667023479939E-02 
615	 6.27056136727333E-02 
616	 6.47107884287834E-02 
617	 6.68528228998184E-02 
618	 6.91304728388786E-02 
619	 7.16105997562408E-02 
620	 7.42845088243485E-02 
621	 7.71414265036583E-02 
622	 8.01743641495705E-02 
623	 8.34070667624474E-02 
624	 8.68904888629913E-02 
625	 9.06167179346085E-02 
626	 9.45311933755875E-02 
627	 9.87448468804359E-02 
628	 0.103221260011196 
629	 0.107919178903103 
630	 0.112855657935143 
631	 0.118016369640827 
632	 0.123418621718884 
633	 0.129058390855789 
634	 0.134834945201874 
635	 0.140726655721664 
636	 0.146763801574707 
637	 0.153012603521347 
638	 0.159269079566002 
639	 0.165530577301979 
640	 0.171835258603096 
641	 0.178161069750786 
642	 0.184444323182106 
643	 0.190680518746376 
644	 0.196905791759491 
645	 0.203021198511124 
646	 0.208986818790436 
647	 0.214783728122711 
648	 0.220421478152275 
649	 0.226008161902428 
650	 0.231413632631302 
651	 0.236506953835487 
652	 0.241448730230331 
653	 0.24624739587307 
654	 0.250886380672455 
655	 0.25532677769661 
656	 0.25951623916626 
657	 0.263555437326431 
658	 0.267474412918091 
659	 0.271094113588333 
660	 0.27463373541832 
661	 0.27803248167038 
662	 0.281166315078735 
663	 0.284188807010651 
664	 0.28705358505249 
665	 0.289785385131836 
666	 0.292481750249863 
667	 0.295018523931503 
668	 0.297324955463409 
669	 0.299444735050201 
670	 0.30169814825058 
671	 0.303808063268662 
672	 0.305773794651031 
673	 0.307696670293808 
674	 0.309424728155136 
675	 0.311074674129486 
676	 0.312705278396606 
677	 0.314280152320862 
678	 0.315615653991699 
679	 0.316996902227402 
680	 0.318594574928284 
681	 0.31988525390625 
682	 0.321147859096527 
683	 0.322362214326859 
684	 0.323392271995544 
685	 0.324570953845978 
686	 0.325679421424866 
687	 0.326645880937576 
688	 0.32768639922142 
689	 0.328759640455246 
690	 0.329735308885574 
691	 0.330536127090454 
692	 0.331335544586182 
693	 0.332222014665604 
694	 0.333142966032028 
695	 0.33396390080452 
696	 0.334739238023758 
697	 0.335420548915863 
698	 0.336051851511002 
699	 0.336838185787201 
700	 0.337568074464798 
701	 0.338261097669601 
702	 0.338973343372345 
703	 0.339641332626343 
704	 0.340231388807297 
705	 0.340767800807953 
706	 0.341317892074585 
707	 0.341934591531754 
708	 0.342619121074677 
709	 0.343275308609009 
710	 0.343647032976151 
711	 0.344254046678543 
712	 0.344903290271759 
713	 0.345306068658829 
714	 0.345708459615707 
715	 0.346147418022156 
716	 0.3466717004776 
717	 0.347307682037354 
718	 0.347783327102661 
719	 0.348159968852997 
720	 0.348523646593094 
721	 0.348909854888916 
722	 0.349377036094666 
723	 0.349813044071198 
724	 0.350127458572388 
725	 0.350540906190872 
726	 0.350924730300903 
727	 0.351291388273239 
728	 0.351741015911102 
729	 0.352153837680817 
730	 0.35244345664978 
731	 0.352649301290512 
732	 0.353001296520233 
733	 0.353362649679184 
734	 0.353716135025024 
735	 0.354058921337128 
736	 0.354310482740402 
737	 0.354589521884918 
738	 0.354898929595947 
739	 0.355168581008911 
740	 0.355449944734573 
741	 0.355750352144241 
742	 0.356045752763748 
743	 0.356274008750916 
744	 0.35654953122139 
745	 0.356869518756866 
746	 0.357182502746582 
747	 0.357395499944687 
748	 0.357584685087204 
749	 0.357794582843781 
750	 0.358041554689407 
751	 0.358300089836121 
752	 0.358505338430405 
753	 0.358656406402588 
754	 0.358836621046066 
755	 0.359103441238403 
756	 0.359354466199875 
757	 0.359524518251419 
758	 0.359772741794586 
759	 0.359989166259766 
760	 0.360182255506516 
761	 0.36039474606514 
762	 0.360507279634476 
763	 0.360618591308594 
764	 0.360806435346603 
765	 0.361094862222672 
766	 0.361247152090073 
767	 0.361337453126907 
768	 0.361484169960022 
769	 0.361769616603851 
770	 0.361970871686935 
771	 0.362114608287811 
772	 0.362298429012299 
773	 0.362456262111664 
774	 0.362604111433029 
775	 0.362759381532669 
776	 0.362935215234756 
777	 0.363131046295166 
778	 0.36320286989212 
779	 0.363173186779022 
780	 0.363367438316345 
781	 0.363654792308807 
782	 0.363813281059265 
783	 0.363758414983749 
784	 0.363980114459991 
785	 0.364163309335709 
786	 0.364277780056 
787	 0.364436656236649 
788	 0.364477515220642 
789	 0.364523082971573 
790	 0.364636808633804 
791	 0.364781498908997 
792	 0.365044116973877 
793	 0.365265995264053 
794	 0.365343809127808 
795	 0.365427404642105 
796	 0.365473389625549 
797	 0.365505546331406 
798	 0.36555752158165 
799	 0.365591615438461 
800	 0.36569818854332 
801	 0.365872919559479 
802	 0.366024374961853 
803	 0.366008013486862 
804	 0.366042822599411 
805	 0.366222381591797 
806	 0.366380244493485 
807	 0.366445243358612 
808	 0.366494178771973 
809	 0.366596162319183 
810	 0.366665840148926 
811	 0.366730988025665 
812	 0.366822332143784 
813	 0.366936355829239 
814	 0.366858333349228 
815	 0.36688956618309 
816	 0.367079794406891 
817	 0.367225497961044 
818	 0.367265641689301 
819	 0.367250353097916 
820	 0.367275714874268 
821	 0.367470413446426 
822	 0.367697387933731 
823	 0.367838323116302 
824	 0.367844581604004 
825	 0.367844879627228 
826	 0.367855966091156 
827	 0.367889761924744 
828	 0.367963790893555 
829	 0.368182510137558 
830	 0.368299454450607 
831	 0.368276983499527 
832	 0.368282854557037 
833	 0.368401676416397 
834	 0.368486404418945 
835	 0.368470847606659 
836	 0.368468910455704 
837	 0.368619084358215 
838	 0.368706911802292 
839	 0.368610888719559 
840	 0.368733078241348 
841	 0.368831425905228 
842	 0.368849396705627 
843	 0.36882558465004 
844	 0.368860125541687 
845	 0.368966788053513 
846	 0.36907634139061 
847	 0.369087398052216 
848	 0.369144290685654 
849	 0.369212925434113 
850	 0.369281888008118 
851	 0.369389146566391 
852	 0.369439721107483 
853	 0.369473874568939 
854	 0.369536519050598 
855	 0.369620889425278 
856	 0.369677275419235 
857	 0.369772523641586 
858	 0.369923084974289 
859	 0.369818657636642 
860	 0.369822442531586 
861	 0.369947463274002 
862	 0.370038002729416 
863	 0.370172142982483 
864	 0.370273232460022 
865	 0.370329827070236 
866	 0.370387881994247 
867	 0.370380848646164 
868	 0.370364189147949 
869	 0.370390385389328 
870	 0.370481699705124 
871	 0.370696216821671 
872	 0.37084624171257 
873	 0.370832294225693 
874	 0.37085884809494 
875	 0.370940536260605 
876	 0.370998829603195 
877	 0.370993465185165 
878	 0.371148318052292 
879	 0.371263474225998 
880	 0.371361434459686 
881	 0.371520757675171 
882	 0.371479421854019 
883	 0.371458768844604 
884	 0.37154832482338 
885	 0.371689587831497 
886	 0.37169075012207 
887	 0.371773779392242 
888	 0.371938198804855 
889	 0.371901959180832 
890	 0.37198406457901 
891	 0.372046023607254 
892	 0.371994018554688 
893	 0.371948450803757 
894	 0.371961355209351 
895	 0.372080892324448 
896	 0.372292578220367 
897	 0.372467130422592 
898	 0.372446209192276 
899	 0.372304677963257 
900	 0.372209280729294 
901	 0.372292995452881 
902	 0.37236076593399 
903	 0.37238398194313 
904	 0.372415602207184 
905	 0.372417598962784 
906	 0.372453987598419 
907	 0.372582942247391 
908	 0.372797876596451 
909	 0.372718125581741 
910	 0.37258118391037 
911	 0.372565001249313 
912	 0.372693330049515 
913	 0.372808247804642 
914	 0.372844189405441 
915	 0.372811406850815 
916	 0.372797638177872 
917	 0.372821599245071 
918	 0.372956246137619 
919	 0.373168885707855 
920	 0.373233407735825 
