Wavelength	1e.001
350	 0.972335934638977 
351	 0.977150976657867 
352	 0.97645777463913 
353	 0.97757226228714 
354	 0.987801373004913 
355	 0.994755387306213 
356	 0.997481405735016 
357	 1.00166153907776 
358	 1.02661240100861 
359	 1.03917992115021 
360	 1.03607499599457 
361	 1.03352272510529 
362	 1.03964233398438 
363	 1.04957020282745 
364	 1.05902004241943 
365	 1.06675887107849 
366	 1.0589861869812 
367	 1.05157876014709 
368	 1.05746650695801 
369	 1.05862677097321 
370	 1.07007122039795 
371	 1.08218622207642 
372	 1.07464504241943 
373	 1.07891297340393 
374	 1.08435869216919 
375	 1.0850236415863 
376	 1.08869647979736 
377	 1.08559370040894 
378	 1.083829164505 
379	 1.09065556526184 
380	 1.09564316272736 
381	 1.09115707874298 
382	 1.0891535282135 
383	 1.10794317722321 
384	 1.10631084442139 
385	 1.10045158863068 
386	 1.10332942008972 
387	 1.11279761791229 
388	 1.11644113063812 
389	 1.11475241184235 
390	 1.11285531520844 
391	 1.11541354656219 
392	 1.1232408285141 
393	 1.13003742694855 
394	 1.12655651569366 
395	 1.12598168849945 
396	 1.13001441955566 
397	 1.13571083545685 
398	 1.13450944423676 
399	 1.14117574691772 
400	 1.14970052242279 
401	 1.15083539485931 
402	 1.1513386964798 
403	 1.14912045001984 
404	 1.1479012966156 
405	 1.15452337265015 
406	 1.15585935115814 
407	 1.1573725938797 
408	 1.16222846508026 
409	 1.16335701942444 
410	 1.1652979850769 
411	 1.16727113723755 
412	 1.16748130321503 
413	 1.16747450828552 
414	 1.17144656181335 
415	 1.17758440971375 
416	 1.17876374721527 
417	 1.17775988578796 
418	 1.17843198776245 
419	 1.18196654319763 
420	 1.18318593502045 
421	 1.18385720252991 
422	 1.18436455726624 
423	 1.18463051319122 
424	 1.1846798658371 
425	 1.18683469295502 
426	 1.19020879268646 
427	 1.19016826152802 
428	 1.19147706031799 
429	 1.19286954402924 
430	 1.19311892986298 
431	 1.19557571411133 
432	 1.19642579555511 
433	 1.19642341136932 
434	 1.19840669631958 
435	 1.1982958316803 
436	 1.1983335018158 
437	 1.19983434677124 
438	 1.20165026187897 
439	 1.20306205749512 
440	 1.20368146896362 
441	 1.20371437072754 
442	 1.20516550540924 
443	 1.20539474487305 
444	 1.20440268516541 
445	 1.20435357093811 
446	 1.20488035678864 
447	 1.2056131362915 
448	 1.20625221729279 
449	 1.20677673816681 
450	 1.20646989345551 
451	 1.20673322677612 
452	 1.20893788337708 
453	 1.20902132987976 
454	 1.20839381217957 
455	 1.20851767063141 
456	 1.21036446094513 
457	 1.21045958995819 
458	 1.21056616306305 
459	 1.21218585968018 
460	 1.21228742599487 
461	 1.21248435974121 
462	 1.21284544467926 
463	 1.21273303031921 
464	 1.21334731578827 
465	 1.21372103691101 
466	 1.21391761302948 
467	 1.21609437465668 
468	 1.21573376655579 
469	 1.21463751792908 
470	 1.21537029743195 
471	 1.21515500545502 
472	 1.21550178527832 
473	 1.21653187274933 
474	 1.21715128421783 
475	 1.2168710231781 
476	 1.21659934520721 
477	 1.21686553955078 
478	 1.21679866313934 
479	 1.21702003479004 
480	 1.21751308441162 
481	 1.21806812286377 
482	 1.21913743019104 
483	 1.21871185302734 
484	 1.21740388870239 
485	 1.21886801719666 
486	 1.21837246417999 
487	 1.21765840053558 
488	 1.2186861038208 
489	 1.21949255466461 
490	 1.21925592422485 
491	 1.21852779388428 
492	 1.21853065490723 
493	 1.21809458732605 
494	 1.217609167099 
495	 1.21733391284943 
496	 1.21698355674744 
497	 1.21725451946259 
498	 1.21746206283569 
499	 1.21684849262238 
500	 1.21632921695709 
501	 1.21633231639862 
502	 1.21661305427551 
503	 1.21639430522919 
504	 1.21599864959717 
505	 1.2160552740097 
506	 1.21647834777832 
507	 1.21520948410034 
508	 1.21454310417175 
509	 1.21457195281982 
510	 1.21441411972046 
511	 1.21392357349396 
512	 1.21323573589325 
513	 1.21260786056519 
514	 1.21239674091339 
515	 1.21223247051239 
516	 1.21223139762878 
517	 1.2124103307724 
518	 1.21202516555786 
519	 1.2114189863205 
520	 1.21075069904327 
521	 1.2100430727005 
522	 1.20939064025879 
523	 1.20908284187317 
524	 1.20898222923279 
525	 1.20800411701202 
526	 1.20744729042053 
527	 1.20721137523651 
528	 1.20675075054169 
529	 1.20608866214752 
530	 1.20525193214417 
531	 1.20452737808228 
532	 1.20442914962769 
533	 1.20350348949432 
534	 1.20252466201782 
535	 1.20217370986938 
536	 1.20143115520477 
537	 1.20045530796051 
538	 1.19940340518951 
539	 1.19843351840973 
540	 1.19765102863312 
541	 1.19661450386047 
542	 1.19528889656067 
543	 1.19439935684204 
544	 1.19308924674988 
545	 1.19183278083801 
546	 1.19109344482422 
547	 1.18940877914429 
548	 1.18771243095398 
549	 1.18624937534332 
550	 1.18459582328796 
551	 1.18307971954346 
552	 1.18130326271057 
553	 1.17911744117737 
554	 1.1773509979248 
555	 1.17524373531342 
556	 1.17264497280121 
557	 1.16974782943726 
558	 1.16698336601257 
559	 1.16391587257385 
560	 1.16038882732391 
561	 1.15671825408936 
562	 1.15312397480011 
563	 1.14925575256348 
564	 1.14487409591675 
565	 1.14074432849884 
566	 1.13618683815002 
567	 1.13107895851135 
568	 1.12571382522583 
569	 1.11992764472961 
570	 1.1140468120575 
571	 1.10817730426788 
572	 1.10189890861511 
573	 1.09498345851898 
574	 1.08767116069794 
575	 1.08029639720917 
576	 1.07260537147522 
577	 1.0647257566452 
578	 1.05641508102417 
579	 1.04706728458405 
580	 1.03758001327515 
581	 1.02762234210968 
