Wavelength	5b.001
350	 1.13810682296753 
351	 1.147953748703 
352	 1.16313886642456 
353	 1.17834556102753 
354	 1.19239521026611 
355	 1.21066117286682 
356	 1.22242796421051 
357	 1.22469925880432 
358	 1.25353562831879 
359	 1.27327442169189 
360	 1.27361536026001 
361	 1.26625394821167 
362	 1.2835499048233 
363	 1.29358768463135 
364	 1.28908920288086 
365	 1.30621361732483 
366	 1.30468392372131 
367	 1.29916083812714 
368	 1.30736875534058 
369	 1.31292986869812 
370	 1.31685256958008 
371	 1.32259881496429 
372	 1.3333146572113 
373	 1.3346711397171 
374	 1.33715283870697 
375	 1.34268355369568 
376	 1.33668494224548 
377	 1.3365421295166 
378	 1.34066069126129 
379	 1.34452521800995 
380	 1.3537050485611 
381	 1.34783482551575 
382	 1.34240341186523 
383	 1.36739408969879 
384	 1.36999678611755 
385	 1.36787176132202 
386	 1.37385070323944 
387	 1.379070520401 
388	 1.38539278507233 
389	 1.38061618804932 
390	 1.36334276199341 
391	 1.3808434009552 
392	 1.38731002807617 
393	 1.38106608390808 
394	 1.39054822921753 
395	 1.40101969242096 
396	 1.40368592739105 
397	 1.39973425865173 
398	 1.40519511699677 
399	 1.40971195697784 
400	 1.41822302341461 
401	 1.43467903137207 
402	 1.43969333171844 
403	 1.4357578754425 
404	 1.42888450622559 
405	 1.42622625827789 
406	 1.43166983127594 
407	 1.44198071956635 
408	 1.45109295845032 
409	 1.44918262958527 
410	 1.44617879390717 
411	 1.44802510738373 
412	 1.45535671710968 
413	 1.44857954978943 
414	 1.45254230499268 
415	 1.46598362922668 
416	 1.46295654773712 
417	 1.46670806407928 
418	 1.46810257434845 
419	 1.46299111843109 
420	 1.47333633899689 
421	 1.47656726837158 
422	 1.47242259979248 
423	 1.47044920921326 
424	 1.47514820098877 
425	 1.47936141490936 
426	 1.47962307929993 
427	 1.47800230979919 
428	 1.47924911975861 
429	 1.48203659057617 
430	 1.48443245887756 
431	 1.48827421665192 
432	 1.48661279678345 
433	 1.48364233970642 
434	 1.48800826072693 
435	 1.48772621154785 
436	 1.48650228977203 
437	 1.48763990402222 
438	 1.49120223522186 
439	 1.49301254749298 
440	 1.49416160583496 
441	 1.49591934680939 
442	 1.49253582954407 
443	 1.49089205265045 
444	 1.49216187000275 
445	 1.49273419380188 
446	 1.49245309829712 
447	 1.49283468723297 
448	 1.49451661109924 
449	 1.49567985534668 
450	 1.49557912349701 
451	 1.49490737915039 
452	 1.49495351314545 
453	 1.49633896350861 
454	 1.49689376354218 
455	 1.49603259563446 
456	 1.49517047405243 
457	 1.49545335769653 
458	 1.49575674533844 
459	 1.49532663822174 
460	 1.49628520011902 
461	 1.49695551395416 
462	 1.49748504161835 
463	 1.49873542785645 
464	 1.49816167354584 
465	 1.49737644195557 
466	 1.49778854846954 
467	 1.49986779689789 
468	 1.50058960914612 
469	 1.5001345872879 
470	 1.49955868721008 
471	 1.4987496137619 
472	 1.49846339225769 
473	 1.49883282184601 
474	 1.49948644638062 
475	 1.50098955631256 
476	 1.50092792510986 
477	 1.4989972114563 
478	 1.50056004524231 
479	 1.50226926803589 
480	 1.50344049930573 
481	 1.50414407253265 
482	 1.50264251232147 
483	 1.501593708992 
484	 1.50187242031097 
485	 1.50197947025299 
486	 1.50016307830811 
487	 1.49930894374847 
488	 1.50154507160187 
489	 1.50380575656891 
490	 1.50264835357666 
491	 1.50018835067749 
492	 1.5012012720108 
493	 1.50149083137512 
494	 1.50097978115082 
495	 1.50030064582825 
496	 1.50031077861786 
497	 1.50233566761017 
498	 1.50379037857056 
499	 1.50214111804962 
500	 1.50090265274048 
501	 1.50167238712311 
502	 1.50322079658508 
503	 1.50215411186218 
504	 1.50185036659241 
505	 1.50198316574097 
506	 1.50183165073395 
507	 1.50128829479218 
508	 1.50134193897247 
509	 1.50201892852783 
510	 1.50264084339142 
511	 1.50103390216827 
512	 1.50024807453156 
513	 1.50093865394592 
514	 1.5001095533371 
515	 1.50144600868225 
516	 1.50319182872772 
517	 1.50312399864197 
518	 1.50248289108276 
519	 1.50239396095276 
520	 1.5025897026062 
521	 1.5019017457962 
522	 1.50061845779419 
523	 1.5009024143219 
524	 1.50280785560608 
525	 1.50160586833954 
526	 1.50131821632385 
527	 1.50175046920776 
528	 1.50154709815979 
529	 1.501629114151 
530	 1.50194847583771 
531	 1.50208961963654 
532	 1.50135660171509 
533	 1.50123417377472 
534	 1.50155079364777 
535	 1.50190150737762 
536	 1.50245606899261 
537	 1.50240170955658 
538	 1.50217962265015 
539	 1.50273048877716 
540	 1.50262355804443 
541	 1.501837849617 
542	 1.50095164775848 
543	 1.50127482414246 
544	 1.50080561637878 
545	 1.50012838840485 
546	 1.5001859664917 
547	 1.49972903728485 
548	 1.49900162220001 
549	 1.49844181537628 
550	 1.49854874610901 
551	 1.49856293201447 
552	 1.49796259403229 
553	 1.49683439731598 
554	 1.49671494960785 
555	 1.49593234062195 
556	 1.49440097808838 
557	 1.49280643463135 
558	 1.49141502380371 
559	 1.48979473114014 
560	 1.48789536952972 
561	 1.48626840114594 
562	 1.48510253429413 
563	 1.48368680477142 
564	 1.48147487640381 
565	 1.47945082187653 
566	 1.47752296924591 
567	 1.47572302818298 
568	 1.47415316104889 
569	 1.47255027294159 
570	 1.47072446346283 
571	 1.46880125999451 
572	 1.46761190891266 
573	 1.46585559844971 
574	 1.46366512775421 
575	 1.46162700653076 
576	 1.45943248271942 
577	 1.45720410346985 
578	 1.45482957363129 
579	 1.4519317150116 
580	 1.44897639751434 
581	 1.44628214836121 
