Wavelength	3e.000
350	 8.79517048597336E-02 
351	 8.68752151727676E-02 
352	 8.28794911503792E-02 
353	 7.70672187209129E-02 
354	 7.46089071035385E-02 
355	 7.55198895931244E-02 
356	 7.62706473469734E-02 
357	 7.40247964859009E-02 
358	 6.98692873120308E-02 
359	 6.71931952238083E-02 
360	 6.67854472994804E-02 
361	 6.75106197595596E-02 
362	 6.60978332161903E-02 
363	 0.064323715865612 
364	 6.31875023245811E-02 
365	 6.20117075741291E-02 
366	 6.18290118873119E-02 
367	 6.10445886850357E-02 
368	 5.90077787637711E-02 
369	 6.02795779705048E-02 
370	 6.01611435413361E-02 
371	 0.059339065104723 
372	 6.08607865869999E-02 
373	 5.90474009513855E-02 
374	 5.81331700086594E-02 
375	 5.92697747051716E-02 
376	 5.77734969556332E-02 
377	 5.83793520927429E-02 
378	 5.92817664146423E-02 
379	 5.81997819244862E-02 
380	 5.70621453225613E-02 
381	 5.69430254399776E-02 
382	 5.68227246403694E-02 
383	 5.49330115318298E-02 
384	 5.52310012280941E-02 
385	 5.65104149281979E-02 
386	 5.69098927080631E-02 
387	 5.44760972261429E-02 
388	 5.32355532050133E-02 
389	 5.28654120862484E-02 
390	 5.22935166954994E-02 
391	 5.26308715343475E-02 
392	 5.26690110564232E-02 
393	 5.26018738746643E-02 
394	 5.33129051327705E-02 
395	 5.20859286189079E-02 
396	 5.16474209725857E-02 
397	 5.28806298971176E-02 
398	 5.26066087186337E-02 
399	 5.15527501702309E-02 
400	 5.07134310901165E-02 
401	 0.050678625702858 
402	 4.97614480555058E-02 
403	 4.95377443730831E-02 
404	 4.98570539057255E-02 
405	 4.93297092616558E-02 
406	 4.90632392466068E-02 
407	 4.86465692520142E-02 
408	 4.79451790452003E-02 
409	 4.78055141866207E-02 
410	 4.73602525889874E-02 
411	 0.046870831400156 
412	 4.68500070273876E-02 
413	 4.71824631094933E-02 
414	 4.70559448003769E-02 
415	 4.65953722596169E-02 
416	 0.046723660081625 
417	 4.64586541056633E-02 
418	 4.62866984307766E-02 
419	 4.65185344219208E-02 
420	 4.64916825294495E-02 
421	 4.63535711169243E-02 
422	 4.61682975292206E-02 
423	 4.59718219935894E-02 
424	 4.57239598035812E-02 
425	 4.57671843469143E-02 
426	 0.045968908816576 
427	 4.56520989537239E-02 
428	 4.53185215592384E-02 
429	 4.52864840626717E-02 
430	 4.55576255917549E-02 
431	 4.53209728002548E-02 
432	 0.045321848243475 
433	 4.54722158610821E-02 
434	 4.52880710363388E-02 
435	 0.045326367020607 
436	 4.53571304678917E-02 
437	 4.51946631073952E-02 
438	 4.48174476623535E-02 
439	 4.51175644993782E-02 
440	 4.53554280102253E-02 
441	 4.48057763278484E-02 
442	 0.044902577996254 
443	 4.52106781303883E-02 
444	 4.53768745064735E-02 
445	 4.52034249901772E-02 
446	 4.50798869132996E-02 
447	 0.045044369995594 
448	 0.045072041451931 
449	 0.045149888843298 
450	 4.52323220670223E-02 
451	 4.52817380428314E-02 
452	 4.52586077153683E-02 
453	 4.50352504849434E-02 
454	 4.50781956315041E-02 
455	 0.045385804027319 
456	 4.54089641571045E-02 
457	 4.54138554632664E-02 
458	 4.53609675168991E-02 
459	 0.045229084789753 
460	 4.52227480709553E-02 
461	 4.53068315982819E-02 
462	 4.53280434012413E-02 
463	 4.51382175087929E-02 
464	 4.52661328017712E-02 
465	 4.53568026423454E-02 
466	 4.52669821679592E-02 
467	 0.045337725430727 
468	 4.53249849379063E-02 
469	 4.52718697488308E-02 
470	 4.52889613807201E-02 
471	 4.54357787966728E-02 
472	 4.53673265874386E-02 
473	 4.52119596302509E-02 
474	 4.54283244907856E-02 
475	 4.53297346830368E-02 
476	 4.51987646520138E-02 
477	 4.52821291983128E-02 
478	 4.54229414463043E-02 
479	 4.53868806362152E-02 
480	 4.52914200723171E-02 
481	 4.53476309776306E-02 
482	 4.53209169209003E-02 
483	 4.53376285731792E-02 
484	 4.54037860035896E-02 
485	 4.53642122447491E-02 
486	 4.54732142388821E-02 
487	 4.54897731542587E-02 
488	 4.52747344970703E-02 
489	 4.53510954976082E-02 
490	 4.54848743975163E-02 
491	 4.55255880951881E-02 
492	 4.54172343015671E-02 
493	 4.54853028059006E-02 
494	 0.045557975769043 
495	 4.55555208027363E-02 
496	 4.56605814397335E-02 
497	 4.56738583743572E-02 
498	 4.56726513803005E-02 
499	 4.57592569291592E-02 
500	 4.57473397254944E-02 
501	 4.56361919641495E-02 
502	 4.55536246299744E-02 
503	 4.57110926508904E-02 
504	 4.58711162209511E-02 
505	 4.59259115159512E-02 
506	 4.58859317004681E-02 
507	 4.59718741476536E-02 
508	 4.60960641503334E-02 
509	 4.61919568479061E-02 
510	 4.62155714631081E-02 
511	 4.62196171283722E-02 
512	 4.63288612663746E-02 
513	 4.65409606695175E-02 
514	 4.66898716986179E-02 
515	 4.67456504702568E-02 
516	 4.67983186244965E-02 
517	 0.046927310526371 
518	 4.70389127731323E-02 
519	 4.72035296261311E-02 
520	 4.74339611828327E-02 
521	 4.76974807679653E-02 
522	 4.79637235403061E-02 
523	 4.81860116124153E-02 
524	 4.83870208263397E-02 
525	 4.87397350370884E-02 
526	 4.90035861730576E-02 
527	 4.92949821054935E-02 
528	 0.049784030765295 
529	 5.01801632344723E-02 
530	 5.05773574113846E-02 
531	 5.10512553155422E-02 
532	 5.16279973089695E-02 
533	 5.22263199090958E-02 
534	 5.28947860002518E-02 
535	 5.36775514483452E-02 
536	 0.054518286138773 
537	 5.54649792611599E-02 
538	 5.65520226955414E-02 
539	 5.78014925122261E-02 
540	 5.91750927269459E-02 
541	 0.060772679746151 
542	 6.26108571887016E-02 
543	 6.45458921790123E-02 
544	 6.67022690176964E-02 
545	 6.91283568739891E-02 
546	 7.18535929918289E-02 
547	 7.49338939785957E-02 
548	 7.83507749438286E-02 
549	 8.21165964007378E-02 
550	 8.62678810954094E-02 
551	 9.08086076378822E-02 
552	 0.095875583589077 
553	 0.101573117077351 
554	 0.107847020030022 
555	 0.114757314324379 
556	 0.122318416833878 
557	 0.130524054169655 
558	 0.139418259263039 
559	 0.148970797657967 
560	 0.159089744091034 
561	 0.169638752937317 
562	 0.180627346038818 
563	 0.192033231258392 
564	 0.203793868422508 
565	 0.215849161148071 
566	 0.228094235062599 
567	 0.24045529961586 
568	 0.252878487110138 
569	 0.265510648488998 
570	 0.278140246868134 
571	 0.290579199790955 
572	 0.302821516990662 
573	 0.314735442399979 
574	 0.326146155595779 
575	 0.336951166391373 
576	 0.347383707761765 
577	 0.357325911521912 
578	 0.366783499717712 
579	 0.375906348228455 
580	 0.384360253810883 
581	 0.392272293567657 
582	 0.399783432483673 
583	 0.406606137752533 
584	 0.413019597530365 
585	 0.419059604406357 
586	 0.424614757299423 
587	 0.429704070091248 
588	 0.434341281652451 
589	 0.438556790351868 
590	 0.442362070083618 
591	 0.445924907922745 
592	 0.449267417192459 
593	 0.45236074924469 
594	 0.455163925886154 
595	 0.457818895578384 
596	 0.460258007049561 
597	 0.462237328290939 
598	 0.464017689228058 
599	 0.465682685375214 
600	 0.467248797416687 
601	 0.46862980723381 
602	 0.469995141029358 
603	 0.471301436424255 
604	 0.472424238920212 
605	 0.473420470952988 
606	 0.47428223490715 
607	 0.475051552057266 
608	 0.475831300020218 
609	 0.476522892713547 
610	 0.477179706096649 
611	 0.477848172187805 
612	 0.478413879871368 
613	 0.478965640068054 
614	 0.479482084512711 
615	 0.479889690876007 
616	 0.480359017848969 
617	 0.480782568454742 
618	 0.481107652187347 
619	 0.481433123350143 
620	 0.481931239366531 
621	 0.482364267110825 
622	 0.482499957084656 
623	 0.482850044965744 
624	 0.483243554830551 
625	 0.483541667461395 
626	 0.483687222003937 
627	 0.484084337949753 
628	 0.484444439411163 
629	 0.484555572271347 
630	 0.484709709882736 
631	 0.485014826059341 
632	 0.485359966754913 
633	 0.485549628734589 
634	 0.48564225435257 
635	 0.485831707715988 
636	 0.486156970262527 
637	 0.486451208591461 
638	 0.486635237932205 
639	 0.486768007278442 
640	 0.48691713809967 
641	 0.487034171819687 
642	 0.487143754959106 
643	 0.487297654151917 
644	 0.487545520067215 
645	 0.487765520811081 
646	 0.487961947917938 
647	 0.488133192062378 
648	 0.488234221935272 
649	 0.488425314426422 
650	 0.488651186227798 
651	 0.488802790641785 
652	 0.488857358694077 
653	 0.488896727561951 
654	 0.488997966051102 
655	 0.489211946725845 
