Wavelength	1d.000
350	 0.102316506206989 
351	 9.78949293494225E-02 
352	 9.41710993647575E-02 
353	 9.29411798715591E-02 
354	 9.22651141881943E-02 
355	 9.11901295185089E-02 
356	 8.97632017731667E-02 
357	 8.78911390900612E-02 
358	 8.37694704532623E-02 
359	 8.11063870787621E-02 
360	 0.080990269780159 
361	 8.23835954070091E-02 
362	 8.05799886584282E-02 
363	 7.81050249934196E-02 
364	 7.67938494682312E-02 
365	 7.66404047608376E-02 
366	 7.67330154776573E-02 
367	 0.076321043074131 
368	 7.51052647829056E-02 
369	 7.37869441509247E-02 
370	 7.32183903455734E-02 
371	 7.34305828809738E-02 
372	 7.38118067383766E-02 
373	 7.28801041841507E-02 
374	 7.25017264485359E-02 
375	 7.25843980908394E-02 
376	 6.97060003876686E-02 
377	 7.02752396464348E-02 
378	 7.14021623134613E-02 
379	 6.96609169244766E-02 
380	 6.84500560164452E-02 
381	 6.82796835899353E-02 
382	 6.79777339100838E-02 
383	 6.59368187189102E-02 
384	 6.67731091380119E-02 
385	 0.067241333425045 
386	 6.58641308546066E-02 
387	 6.51319995522499E-02 
388	 6.47592470049858E-02 
389	 6.43777996301651E-02 
390	 6.37872591614723E-02 
391	 6.36803060770035E-02 
392	 6.36457577347755E-02 
393	 6.35028854012489E-02 
394	 6.32870569825172E-02 
395	 6.35029599070549E-02 
396	 6.32411986589432E-02 
397	 6.23984411358833E-02 
398	 6.25075623393059E-02 
399	 6.19812272489071E-02 
400	 6.11516572535038E-02 
401	 6.06657825410366E-02 
402	 5.99184930324554E-02 
403	 5.98552152514458E-02 
404	 6.01161010563374E-02 
405	 0.059468686580658 
406	 5.90428374707699E-02 
407	 0.058185275644064 
408	 5.69919757544994E-02 
409	 0.057577308267355 
410	 5.78647404909134E-02 
411	 5.75105957686901E-02 
412	 5.68707585334778E-02 
413	 5.66545613110065E-02 
414	 5.62860667705536E-02 
415	 5.58981858193874E-02 
416	 5.62389381229877E-02 
417	 5.58342151343822E-02 
418	 5.55042624473572E-02 
419	 5.56960105895996E-02 
420	 5.49582801759243E-02 
421	 5.47245666384697E-02 
422	 5.49320839345455E-02 
423	 5.49524985253811E-02 
