Wavelength	Echave.011
350	 0.145164966583252 
351	 0.142614811658859 
352	 0.139270603656769 
353	 0.133892938494682 
354	 0.128485381603241 
355	 0.127071708440781 
356	 0.125369608402252 
357	 0.120370879769325 
358	 0.118607141077518 
359	 0.114031359553337 
360	 0.108108818531036 
361	 0.105488523840904 
362	 0.101842172443867 
363	 0.102692693471909 
364	 0.106321357190609 
365	 0.100992202758789 
366	 0.097922645509243 
367	 9.55365970730782E-02 
368	 9.11400988698006E-02 
369	 8.79126340150833E-02 
370	 0.087279886007309 
371	 8.73529613018036E-02 
372	 8.51146727800369E-02 
373	 8.46089124679565E-02 
374	 8.41048881411552E-02 
375	 0.082727737724781 
376	 8.15264508128166E-02 
377	 8.16071256995201E-02 
378	 0.081384688615799 
379	 7.95892030000687E-02 
380	 7.80441388487816E-02 
381	 7.88897797465324E-02 
382	 8.01596865057945E-02 
383	 7.81255960464478E-02 
384	 7.60082751512527E-02 
385	 7.57570043206215E-02 
386	 7.59954899549484E-02 
387	 0.070635661482811 
388	 7.13451653718948E-02 
389	 7.43188560009003E-02 
390	 7.35616758465767E-02 
391	 7.06362873315811E-02 
392	 6.94679245352745E-02 
393	 7.00668916106224E-02 
394	 6.98685869574547E-02 
395	 0.068262130022049 
396	 6.78784549236298E-02 
397	 0.068988986313343 
398	 6.74853026866913E-02 
399	 6.58020004630089E-02 
400	 6.50460124015808E-02 
401	 6.54103383421898E-02 
402	 0.065078005194664 
403	 6.52936100959778E-02 
404	 6.51387423276901E-02 
405	 6.25338330864906E-02 
406	 6.24212734401226E-02 
407	 0.063031792640686 
408	 0.062838539481163 
409	 6.26398921012878E-02 
410	 6.24445490539074E-02 
411	 6.20223134756088E-02 
412	 6.12336732447147E-02 
413	 6.08167797327042E-02 
414	 6.04501888155937E-02 
415	 5.98839409649372E-02 
416	 5.90268298983574E-02 
417	 5.86710460484028E-02 
418	 5.85087165236473E-02 
419	 5.82180730998516E-02 
420	 5.79011477530003E-02 
421	 5.75975924730301E-02 
422	 5.75923137366772E-02 
423	 0.058024700731039 
424	 5.75797334313393E-02 
425	 5.70414438843727E-02 
426	 0.056818176060915 
427	 0.056712344288826 
428	 5.68877980113029E-02 
429	 5.69795034825802E-02 
430	 5.67329898476601E-02 
431	 5.65243810415268E-02 
432	 5.62374219298363E-02 
433	 0.056024331599474 
434	 0.056127917021513 
435	 5.62532246112823E-02 
436	 5.63130602240562E-02 
437	 5.62944300472736E-02 
438	 0.056253332644701 
439	 5.61602339148521E-02 
440	 5.59264309704304E-02 
441	 5.55987544357777E-02 
442	 5.58386743068695E-02 
443	 5.60407005250454E-02 
444	 0.056023795157671 
445	 5.59816770255566E-02 
446	 5.59812001883984E-02 
447	 5.61459362506866E-02 
448	 5.63634894788265E-02 
449	 5.59378191828728E-02 
450	 5.59270046651363E-02 
451	 5.61402961611748E-02 
452	 5.60185872018337E-02 
453	 5.59003390371799E-02 
454	 5.60411922633648E-02 
455	 5.63083328306675E-02 
456	 5.61769232153893E-02 
457	 5.63964881002903E-02 
458	 5.65680600702763E-02 
459	 5.63530437648296E-02 
460	 5.63292913138866E-02 
461	 5.63572011888027E-02 
462	 5.63930533826351E-02 
463	 5.64266480505466E-02 
464	 5.62951602041721E-02 
465	 5.63414543867111E-02 
466	 5.66067136824131E-02 
467	 5.65922446548939E-02 
468	 5.66988699138165E-02 
469	 0.056804072111845 
470	 5.67194856703281E-02 
471	 5.65966479480267E-02 
472	 5.65844811499119E-02 
473	 5.66350780427456E-02 
474	 5.65629526972771E-02 
475	 5.65815009176731E-02 
476	 5.65993748605251E-02 
477	 5.65646663308144E-02 
478	 5.66359497606754E-02 
479	 5.65599128603935E-02 
480	 5.64584210515022E-02 
481	 5.65416440367699E-02 
482	 5.66011629998684E-02 
483	 5.65147027373314E-02 
484	 5.63972592353821E-02 
485	 5.66101297736168E-02 
486	 5.68535774946213E-02 
487	 5.69639652967453E-02 
488	 5.69224394857883E-02 
489	 5.70319406688213E-02 
490	 5.71516714990139E-02 
491	 5.72441220283508E-02 
492	 5.73373697698116E-02 
493	 5.74568919837475E-02 
494	 5.76683320105076E-02 
495	 5.79739399254322E-02 
496	 5.82719817757607E-02 
497	 5.85599504411221E-02 
498	 5.89142963290215E-02 
499	 5.94005696475506E-02 
500	 0.059918899089098 
501	 6.04438036680222E-02 
502	 6.10120743513107E-02 
503	 6.16995580494404E-02 
504	 6.22925199568272E-02 
505	 6.29209727048874E-02 
506	 6.36572167277336E-02 
507	 6.43050223588943E-02 
508	 6.47914484143257E-02 
509	 6.51682168245316E-02 
510	 6.55439868569374E-02 
511	 6.59351870417595E-02 
512	 6.62773102521896E-02 
513	 6.65297210216522E-02 
514	 6.66918158531189E-02 
515	 6.68714344501495E-02 
516	 6.70388117432594E-02 
517	 6.71492889523506E-02 
518	 6.72465935349464E-02 
519	 6.72938823699951E-02 
520	 6.73419907689095E-02 
521	 6.74860626459122E-02 
522	 6.75932839512825E-02 
523	 6.76449611783028E-02 
524	 6.76891580224037E-02 
525	 6.78745061159134E-02 
526	 6.80685788393021E-02 
527	 6.82500600814819E-02 
528	 6.84446915984154E-02 
529	 0.06870336830616 
530	 6.90117254853249E-02 
531	 6.93214237689972E-02 
532	 6.95579349994659E-02 
533	 6.98607563972473E-02 
534	 7.02499970793724E-02 
535	 7.06949383020401E-02 
536	 7.11093470454216E-02 
537	 0.071533203125 
538	 7.19742774963379E-02 
539	 7.24224075675011E-02 
540	 7.28687942028046E-02 
541	 7.33154937624931E-02 
542	 7.37626254558563E-02 
543	 7.42059871554375E-02 
544	 7.46136829257011E-02 
545	 7.50147253274918E-02 
546	 7.54307880997658E-02 
547	 7.57549330592155E-02 
548	 7.61030837893486E-02 
549	 7.65000805258751E-02 
550	 7.68798142671585E-02 
551	 7.71927088499069E-02 
552	 7.75297209620476E-02 
553	 7.79526010155678E-02 
554	 7.83885270357132E-02 
555	 7.87802264094353E-02 
556	 7.91585668921471E-02 
557	 7.95944929122925E-02 
558	 8.00703540444374E-02 
559	 8.06031972169876E-02 
560	 8.11792090535164E-02 
561	 8.17414298653603E-02 
562	 0.082308791577816 
563	 8.28839540481567E-02 
564	 8.34782272577286E-02 
565	 8.41432735323906E-02 
566	 8.48646461963654E-02 
567	 8.56126025319099E-02 
568	 8.63563269376755E-02 
569	 8.71769040822983E-02 
570	 0.088080145418644 
571	 8.90554562211037E-02 
572	 9.00783464312553E-02 
573	 9.12276282906532E-02 
574	 9.24496501684189E-02 
575	 9.36622768640518E-02 
576	 9.49509814381599E-02 
577	 9.62455719709396E-02 
578	 9.75614935159683E-02 
579	 0.099018357694149 
580	 0.100626915693283 
581	 0.102361507713795 
582	 0.104201853275299 
583	 0.106179565191269 
584	 0.108230479061604 
585	 0.110305838286877 
586	 0.112385295331478 
587	 0.11458295583725 
588	 0.11684013158083 
589	 0.119107127189636 
590	 0.121378988027573 
591	 0.123679287731647 
592	 0.125948309898376 
593	 0.128141596913338 
594	 0.130369856953621 
595	 0.132603004574776 
596	 0.134864285588264 
597	 0.137214034795761 
598	 0.139488324522972 
599	 0.141785189509392 
600	 0.144176483154297 
601	 0.146543443202972 
602	 0.148910611867905 
603	 0.151263549923897 
604	 0.15357993543148 
605	 0.155907079577446 
606	 0.158177420496941 
607	 0.160386294126511 
608	 0.162612318992615 
609	 0.164800494909286 
610	 0.166905015707016 
611	 0.168922856450081 
612	 0.170961886644363 
613	 0.172971934080124 
614	 0.174920797348022 
615	 0.176801428198814 
616	 0.17871131002903 
617	 0.180593833327293 
618	 0.182406187057495 
619	 0.184166952967644 
620	 0.185926347970963 
621	 0.187693700194359 
622	 0.189449518918991 
623	 0.191118150949478 
624	 0.192747965455055 
625	 0.194379761815071 
626	 0.196033909916878 
627	 0.197602406144142 
628	 0.199153035879135 
629	 0.20072714984417 
630	 0.202212199568748 
631	 0.20365284383297 
632	 0.205072641372681 
633	 0.206487268209457 
634	 0.207928821444511 
635	 0.209325104951859 
636	 0.210661932826042 
637	 0.21200305223465 
638	 0.213314890861511 
639	 0.214576229453087 
640	 0.215792238712311 
641	 0.217039927840233 
642	 0.21830715239048 
643	 0.219560533761978 
644	 0.220758110284805 
645	 0.221892967820168 
646	 0.223043337464333 
647	 0.224236384034157 
648	 0.225400254130363 
649	 0.226505875587463 
650	 0.227598056197166 
651	 0.228729516267776 
652	 0.229873269796371 
653	 0.230989813804626 
654	 0.23206801712513 
655	 0.233123540878296 
656	 0.234205797314644 
657	 0.235251262784004 
658	 0.236250877380371 
659	 0.237357288599014 
660	 0.238422855734825 
661	 0.239437952637672 
662	 0.240443885326385 
663	 0.241449475288391 
664	 0.242477223277092 
665	 0.243504643440247 
666	 0.244470074772835 
667	 0.245471596717834 
668	 0.246465891599655 
669	 0.247419133782387 
670	 0.248398438096046 
671	 0.249360755085945 
