Wavelength	Echave.029
350	 8.23279023170471E-02 
351	 7.93493986129761E-02 
352	 7.57699385285378E-02 
353	 7.26464912295341E-02 
354	 7.14042633771896E-02 
355	 6.76065757870674E-02 
356	 6.58363401889801E-02 
357	 6.88442885875702E-02 
358	 6.90443217754364E-02 
359	 6.40295669436455E-02 
360	 5.73591850697994E-02 
361	 5.53501136600971E-02 
362	 5.94206713140011E-02 
363	 6.14534169435501E-02 
364	 5.79762533307076E-02 
365	 5.22592514753342E-02 
366	 5.13843707740307E-02 
367	 5.09009249508381E-02 
368	 4.71293367445469E-02 
369	 4.83226999640465E-02 
370	 4.81543503701687E-02 
371	 4.66407164931297E-02 
372	 4.67269010841846E-02 
373	 4.34689484536648E-02 
374	 4.29653339087963E-02 
375	 4.59766089916229E-02 
376	 4.46523204445839E-02 
377	 4.37747538089752E-02 
378	 4.34304848313332E-02 
379	 4.24945168197155E-02 
380	 3.93905155360699E-02 
381	 3.81745025515556E-02 
382	 3.91132272779942E-02 
383	 4.00321632623672E-02 
384	 0.039308775216341 
385	 3.81791144609451E-02 
386	 3.68835255503654E-02 
387	 0.033540740609169 
388	 3.28396148979664E-02 
389	 3.42096872627735E-02 
390	 0.035361111164093 
391	 0.03359355032444 
392	 3.15164551138878E-02 
393	 3.09275649487972E-02 
394	 3.24342250823975E-02 
395	 3.18371988832951E-02 
396	 3.09432595968246E-02 
397	 3.09091061353683E-02 
398	 3.05938981473446E-02 
399	 3.00800893455744E-02 
400	 2.94454749673605E-02 
401	 2.86311227828264E-02 
402	 2.66230553388596E-02 
403	 2.65200715512037E-02 
404	 2.78250500559807E-02 
405	 2.75536328554153E-02 
406	 2.69990712404251E-02 
407	 2.65065357089043E-02 
408	 2.61664912104607E-02 
409	 2.58492343127728E-02 
410	 2.54594292491674E-02 
411	 0.025283420458436 
412	 2.55044419318438E-02 
413	 2.52777356654406E-02 
414	 2.46299281716347E-02 
415	 2.40176487714052E-02 
416	 2.41369195282459E-02 
417	 2.36719604581594E-02 
418	 2.30603702366352E-02 
419	 2.27543748915195E-02 
420	 2.25125309079885E-02 
421	 2.24037021398544E-02 
422	 2.25218310952187E-02 
423	 2.28102263063192E-02 
424	 2.21860464662313E-02 
425	 2.18592826277018E-02 
426	 0.022138262167573 
427	 2.21573505550623E-02 
428	 2.20772661268711E-02 
429	 2.20476519316435E-02 
430	 2.21065040677786E-02 
431	 2.19428967684507E-02 
432	 2.16807704418898E-02 
433	 2.14124713093042E-02 
434	 2.12036073207855E-02 
435	 2.10254658013582E-02 
436	 2.10007522255182E-02 
437	 2.11345311254263E-02 
438	 2.12526917457581E-02 
439	 2.11254432797432E-02 
440	 2.09106579422951E-02 
441	 2.08134576678276E-02 
442	 2.06748750060797E-02 
443	 2.07355730235577E-02 
444	 0.020841421559453 
445	 2.05796882510185E-02 
446	 2.05662008374929E-02 
447	 2.07727961242199E-02 
448	 2.09880154579878E-02 
449	 2.08092387765646E-02 
450	 2.08123009651899E-02 
451	 2.08427682518959E-02 
452	 0.020580755546689 
453	 2.04722695052624E-02 
454	 2.05914117395878E-02 
455	 2.08000168204308E-02 
456	 2.07741558551788E-02 
457	 2.09030248224735E-02 
458	 2.08295322954655E-02 
459	 2.04226020723581E-02 
460	 2.07162741571665E-02 
461	 2.07619518041611E-02 
462	 2.05883700400591E-02 
463	 2.06961594521999E-02 
464	 2.06095185130835E-02 
465	 2.04939693212509E-02 
466	 2.05150954425335E-02 
467	 2.07430068403482E-02 
468	 2.08580866456032E-02 
469	 2.08198316395283E-02 
470	 2.07064133137465E-02 
471	 0.02066202275455 
472	 2.06878744065762E-02 
473	 0.020699217915535 
474	 2.05694790929556E-02 
475	 2.05177497118711E-02 
476	 2.06226482987404E-02 
477	 2.08172090351582E-02 
478	 2.07750145345926E-02 
479	 2.07141563296318E-02 
480	 2.06651538610458E-02 
481	 2.06111744046211E-02 
482	 0.020700991153717 
483	 2.06633303314447E-02 
484	 2.05210391432047E-02 
485	 2.06504184752703E-02 
486	 2.07467023283243E-02 
487	 2.08110697567463E-02 
488	 2.08965204656124E-02 
489	 2.10144929587841E-02 
490	 2.09886841475964E-02 
491	 2.08760034292936E-02 
492	 2.08645295351744E-02 
493	 2.09568608552217E-02 
494	 2.10216287523508E-02 
495	 2.10271738469601E-02 
496	 2.11346130818129E-02 
497	 2.12166830897331E-02 
498	 2.12648008018732E-02 
499	 2.13133580982685E-02 
500	 2.14258246123791E-02 
501	 2.14570891112089E-02 
502	 2.14549340307713E-02 
503	 2.16196980327368E-02 
504	 2.15921457856894E-02 
505	 2.16114223003387E-02 
506	 2.18182187527418E-02 
507	 2.18697302043438E-02 
508	 2.18346212059259E-02 
509	 2.18486879020929E-02 
510	 2.20326278358698E-02 
511	 2.21413467079401E-02 
512	 2.22112946212292E-02 
513	 2.22889836877584E-02 
514	 2.23985724151134E-02 
515	 2.25719083100557E-02 
516	 2.26714480668306E-02 
517	 2.26287953555584E-02 
518	 0.022758811712265 
519	 2.29240003973246E-02 
520	 2.30557806789875E-02 
521	 2.31439359486103E-02 
522	 2.32093650847673E-02 
523	 2.33159959316254E-02 
524	 0.023477153852582 
525	 2.35922522842884E-02 
526	 2.37928628921509E-02 
527	 2.40052063018084E-02 
528	 2.41200271993876E-02 
