Wavelength	Echave.060
350	 0.128203526139259 
351	 0.124040096998215 
352	 0.118003018200397 
353	 0.109129689633846 
354	 0.106189072132111 
355	 0.104121066629887 
356	 0.102704770863056 
357	 0.102173075079918 
358	 0.101495303213596 
359	 0.096123181283474 
360	 9.06696990132332E-02 
361	 9.19541567564011E-02 
362	 8.37774723768234E-02 
363	 7.91162848472595E-02 
364	 8.17898064851761E-02 
365	 8.09210240840912E-02 
366	 0.078736238181591 
367	 7.50008001923561E-02 
368	 7.09080025553703E-02 
369	 0.073698990046978 
370	 7.30672776699066E-02 
371	 6.90457746386528E-02 
372	 6.71641901135445E-02 
373	 6.60931095480919E-02 
374	 6.49595186114311E-02 
375	 6.35911598801613E-02 
376	 6.26921206712723E-02 
377	 6.29627108573914E-02 
378	 6.23993240296841E-02 
379	 5.95484115183353E-02 
380	 5.65770007669926E-02 
381	 5.62127679586411E-02 
382	 5.69971650838852E-02 
383	 5.53952381014824E-02 
384	 5.30071891844273E-02 
385	 5.15310876071453E-02 
386	 5.11021129786968E-02 
387	 4.96100150048733E-02 
388	 0.049463152885437 
389	 4.99473661184311E-02 
390	 4.96069043874741E-02 
391	 4.72891591489315E-02 
392	 0.045890711247921 
393	 4.51154932379723E-02 
394	 4.29593771696091E-02 
395	 4.31991666555405E-02 
396	 4.37139011919498E-02 
397	 4.29106429219246E-02 
398	 4.11114878952503E-02 
399	 4.00793813169003E-02 
400	 3.95664982497692E-02 
401	 3.88077944517136E-02 
402	 0.037609338760376 
403	 3.71567793190479E-02 
404	 3.72361168265343E-02 
405	 3.66914570331573E-02 
406	 3.64321731030941E-02 
407	 3.61394099891186E-02 
408	 0.035657599568367 
409	 3.55212986469269E-02 
410	 3.47995981574059E-02 
411	 0.033846590667963 
412	 3.32385152578354E-02 
413	 3.23873832821846E-02 
414	 3.21349576115608E-02 
415	 3.22956033051014E-02 
416	 3.18018719553947E-02 
417	 3.11191324144602E-02 
418	 3.05023025721312E-02 
419	 3.01217194646597E-02 
420	 0.030107943341136 
421	 2.97645702958107E-02 
422	 2.94646080583334E-02 
423	 2.97254174947739E-02 
424	 2.89842318743467E-02 
425	 2.84146964550018E-02 
426	 2.83592008054256E-02 
427	 2.80200429260731E-02 
428	 2.82999090850353E-02 
