Wavelength	Echave.061
350	 9.98063758015633E-02 
351	 0.10064971446991 
352	 0.101566016674042 
353	 9.55106988549232E-02 
354	 8.27592313289642E-02 
355	 8.08431282639503E-02 
356	 8.48590433597565E-02 
357	 8.66201370954514E-02 
358	 8.56563001871109E-02 
359	 8.07630941271782E-02 
360	 7.43461847305298E-02 
361	 7.06695839762688E-02 
362	 7.24333226680756E-02 
363	 7.28591457009315E-02 
364	 7.07373395562172E-02 
365	 7.29176178574562E-02 
366	 7.21010714769363E-02 
367	 6.86064437031746E-02 
368	 0.065268985927105 
369	 6.69738352298737E-02 
370	 0.066847063601017 
371	 6.53130412101746E-02 
372	 6.61486685276031E-02 
373	 6.42173439264297E-02 
374	 6.23044930398464E-02 
375	 6.23787604272366E-02 
376	 6.41829147934914E-02 
377	 6.44335672259331E-02 
378	 6.23558983206749E-02 
379	 5.89659921824932E-02 
380	 5.81182911992073E-02 
381	 5.85137531161308E-02 
382	 5.86175434291363E-02 
383	 5.71459569036961E-02 
384	 5.56135028600693E-02 
385	 5.57767637073994E-02 
386	 0.056699350476265 
387	 5.35176545381546E-02 
388	 5.33653721213341E-02 
389	 5.51018565893173E-02 
390	 5.55631890892982E-02 
391	 5.27200736105442E-02 
392	 5.04724942147732E-02 
393	 5.03285899758339E-02 
394	 5.17312586307526E-02 
395	 5.18104135990143E-02 
396	 5.10994829237461E-02 
397	 5.01684583723545E-02 
398	 4.87325042486191E-02 
399	 4.82904613018036E-02 
400	 4.80543524026871E-02 
401	 4.71302382647991E-02 
402	 4.70647439360619E-02 
403	 0.047322615981102 
404	 4.71507683396339E-02 
405	 4.59125488996506E-02 
406	 0.045791432261467 
407	 4.59520816802979E-02 
408	 4.56351563334465E-02 
409	 0.045006200671196 
410	 4.47616055607796E-02 
411	 4.45440262556076E-02 
412	 4.38805036246777E-02 
413	 4.35678772628307E-02 
414	 4.33343350887299E-02 
415	 4.30150143802166E-02 
416	 4.25957851111889E-02 
417	 4.19858805835247E-02 
