Wavelength	Echave.104
350	 8.56685861945152E-02 
351	 8.54044556617737E-02 
352	 8.25515761971474E-02 
353	 7.49241560697556E-02 
354	 6.84475302696228E-02 
355	 0.064115472137928 
356	 6.60298466682434E-02 
357	 7.31854662299156E-02 
358	 6.91905468702316E-02 
359	 6.63433894515038E-02 
360	 6.62151128053665E-02 
361	 6.51233792304993E-02 
362	 6.62694647908211E-02 
363	 6.55169561505318E-02 
364	 6.31920844316483E-02 
365	 6.59807696938515E-02 
366	 6.57173544168472E-02 
367	 6.21713325381279E-02 
368	 5.82008026540279E-02 
369	 0.060200821608305 
370	 6.07936047017574E-02 
371	 5.94903826713562E-02 
372	 0.059500765055418 
373	 6.01718723773956E-02 
374	 6.01406693458557E-02 
375	 5.93299642205238E-02 
376	 5.94435073435307E-02 
377	 6.15770742297173E-02 
378	 6.29948079586029E-02 
379	 0.061517421156168 
380	 5.93689493834972E-02 
381	 6.20349049568176E-02 
382	 6.62518367171288E-02 
383	 6.46952539682388E-02 
384	 6.27482533454895E-02 
385	 6.28796368837357E-02 
386	 6.46257027983665E-02 
387	 0.063895508646965 
388	 6.30879327654839E-02 
389	 6.43448606133461E-02 
390	 6.74874857068062E-02 
391	 6.44192174077034E-02 
392	 6.28457292914391E-02 
393	 0.064248189330101 
394	 0.065679170191288 
395	 6.53674528002739E-02 
396	 6.58170208334923E-02 
397	 6.76766261458397E-02 
398	 6.77309408783913E-02 
399	 0.068073458969593 
400	 6.82337805628777E-02 
401	 6.76222443580627E-02 
402	 6.80426731705666E-02 
403	 6.85717836022377E-02 
404	 6.86280801892281E-02 
405	 6.80980831384659E-02 
406	 6.83919936418533E-02 
407	 6.93599730730057E-02 
408	 7.04016834497452E-02 
409	 7.05152750015259E-02 
410	 7.08193406462669E-02 
411	 7.07472190260887E-02 
412	 6.97819888591766E-02 
413	 7.03027173876762E-02 
414	 7.08037465810776E-02 
415	 7.05306529998779E-02 
416	 6.96552917361259E-02 
417	 7.01635703444481E-02 
418	 7.10271596908569E-02 
419	 0.071182481944561 
420	 7.06292018294334E-02 
421	 7.06566050648689E-02 
422	 7.11249560117722E-02 
423	 7.13262259960175E-02 
424	 7.11846947669983E-02 
425	 7.09027275443077E-02 
426	 7.07520321011543E-02 
427	 7.10365325212479E-02 
428	 7.14323595166206E-02 
429	 0.071492150425911 
430	 7.11015239357948E-02 
431	 7.11627453565598E-02 
432	 7.10211247205734E-02 
433	 7.06450194120407E-02 
434	 7.03655928373337E-02 
435	 7.03819096088409E-02 
436	 7.05254375934601E-02 
437	 7.06069692969322E-02 
438	 7.04711526632309E-02 
439	 7.03728795051575E-02 
440	 7.02764615416527E-02 
441	 7.01276436448097E-02 
442	 7.01697617769241E-02 
443	 7.01858103275299E-02 
444	 0.070070743560791 
445	 6.98315277695656E-02 
446	 6.95414245128632E-02 
447	 6.94745853543282E-02 
448	 0.069619707763195 
449	 6.92611783742905E-02 
450	 6.91651627421379E-02 
451	 6.91823810338974E-02 
452	 6.89214915037155E-02 
453	 6.87495321035385E-02 
454	 6.87860026955605E-02 
455	 6.88298642635345E-02 
456	 6.83780908584595E-02 
457	 0.068275585770607 
458	 6.81324005126953E-02 
459	 6.76564276218414E-02 
460	 6.76940381526947E-02 
461	 6.75693228840828E-02 
462	 6.73098266124725E-02 
463	 6.72680288553238E-02 
464	 6.69737532734871E-02 
465	 6.67821690440178E-02 
466	 0.066780224442482 
467	 6.65080845355988E-02 
468	 0.066392570734024 
469	 6.63119032979012E-02 
470	 6.60709738731384E-02 
471	 6.58391416072845E-02 
472	 6.57153576612473E-02 
473	 6.55381307005882E-02 
474	 6.50027915835381E-02 
475	 0.064837709069252 
476	 6.47535920143127E-02 
477	 6.44860342144966E-02 
478	 6.41704499721527E-02 
479	 6.40389248728752E-02 
480	 6.39799237251282E-02 
481	 6.37878254055977E-02 
482	 6.36535063385963E-02 
483	 6.35001882910728E-02 
484	 6.32798969745636E-02 
485	 6.30015432834625E-02 
486	 6.30095303058624E-02 
487	 6.31081238389015E-02 
488	 6.30566775798798E-02 
489	 6.28906711935997E-02 
490	 6.26638904213905E-02 
491	 6.24481178820133E-02 
492	 6.23043216764927E-02 
493	 6.20900057256222E-02 
494	 6.19812943041325E-02 
495	 0.062006376683712 
496	 6.19019269943237E-02 
497	 6.16551227867603E-02 
498	 6.14551715552807E-02 
499	 6.14694282412529E-02 
500	 6.14613555371761E-02 
501	 6.13541565835476E-02 
502	 6.11866153776646E-02 
503	 6.10852725803852E-02 
504	 6.09666928648949E-02 
505	 0.060872457921505 
506	 6.07906728982925E-02 
507	 6.05254285037518E-02 
508	 6.02555759251118E-02 
509	 5.99230006337166E-02 
510	 5.94211928546429E-02 
511	 0.059067003428936 
512	 5.87252750992775E-02 
513	 5.83094172179699E-02 
514	 5.78461885452271E-02 
515	 5.74009083211422E-02 
516	 5.68728037178516E-02 
517	 0.056203655898571 
518	 5.56229948997498E-02 
519	 5.51045946776867E-02 
520	 5.45868314802647E-02 
521	 5.39989732205868E-02 
522	 5.34487292170525E-02 
523	 5.28523102402687E-02 
524	 0.052178967744112 
525	 5.15395253896713E-02 
526	 0.051017627120018 
527	 5.05213737487793E-02 
528	 4.99238222837448E-02 
529	 4.93160262703896E-02 
530	 4.87480983138084E-02 
531	 0.048181526362896 
532	 4.74960692226887E-02 
533	 4.69475388526917E-02 
534	 4.64458204805851E-02 
535	 4.58772480487823E-02 
536	 4.52746823430061E-02 
537	 4.47635352611542E-02 
538	 4.42965477705002E-02 
539	 0.043752558529377 
540	 4.33135740458965E-02 
541	 4.29034233093262E-02 
542	 4.24878597259521E-02 
543	 4.21494990587235E-02 
544	 4.18292060494423E-02 
545	 4.15251404047012E-02 
546	 4.12483774125576E-02 
547	 4.09826710820198E-02 
548	 4.07749339938164E-02 
549	 0.040593508630991 
550	 4.03438098728657E-02 
551	 4.01505492627621E-02 
552	 4.00117225944996E-02 
553	 3.98878864943981E-02 
554	 3.97152900695801E-02 
555	 3.94881926476955E-02 
556	 3.92250753939152E-02 
557	 3.89570966362953E-02 
558	 3.86828668415546E-02 
559	 3.84113788604736E-02 
560	 3.81426922976971E-02 
561	 3.78630235791206E-02 
562	 3.76221388578415E-02 
563	 3.73602844774723E-02 
564	 0.037030816078186 
565	 3.67467105388641E-02 
566	 3.64853367209435E-02 
567	 0.036218773573637 
568	 3.59243452548981E-02 
569	 3.56804393231869E-02 
570	 3.54722812771797E-02 
571	 3.52706238627434E-02 
572	 3.50476019084454E-02 
573	 3.48272100090981E-02 
574	 3.46264727413654E-02 
575	 3.44551764428616E-02 
576	 3.42999845743179E-02 
577	 3.41475531458855E-02 
578	 3.39929424226284E-02 
579	 3.38418409228325E-02 
580	 3.37445512413979E-02 
581	 3.36275286972523E-02 
582	 3.34543064236641E-02 
583	 3.34013178944588E-02 
584	 3.33023853600025E-02 
585	 3.31557355821133E-02 
586	 3.30537036061287E-02 
587	 0.03298444673419 
588	 3.29279601573944E-02 
589	 3.28627936542034E-02 
590	 3.27675119042397E-02 
591	 3.26832756400108E-02 
592	 0.032625000923872 
593	 3.25886830687523E-02 
594	 3.25338952243328E-02 
595	 3.24567779898643E-02 
596	 3.23871076107025E-02 
597	 3.23762074112892E-02 
598	 3.23399268090725E-02 
599	 3.23028340935707E-02 
600	 3.22794020175934E-02 
601	 3.22040840983391E-02 
602	 3.21714878082275E-02 
603	 3.21780070662498E-02 
604	 3.21797840297222E-02 
605	 0.032191164791584 
606	 3.21612618863583E-02 
607	 3.21131683886051E-02 
608	 3.21644134819508E-02 
609	 3.21203880012035E-02 
610	 3.20612750947475E-02 
611	 3.20727489888668E-02 
612	 3.20202261209488E-02 
613	 3.19544263184071E-02 
