Wavelength	Echave.048
350	 9.09223556518555E-02 
351	 8.79721790552139E-02 
352	 8.60935971140862E-02 
353	 8.12029093503952E-02 
354	 7.66515508294106E-02 
355	 7.48098567128181E-02 
356	 7.62686729431152E-02 
357	 7.90228620171547E-02 
358	 7.56203606724739E-02 
359	 7.02734589576721E-02 
360	 6.64424300193787E-02 
361	 6.62166848778725E-02 
362	 6.48659393191338E-02 
363	 6.34622424840927E-02 
364	 6.24343268573284E-02 
365	 6.06359578669071E-02 
366	 6.19768388569355E-02 
367	 6.14227615296841E-02 
368	 5.60665503144264E-02 
369	 5.60495518147945E-02 
370	 5.58731071650982E-02 
371	 0.054747898131609 
372	 5.43174222111702E-02 
373	 5.27963042259216E-02 
374	 5.19114471971989E-02 
375	 5.21131865680218E-02 
376	 5.16219921410084E-02 
377	 5.28243072330952E-02 
378	 5.21357171237469E-02 
379	 4.76665459573269E-02 
380	 4.77444343268871E-02 
381	 4.82097379863262E-02 
382	 4.83705289661884E-02 
383	 4.91673238575459E-02 
384	 4.55614775419235E-02 
385	 4.42451871931553E-02 
386	 4.66880537569523E-02 
387	 4.50699105858803E-02 
388	 4.42901253700256E-02 
389	 4.46885488927364E-02 
390	 4.48985584080219E-02 
391	 4.14953492581844E-02 
392	 4.05283384025097E-02 
393	 4.20168414711952E-02 
394	 4.20851483941078E-02 
395	 4.10628728568554E-02 
396	 3.95799949765205E-02 
397	 3.85765507817268E-02 
398	 3.94272692501545E-02 
399	 3.99971604347229E-02 
400	 3.93989719450474E-02 
401	 3.78006808459759E-02 
402	 3.76666970551014E-02 
403	 3.77870984375477E-02 
404	 3.76053676009178E-02 
405	 0.037204809486866 
406	 3.70826907455921E-02 
407	 3.76153364777565E-02 
408	 3.82380224764347E-02 
409	 3.64700667560101E-02 
410	 3.59432175755501E-02 
411	 3.62760908901691E-02 
412	 3.60782146453857E-02 
413	 3.59817929565907E-02 
414	 3.58213372528553E-02 
415	 3.55994589626789E-02 
416	 3.54851372539997E-02 
417	 3.53877656161785E-02 
418	 3.52539755403996E-02 
419	 3.51136177778244E-02 
420	 3.51990982890129E-02 
421	 3.50436419248581E-02 
422	 3.50374057888985E-02 
423	 3.55940386652946E-02 
424	 3.49385775625706E-02 
425	 3.44981998205185E-02 
426	 3.48315350711346E-02 
427	 3.52712236344814E-02 
428	 3.54576036334038E-02 
429	 3.53609062731266E-02 
430	 3.51431481540203E-02 
431	 0.035186443477869 
432	 3.54286506772041E-02 
433	 3.56028899550438E-02 
434	 3.54262366890907E-02 
435	 3.55250723659992E-02 
436	 0.0356415361166 
437	 3.56958284974098E-02 
438	 3.60480509698391E-02 
439	 3.61708998680115E-02 
440	 3.61261293292046E-02 
441	 3.61393168568611E-02 
442	 3.63333001732826E-02 
443	 3.65893244743347E-02 
444	 3.68558093905449E-02 
445	 3.71397882699966E-02 
446	 3.74032445251942E-02 
447	 3.75043079257011E-02 
448	 0.037469644099474 
449	 0.03772983700037 
450	 0.037902407348156 
451	 3.80086079239845E-02 
452	 3.82059849798679E-02 
453	 3.85016240179539E-02 
454	 3.87761257588863E-02 
455	 3.89285273849964E-02 
456	 3.89008410274982E-02 
457	 3.91721092164516E-02 
458	 0.039453636854887 
459	 3.95143404603004E-02 
460	 3.98361533880234E-02 
461	 4.00377176702023E-02 
462	 4.01301980018616E-02 
463	 4.03279140591621E-02 
464	 4.05925549566746E-02 
465	 4.07268851995468E-02 
466	 4.07418012619019E-02 
467	 4.09832857549191E-02 
468	 4.13733571767807E-02 
469	 4.16768789291382E-02 
470	 4.17294129729271E-02 
471	 4.18497361242771E-02 
472	 4.20079231262207E-02 
473	 4.21785637736321E-02 
474	 4.23500873148441E-02 
475	 4.25792299211025E-02 
476	 4.27640601992607E-02 
477	 4.28818576037884E-02 
478	 4.31401655077934E-02 
479	 4.33953888714314E-02 
480	 4.35994192957878E-02 
481	 4.37542498111725E-02 
482	 0.043942641466856 
483	 4.40473146736622E-02 
484	 4.41216789186001E-02 
485	 4.44176867604256E-02 
486	 4.46744933724403E-02 
487	 4.49028126895428E-02 
488	 4.51475232839584E-02 
489	 0.045363575220108 
490	 4.55187149345875E-02 
491	 4.56950254738331E-02 
492	 4.60151508450508E-02 
493	 4.63250689208508E-02 
494	 4.65222522616386E-02 
495	 4.66808751225472E-02 
496	 4.71691824495792E-02 
497	 4.73882332444191E-02 
498	 4.75634150207043E-02 
499	 4.80176694691181E-02 
500	 4.82853427529335E-02 
501	 4.85412180423737E-02 
502	 4.88556548953056E-02 
503	 4.91819940507412E-02 
504	 4.94311265647411E-02 
505	 4.97427918016911E-02 
506	 5.01756966114044E-02 
507	 5.05014322698116E-02 
508	 5.08052818477154E-02 
509	 5.11183403432369E-02 
510	 5.14583475887775E-02 
511	 5.19148893654346E-02 
