Wavelength	Echave.066
350	 0.149085402488708 
351	 0.142352744936943 
352	 0.137474730610847 
353	 0.133824378252029 
354	 0.126991361379623 
355	 0.120011135935783 
356	 0.117326349020004 
357	 0.11936192214489 
358	 0.114613220095634 
359	 0.10980686545372 
360	 0.10742674767971 
361	 0.107122495770454 
362	 0.105538614094257 
363	 0.103062212467194 
364	 0.100916765630245 
365	 0.100921049714088 
366	 9.68703478574753E-02 
367	 9.10946279764175E-02 
368	 8.75208005309105E-02 
369	 8.84758308529854E-02 
370	 8.87348279356956E-02 
371	 8.72836038470268E-02 
372	 8.56772884726524E-02 
373	 8.51043462753296E-02 
374	 8.30281004309654E-02 
375	 8.02485346794128E-02 
376	 8.26137736439705E-02 
377	 7.89752006530762E-02 
378	 7.50166103243828E-02 
379	 7.64076411724091E-02 
380	 7.37268552184105E-02 
381	 7.36108347773552E-02 
382	 7.49467089772224E-02 
383	 7.28057697415352E-02 
384	 7.22643360495567E-02 
385	 0.071926437318325 
386	 7.05988109111786E-02 
387	 6.82842433452606E-02 
388	 6.98604360222816E-02 
389	 7.17590227723122E-02 
390	 7.02082589268684E-02 
391	 6.91762790083885E-02 
392	 6.71671628952026E-02 
393	 6.51113763451576E-02 
394	 6.51416704058647E-02 
395	 6.47920966148376E-02 
396	 6.43908530473709E-02 
397	 6.41703233122826E-02 
398	 6.35948106646538E-02 
399	 6.32862374186516E-02 
400	 6.30246624350548E-02 
401	 6.24626092612743E-02 
402	 6.16035684943199E-02 
403	 6.18775859475136E-02 
404	 6.26170560717583E-02 
405	 6.18016570806503E-02 
406	 6.05270601809025E-02 
407	 6.00434169173241E-02 
408	 0.060555849224329 
409	 6.03346973657608E-02 
410	 6.07525072991848E-02 
411	 6.08982518315315E-02 
412	 5.98039031028748E-02 
413	 5.96804171800613E-02 
414	 6.01088851690292E-02 
415	 6.04096166789532E-02 
416	 5.98986744880676E-02 
417	 5.97266480326653E-02 
418	 5.98083958029747E-02 
419	 5.98772540688515E-02 
420	 0.059801708906889 
421	 5.95587491989136E-02 
422	 0.059535525739193 
423	 6.00665248930454E-02 
424	 6.01316690444946E-02 
425	 6.00172504782677E-02 
426	 5.99385537207127E-02 
427	 5.99048510193825E-02 
428	 6.05025738477707E-02 
429	 6.11569657921791E-02 
430	 6.13095164299011E-02 
431	 6.11689649522305E-02 
432	 6.12115375697613E-02 
433	 6.14205822348595E-02 
434	 6.15309663116932E-02 
435	 6.17725811898708E-02 
436	 6.21763728559017E-02 
437	 6.26542642712593E-02 
438	 6.29752352833748E-02 
439	 6.32754489779472E-02 
440	 0.063513271510601 
441	 6.36645704507828E-02 
442	 6.39572516083717E-02 
443	 6.43695965409279E-02 
444	 6.47212564945221E-02 
445	 6.47702589631081E-02 
446	 6.51311576366425E-02 
447	 6.56774416565895E-02 
448	 6.61293342709541E-02 
449	 6.60869851708412E-02 
450	 6.63853958249092E-02 
451	 6.68152272701263E-02 
452	 0.066891685128212 
453	 6.71059861779213E-02 
454	 6.73849880695343E-02 
455	 6.76871240139008E-02 
456	 6.80441707372665E-02 
457	 6.82483986020088E-02 
458	 6.83470815420151E-02 
459	 6.84576481580734E-02 
460	 6.86963498592377E-02 
461	 6.91108629107475E-02 
462	 6.94724395871162E-02 
463	 6.94874376058578E-02 
464	 6.97113201022148E-02 
465	 6.99923411011696E-02 
466	 7.01755061745644E-02 
467	 7.02136158943176E-02 
468	 7.04872310161591E-02 
469	 7.08029046654701E-02 
470	 7.09094181656837E-02 
471	 7.10637643933296E-02 
472	 7.12629929184914E-02 
473	 7.14460387825966E-02 
474	 7.15320780873299E-02 
475	 7.17991217970848E-02 
476	 7.20196813344955E-02 
477	 7.21074715256691E-02 
478	 7.25047513842583E-02 
479	 7.25930705666542E-02 
480	 7.25588276982307E-02 
481	 7.28326812386513E-02 
482	 7.32530951499939E-02 
483	 7.35236331820488E-02 
484	 7.35972672700882E-02 
485	 7.37157389521599E-02 
486	 7.40751922130585E-02 
487	 7.44455084204674E-02 
488	 7.46430084109306E-02 
489	 7.49693661928177E-02 
490	 7.51836225390434E-02 
491	 7.53359869122505E-02 
492	 7.56294503808022E-02 
493	 7.59750977158546E-02 
494	 7.62687772512436E-02 
495	 7.65278488397598E-02 
496	 7.69821256399155E-02 
497	 0.077277883887291 
498	 7.75646641850472E-02 
499	 7.80537202954292E-02 
500	 7.84996077418327E-02 
501	 7.88863822817802E-02 
502	 0.079246386885643 
503	 7.96414762735367E-02 
504	 0.079994298517704 
505	 8.04051086306572E-02 
506	 8.08988586068153E-02 
507	 8.12473744153976E-02 
508	 8.15885737538338E-02 
509	 8.19818153977394E-02 
510	 8.24427455663681E-02 
511	 8.29315558075905E-02 
512	 0.083446592092514 
513	 0.083915188908577 
514	 0.084167055785656 
515	 8.46743285655975E-02 
516	 8.52593183517456E-02 
517	 8.56846868991852E-02 
518	 8.61314758658409E-02 
519	 8.65885764360428E-02 
520	 8.70714038610458E-02 
521	 8.76060873270035E-02 
522	 8.81247147917748E-02 
523	 8.86383131146431E-02 
524	 0.08917086571455 
525	 8.97511467337608E-02 
526	 9.03413742780685E-02 
527	 9.09029096364975E-02 
528	 9.14212167263031E-02 
529	 0.092002809047699 
530	 9.26041901111603E-02 
531	 9.32068228721619E-02 
532	 9.38278362154961E-02 
533	 9.45010706782341E-02 
534	 9.51886773109436E-02 
535	 9.58574637770653E-02 
536	 9.65370610356331E-02 
537	 9.72101613879204E-02 
538	 9.78871285915375E-02 
539	 0.098594956099987 
540	 9.93482321500778E-02 
541	 0.100134246051311 
542	 0.100925542414188 
543	 0.101673439145088 
544	 0.102455131709576 
545	 0.103249005973339 
546	 0.1040198802948 
547	 0.104816138744354 
548	 0.105638511478901 
549	 0.106485739350319 
550	 0.107352204620838 
551	 0.108167506754398 
552	 0.109038352966309 
553	 0.110039383172989 
554	 0.111085437238216 
555	 0.112155817449093 
556	 0.113256342709064 
557	 0.114412605762482 
558	 0.115652956068516 
559	 0.117009088397026 
560	 0.118457190692425 
561	 0.119902737438679 
562	 0.121405355632305 
563	 0.122941814363003 
564	 0.12450946867466 
565	 0.126272231340408 
566	 0.128050431609154 
567	 0.129817321896553 
568	 0.131666257977486 
569	 0.133598268032074 
570	 0.13559453189373 
571	 0.137651726603508 
572	 0.139804542064667 
573	 0.142071530222893 
574	 0.14438533782959 
575	 0.146673873066902 
576	 0.149026811122894 
577	 0.151475310325623 
578	 0.154045060276985 
579	 0.156756386160851 
580	 0.159677356481552 
581	 0.162793055176735 
582	 0.166072577238083 
583	 0.169503927230835 
584	 0.172976866364479 
585	 0.176463812589645 
586	 0.179996505379677 
587	 0.183617860078812 
588	 0.187204912304878 
589	 0.190724164247513 
590	 0.194311812520027 
591	 0.197822630405426 
592	 0.201227992773056 
593	 0.204542636871338 
594	 0.20775294303894 
595	 0.210994973778725 
596	 0.214259088039398 
597	 0.217402338981628 
598	 0.220412328839302 
599	 0.223402485251427 
600	 0.226415082812309 
601	 0.229246526956558 
602	 0.231992021203041 
603	 0.23464660346508 
604	 0.237171679735184 
605	 0.239626497030258 
606	 0.241864204406738 
